english;spanish;french;italian;german;japanese;chinese
Death Stench Soul;Alma Hedor Muerte;Âme odeur de mort;Anima Puzza di morte;Todesgestank-Seele;;
Lava Helm;Gorro Lava;Heaume Lava;Elmo Lava;Lava-Kappe;;
Lava Cap;Casco Lava;Casque Lava;Cappello Lava;Lava-Helm;;
Mizuha Cap;Gorro Mizuha;Heaume Mizuha;Cappello Mizuha;Mizuha-Kappe;;
Extravagant Cap;Gorro Extravagante;Heaume extravagance;Cappello Stravagante;Extravagante Kappe;;
Kushala Glare;Fulgor Kushala;Regard Kushala;Riverbero di Kushala;Kushala-Blender;;
Kushala Snarl;Gruñido Kushala;Grondement Kushala;Ringhio di Kushala;Kushala-Knurrer;;
Kirin Horn;Cuerno de Kirin;Corne Kirin;Corno di Kirin;Kirin-Horn;;
Kirin Crest;Cresta de Kirin;Crête Kirin;Cresta di Kirin;Kirin-Kamm;;
Guardian Spirit Mask;Másca. Espír. Guard.;Masque esprit gard.;Masch. Spir. Guard.;Wächterseelen-Maske;;
Carnage Mask;Máscara de Matanza;Masque carnage;Maschera Strage;Gemetzelmaske;;
Auroros Helm;Casco de Auroros;Casque Auroros;Elmo Auroros;Auroros-Helm;;
Genesis Headpiece;Casco Génesis;Coiffe Genesis;Copricapo Genesis;Genesis-Haube;;
Borealis Crown;Corona Borealis;Couronne  Borealis;Corona Borealis;Borealis-Krone;;
Glyph Crown;Corona de Glyph;Couronne Glyphe;Corona Glifo;Glyph-Krone;;
Empress Crown;Corona de Emperatriz;Couronne Impératrice;Corona Imperatrice;Kaiserin-Krone;;
Empress Mask;Máscara Emperatriz;Masque Impératrice;Maschera Imperatrice;Kaiserin-Maske;;
Indra Helm;Casco de Indra;Casque Indra;Elmo Indra;Indra-Helm;;
Steadfast Helm;Casco Firme;Casque inébranlable;Elmo Risoluto;Standfester Helm;;
Kaiser Crown;Corona de Kaiser;Couronne Kaiser;Corona del Kaiser;Kaiser-Krone;;
Kaiser Mask;Máscara de Kaiser;Masque Kaiser;Maschera del Kaiser;Kaiser-Maske;;
(dummy)Red Lobster Helm;(dummy)Red Lobster Helm;(dummy)Red Lobster Helm;(dummy)Red Lobster Helm;(dummy)Red Lobster Helm;;
(dummy)Red Lobster Cap;(dummy)Red Lobster Cap;(dummy)Red Lobster Cap;(dummy)Red Lobster Cap;(dummy)Red Lobster Cap;;
Monodevil Helm;Casco de Monodevil;Casque Monodevil;Elmo Monodevil;Monodevil-Helm;;
Monodevil Cap;Gorro de Monodevil;Heaume Monodevil;Cappello Monodevil;Monodevil-Kappe;;
Rathian Heart Helm;Casco Coraz. Rathian;Casq. cœur Rathian;Elmo cuore Rathian;Rathianherz-Helm;;
Rathian Heart Cap;Gorro Coraz. Rathian;Heaume cœur Rathian;Capp. cuore Rathian;Rathianherz-Kappe;;
Rathalos Soul Helm;Casco Alma Rathalos;Casque âme Rathalos;Elmo Anima Rathalos;Rathalosseelen-Helm;;
Rathalos Soul Cap;Gorro Alma Rathalos;Heaume âme Rathalos;Capp. Anima Rathalos;Rathalosseelen-Kappe;;
Mafumofu Hood S;Capucha Mafumofu S;Capuchon Mafumofu S;Cappuccio Mafumofu S;Mafumofu-Kapuze S;;
Leather Helm S;Casco de Cuero S;Casque en cuir S;Elmo di Cuoio S;Lederhelm S;;
Chain Helm S;Casco Cota Malla S;Casque en mailles S;Elmo Maglia ferro S;Kettenhelm S;;
Hunter's Helm S;Casco de Cazador S;Casque de chasseur S;Elmo da Cacciatore S;Jägerhelm S;;
Hunter's Cap S;Gorro de Cazador S;Heaume de chasseur S;Capp. Cacciatore S;Jägerkappe S;;
Bone Helm S;Casco de Hueso S;Casque d'os S;Elmo d'Osso S;Knochenhelm S;;
Bone Cap S;Gorro de Hueso S;Heaume d'os S;Cappello d'Osso S;Knochenkappe S;;
Battle Helm S;Casco de Combate S;Casque de combat S;Elmo Battaglia S;Kampfhelm S;;
Battle Cap S;Gorro de Combate S;Heaume de combat S;Cappello Battaglia S;Kampfkappe S;;
Velociprey Helm S;Casco Velociprey S;Casque Velociprey S;Elmo Velociprey S;Velociprey-Helm S;;
Velociprey Cap S;Gorro Velociprey S;Heaume Velociprey S;Capp. Velociprey S;Velociprey-Kappe S;;
Vespoid Helm S;Casco de Vespoid S;Casque Vespoid S;Elmo Vespoid S;Vespoid-Helm S;;
Vespoid Cap S;Gorro de Vespoid S;Heaume Vespoid S;Cappello Vespoid S;Vespoid-Kappe S;;
Hi-Metal Helm S;Casco de Megametal S;Casque haut-métal S;Elmo Hi-Metal S;Hochmetall-Helm S;;
Hi-Metal Cap S;Gorro de Megametal S;Heaume haut-métal S;Cappello Hi-Metal S;Hochmetall-Kappe S;;
Hornet Helm S;Casco de Hornet. S;Casque Hornet S;Elmo Hornet S;Hornissen-Helm S;;
Hornet Cap S;Gorro de Hornet. S;Heaume Hornet S;Cappello Hornet S;Hornissen-Kappe S;;
Genprey Helm S;Casco de Genprey S;Casque Genprey S;Elmo Genprey S;Genprey-Helm S;;
Genprey Cap S;Gorro de Genprey S;Heaume Genprey S;Cappello Genprey S;Genprey-Kappe S;;
Ioprey Helm S;Casco de Ioprey S;Casque Ioprey S;Elmo Ioprey S;Ioprey-Helm S;;
Ioprey Cap S;Gorro de Ioprey S;Heaume Ioprey S;Cappello Ioprey S;Ioprey-Kappe S;;
Kut-Ku Helm S;Casco de Kut-Ku S;Casque Kut-Ku S;Elmo di Kut-Ku S;Kut-Ku-Helm S;;
Kut-Ku Cap S;Gorro de Kut-Ku S;Heaume Kut-Ku S;Cappello di Kut-Ku S;Kut-Ku-Kappe S;;
Cephalos Helm S;Casco de Cephalos S;Casque Cephalos S;Elmo Cephalos S;Cephalos-Helm S;;
Cephalos Cap S;Gorro de Cephalos S;Heaume Cephalos S;Cappello Cephalos S;Cephalos-Kappe S;;
Conga Helm S;Casco de Conga S;Casque Conga S;Elmo di Conga S;Conga-Helm S;;
Conga Cap S;Gorro de Conga S;Heaume Conga S;Cappello di Conga S;Conga-Kappe S;;
Gypceros Helm S;Casco de Gypceros S;Casque Gypceros S;Elmo Gypceros S;Gypceros-Helm S;;
Gypceros Cap S;Gorro de Gypceros S;Heaume Gypceros S;Cappello Gypceros S;Gypceros-Kappe S;;
Khezu Helm S;Casco de Khezu S;Casque Khezu S;Elmo Khezu S;Khezu-Helm S;;
Khezu Cap S;Gorro de Khezu S;Heaume Khezu S;Cappello Khezu S;Khezu-Kappe S;;
Hermitaur Helm S;Casco de Hermitaur S;Casque Hermitaur S;Elmo Hermitaur S;Hermitaur-Helm S;;
Hermitaur Cap S;Gorro de Hermitaur S;Heaume Hermitaur S;Cappello Hermitaur S;Hermitaur-Kappe S;;
Hypno Helm S;Casco Hypno S;Casque Hypno S;Elmo Hypno S;Hypno-Helm S;;
Hypno Cap S;Gorro Hypno S;Heaume Hypno S;Cappello Hypno S;Hypno-Kappe S;;
Basarios Helm S;Casco de Basarios S;Casque Basarios S;Elmo Basarios S;Basarios-Helm S;;
Basarios Cap S;Gorro de Basarios S;Heaume Basarios S;Cappello Basarios S;Basarios-Kappe S;;
Plesioth Helm S;Casco de Plesioth S;Casque Plesioth S;Elmo Plesioth S;Plesioth-Helm S;;
Plesioth Cap S;Gorro de Plesioth S;Heaume Plesioth S;Cappello Plesioth S;Plesioth-Kappe S;;
Monoblos Helm S;Casco de Monoblos S;Casque Monoblos S;Elmo Monoblos S;Monoblos-Helm S;;
Monoblos Cap S;Gorro de Monoblos S;Heaume Monoblos S;Cappello Monoblos S;Monoblos-Kappe S;;
Garuga Helm S;Casco Garuga S;Casque Garuga S;Elmo Garuga S;Garuga-Helm S;;
Garuga Cap S;Gorro Garuga S;Heaume Garuga S;Cappello Garuga S;Garuga-Kappe S;;
Blango Helm S;Casco de Blango S;Casque Blango S;Elmo di Blango S;Blango-Helm S;;
Blango Cap S;Gorro de Blango S;Heaume Blango S;Cappello Blango S;Blango-Kappe S;;
Ceanataur Helm S;Casco de Ceanataur S;Casque Ceanataur S;Elmo di Ceanataur S;Ceanataur-Helm S;;
Ceanataur Cap S;Gorro de Ceanataur S;Heaume Ceanataur S;Cappello Ceanataur S;Ceanataur-Kappe S;;
Rathian Helm S;Casco de Rathian S;Casque Rathian S;Elmo Rathian S;Rathian-Helm S;;
Rathian Cap S;Gorro de Rathian S;Heaume Rathian S;Cappello Rathian S;Rathian-Kappe S;;
Narga Helm S;Casco Narga S;Casque Narga S;Elmo Narga S;Narga-Helm S;;
Narga Cap S;Gorro Narga S;Heaume Narga S;Cappello Narga S;Narga-Kappe S;;
Tigrex Helm S;Casco de Tigrex S;Casque Tigrex S;Elmo di Tigrex S;Tigrex-Helm S;;
Tigrex Cap S;Gorro de Tigrex S;Heaume Tigrex S;Cappello di Tigrex S;Tigrex-Kappe S;;
Rathalos Helm S;Casco de Rathalos S;Casque Rathalos S;Elmo Rathalos S;Rathalos-Helm S;;
Rathalos Cap S;Gorro de Rathalos S;Heaume Rathalos S;Cappello Rathalos S;Rathalos-Kappe S;;
Diablo Helm S;Casco de Diablos S;Casque Di ablos S;Elmo di Diablos S;Diablos-Helm S;;
Diablo Cap S;Gorro de Diablos S;Heaume Diablos S;Cappello Diablos S;Diablos-Kappe S;;
Gravios Helm S;Casco de Gravios S;Casque Gravios S;Elmo Gravios S;Gravios-Helm S;;
Gravios Cap S;Gorro de Gravios S;Heaume Gravios S;Cappello Gravios S;Gravios-Kappe S;;
Leather Helm U;Casco de Cuero U;Casque en cuir U;Elmo Cuoio U;Lederhelm U;;
Chain Helm U;Casco Cota Malla U;Casque en mailles U;Elmo di Maglia U;Kettenhelm U;;
Hunter's Helm U;Casco de Cazador U;Casque de chasseur U;Elmo Cacciatore U;Jägerhelm U;;
Hunter's Cap U;Gorro de Cazador U;Heaume de chasseur U;Capp. Cacciatore U;Jägerkappe U;;
Bone Helm U;Casco de Hueso U;Casque d'os U;Elmo Osso U;Knochenhelm U;;
Bone Cap U;Gorro de Hueso U;Heaume d'os U;Cappello d'Osso U;Knochenkappe U;;
Battle Helm U;Casco de Combate U;Casque de combat U;Elmo da Battaglia U;Kampfhelm U;;
Battle Cap U;Gorro de Combate U;Heaume de combat U;Capp. da Battaglia U;Kampfkappe U;;
Giaprey Helm U;Casco de Giaprey U;Casque Giaprey U;Elmo di Giaprey U;Giaprey-Helm U;;
Giaprey Cap U;Gorro de Giaprey U;Heaume Giaprey U;Cappello Giaprey U;Giaprey-Kappe U;;
Vespoid Helm U;Casco de Vespoid U;Casque Vespoid U;Elmo Vespoid U;Vespoid-Helm U;;
Vespoid Cap U;Gorro de Vespoid U;Heaume Vespoid U;Cappello Vespoid U;Vespoid-Kappe U;;
Hi-Metal Helm U;Casco de Megametal U;Casque haut-métal U;Elmo Hi-Metal U;Hochmetall-Helm U;;
Hi-Metal Cap U;Gorro de Megametal U;Heaume haut-métal U;Capp. Hi-Metal U;Hochmetall-Kappe U;;
Hornet Helm U;Casco de Hornet. U;Casque Hornet U;Elmo Hornet U;Hornissen-Helm U;;
Hornet Cap U;Gorro de Hornet. U;Heaume Hornet U;Cappello Hornet U;Hornissen-Kappe U;;
Genprey Helm U;Casco de Genprey U;Casque Genprey U;Elmo Genprey U;Genprey-Helm U;;
Genprey Cap U;Gorro de Genprey U;Heaume Genprey U;Cappello Genprey U;Genprey-Kappe U;;
Ioprey Helm U;Casco de Ioprey U;Casque Ioprey U;Elmo Ioprey U;Ioprey-Helm U;;
Ioprey Cap U;Gorro de Ioprey U;Heaume Ioprey U;Cappello Ioprey U;Ioprey-Kappe U;;
Kut-Ku Helm U;Casco de Kut-Ku U;Casque Kut-Ku U;Elmo di Kut-Ku U;Kut-Ku-Helm U;;
Kut-Ku Cap U;Gorro de Kut-Ku U;Heaume Kut-Ku U;Cappello di Kut-Ku U;Kut-Ku-Kappe U;;
Cephalos Helm U;Casco de Cephalos U;Casque Cephalos U;Elmo Cephalos U;Cephalos-Helm U;;
Cephalos Cap U;Gorro de Cephalos U;Heaume Cephalos U;Cappello Cephalos U;Cephalos-Kappe U;;
Conga Helm U;Casco de Conga U;Casque Conga U;Elmo di Conga U;Conga-Helm U;;
Conga Cap U;Gorro de Conga U;Heaume Conga U;Cappello di Conga U;Conga-Kappe U;;
Gypceros Helm U;Casco de Gypceros U;Casque Gypceros U;Elmo Gypceros U;Gypceros-Helm U;;
Gypceros Cap U;Gorro de Gypceros U;Heaume Gypceros U;Cappello Gypceros U;Gypceros-Kappe U;;
Khezu Helm U;Casco de Khezu U;Casque Khezu U;Elmo Khezu U;Khezu-Helm U;;
Khezu Cap U;Gorro de Khezu U;Heaume Khezu U;Cappello Khezu U;Khezu-Kappe U;;
Hermitaur Helm U;Casco de Hermitaur U;Casque Hermitaur U;Elmo Hermitaur U;Hermitaur-Helm U;;
Hermitaur Cap U;Gorro de Hermitaur U;Heaume Hermitaur U;Cappello Hermitaur U;Hermitaur-Kappe U;;
Basarios Helm U;Casco de Basarios U;Casque Basarios U;Elmo Basarios U;Basarios-Helm U;;
Basarios Cap U;Gorro de Basarios U;Heaume Basarios U;Cappello Basarios U;Basarios-Kappe U;;
Plesioth Helm U;Casco de Plesioth U;Casque Plesioth U;Elmo Plesioth U;Plesioth-Helm U;;
Plesioth Cap U;Gorro de Plesioth U;Heaume Plesioth U;Cappello Plesioth U;Plesioth-Kappe U;;
Blango Helm U;Casco de Blango U;Casque Blango U;Elmo di Blango U;Blango-Helm U;;
Blango Cap U;Gorro de Blango U;Heaume Blango U;Cappello Blango U;Blango-Kappe U;;
Ceanataur Helm U;Casco de Ceanataur U;Casque Ceanataur U;Elmo di Ceanataur U;Ceanataur-Helm U;;
Ceanataur Cap U;Gorro de Ceanataur U;Heaume Ceanataur U;Cappello Ceanataur U;Ceanataur-Kappe U;;
Diablo Helm U;Casco de Diablos U;Casque Diablos U;Elmo di Diablos U;Diablos-Helm U;;
Diablo Cap U;Gorro de Diablos U;Heaume Diablos U;Cappello Diablos U;Diablos-Kappe U;;
Gravios Helm U;Casco de Gravios U;Casque Gravios U;Elmo Gravios U;Gravios-Helm U;;
Gravios Cap U;Gorro de Gravios U;Heaume Gravios U;Cappello Gravios U;Gravios-Kappe U;;
Skull Face;Cara de Calavera;Tête de mort;Faccia di Teschio;Totenschädel;;
Black Belt Helm S;Casco Cint. Neg. S;Casq. ceint. noire S;Elmo Cintura Nera S;Schwarzgurt-Helm S;;
Shinobi Mask(Heaven);Másc Shinobi (Par.);Masq. Shinobi Cieux;Masc.Shinobi(Parad.);ShinobiMaskHimmelrch;;
Shinobi Mask (Earth);Másc Shinobi (Tie.);Masq. Shinobi Terre;Masc.Shinobi (Terra);Shinobi-Maske Erde;;
RdGuildGuardTricorne;Tric. Guar. Gre. R.;Tricor.grd.gld rouge;Tricor.RossoG.Gilda;RotGildWächtDreisptz;;
Red Guild Guard Mask;Más. Guar. Gre. Roja;Masque grd.gld rouge;Masc. Rossa G. Gilda;RotGildWächt-Maske;;
BlGuildGuardTricorne;Tri. Gua. Gre. Azul;Tricor.gard.gld bleu;Tricorno Blu G.Gilda;Bl GildWächtDreisptz;;
Blue GuildGuard Mask;Más. Cab. Gre. Azul;Masque gard.gld bleu;Masc.Blu Guard.Gilda;Bl GildWächt-Maske;;
Red Guild Guard Hat;Som. Guar. Gre. Rojo;Chap.gard.gld rouge;Orecc. Rosso G.Gilda;RotGildWächt-Hut;;
RedGuildGuardPiercng;Pie. Guar. Gre. Roj.;Pierc.gard.gld rouge;Capp. Rosso G. Gilda;RotGildWächt-Piercng;;
Blue Guild Guard Hat;Som. Gua. Gre. Azul;Chap.gard.gld bleu;Orecc. Blu G. Gilda;Bl GildWächt-Hut;;
BluGuildGuardPiercng;Pie. Gua. Gre. Azul;Pierc.gard.gld bleu;Capp.Blu Guard.Gilda;Bl GildWächt-Piercng;;
(dummy)Devil Blos Helm;(dummy)Devil Blos Helm;(dummy)Devil Blos Helm;(dummy)Devil Blos Helm;(dummy)Devil Blos Helm;;
(dummy)Devil Blos Cap;(dummy)Devil Blos Helm;(dummy)Devil Blos Cap;(dummy)Devil Blos Helm;(dummy)Devil Blos Cap;;
(dummy)Jolly Roger Hat;(dummy)Jolly Roger Hat;(dummy)Jolly Roger Hat;(dummy)Jolly Roger Hat;(dummy)Jolly Roger Hat;;
