name;hr;village;slots;skill_one;skill_one_points;skill_two;skill_two_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four;alt_material_one;alt_amount_one;alt_material_two;alt_amount_two;alt_material_three;alt_amount_three;alt_material_four;alt_amount_four
Jumping Jewel 1;2;5;1;Evade Dist;1;Health;-1;Sunspire Jewel;1;Nargacuga Pelt;2;Bnahabra Wing;2;;;Bloodrun Jewel;1;Barioth Carapace;2;;;;
Jumping Jewel 3;5;-1;3;Evade Dist;4;Health;-2;Lazurite Jewel;1;G.Narga Razor+;2;Qurupeco Wing;2;;;;;;;;;;
Sheathe Jewel 1;1;3;1;Sheathing;1;Sharpener;-1;Sunspire Jewel;1;Humspun Conch;1;Altaroth Stomach;1;;;Bloodrun Jewel;1;Jaggi Scale+;1;Drink Ticket;1;;
Sheathe Jewel 2;6;-1;2;Sheathing;3;Sharpener;-1;Bloodrun Jewel;1;Diablos Carapace;1;Quality Sac;2;;;;;;;;;;
TrapMastr Jwl 1;1;3;1;SpeedSetup;2;;;Sunspire Jewel;1;Velvety Hide;1;Shock Trap;1;;;;;;;;;;
Gobbler Jewel 1;1;4;1;Eating;1;Rec Level;-1;Sunspire Jewel;1;Nibelsnarf Hide;1;Arzuros Brace;2;;;Bloodrun Jewel;1;Nibelsnarf Hide+;2;;;;
Gobbler Jewel 3;6;-1;3;Eating;4;Rec Level;-2;Lazurite Jewel;1;Deviljho Fang;2;Tigrex Fang+;2;;;;;;;;;;
Sprinter Jewel 1;1;3;1;Stamina;1;Hunger;-1;Sunspire Jewel;1;R.Ludroth Claw;1;Mega Dash Juice;2;;;Bloodrun Jewel;1;Plum Spongy Hide;2;;;;
Sprinter Jewel 3;5;-1;3;Stamina;4;Hunger;-2;Lazurite Jewel;1;G.Narga Scale+;1;Spongy Hide+;2;;;;;;;;;;
Physique Jewel 1;1;3;1;Constitutn;1;Stamina;-1;Sunspire Jewel;1;King's Beak;1;Wroggi Scale;2;;;Bloodrun Jewel;1;Barioth Pelt+;2;;;;
Physique Jewel 2;6;-1;2;Constitutn;3;Stamina;-1;Lazurite Jewel;1;Agnaktor Fin+;1;G.Wroggi Hide+;2;;;;;;;;;;
Refresh Jewel 1;2;5;1;Stam Recov;1;Evasion;-1;Sunspire Jewel;1;Nargacuga Scale;1;Monster Bone M;2;;;Bloodrun Jewel;1;Rheno Carapace;2;Hot Spring Ticket;1;;
Refresh Jewel 2;5;-1;2;Stam Recov;3;Evasion;-1;Bloodrun Jewel;1;Nargacuga Fang+;1;Monster Keenbone;2;;;;;;;;;;
Hungerless Jwl 1;1;2;1;Hunger;2;;;Aquaglow Jewel;1;Bulldrome Tusk;1;Well-done Steak;1;;;;;;;;;;
Metabolism Jwl 1;1;2;1;Gluttony;2;;;Aquaglow Jewel;1;Jumbo Bone;1;;;;;;;;;;;;
Fate Jewel 1;4;-1;1;Fate;1;Whim;-1;Bloodrun Jewel;1;Bird Wyvern Gem;1;Silver Egg;2;;;;;;;;;;
Fate Jewel 3;6;-1;3;Fate;4;Whim;-2;Lazurite Jewel;1;G.Rathian Spike+;2;Golden Egg;2;;;;;;;;;;
Capture Jewel 1;4;6;1;Tranquilzr;1;Fate;-1;Bloodrun Jewel;1;Commendation;1;Zin Electrofur;1;;;;;;;;;;
Capture Jewel 3;6;-1;3;Tranquilzr;4;Fate;-2;Lazurite Jewel;1;Commendation+;2;Zinogre Plate;1;;;;;;;;;;
Carver Jewel 1;6;-1;1;Carving;1;Fate;-1;Bloodrun Jewel;1;Deviljho Hide;1;;;;;;;;;;;;
Carver Jewel 3;6;-1;3;Carving;4;Fate;-2;Lazurite Jewel;1;Amatsu Patagium;1;Earth Dragongem;1;;;;;;;;;;
Transportr Jwl 1;1;3;1;Transportr;2;;;Aquaglow Jewel;1;Dash Extract;1;;;;;;;;;;;;
Gathering Jwl 1;1;2;1;Gathering;2;;;Aquaglow Jewel;1;Bumblepumpkin;2;;;;;;;;;;;;
Spree Jewel 1;1;2;1;Spd Gather;2;;;Aquaglow Jewel;1;Bumblepumpkin;1;Monster Bone S;2;;;;;;;;;;
Blessing Jewel 1;1;2;1;Whim;2;;;Aquaglow Jewel;1;Iron Ore;2;;;;;;;;;;;;
Friendship Jwl 1;1;3;1;Wide-Range;1;Sense;-1;Aquaglow Jewel;1;Qurupeco Feather;1;;;;;Sunspire Jewel;1;Comrade Ticket;1;Small Goldenfish;2;;
Friendship Jwl 2;5;-1;2;Wide-Range;3;Sense;-1;Bloodrun Jewel;1;C.Peco Wing;1;Lifepowder;2;;;;;;;;;;
Psychic Jewel 1;1;3;1;Psychic;2;;;Aquaglow Jewel;1;Vivid Feather;1;;;;;;;;;;;;
Professor Jwl 1;1;2;1;Combo Rate;2;;;Aquaglow Jewel;1;Book of Combos 1;1;Gargwa Feather;1;;;;;;;;;;
Factory Jewel 1;1;2;1;Combo Plus;2;;;Aquaglow Jewel;1;Small Goldenfish;1;;;;;;;;;;;;
Enduring Jewel 1;1;2;1;LastingPwr;2;;;Aquaglow Jewel;1;Big Fin;1;;;;;;;;;;;;
Perception Jwl 1;1;2;1;Perception;2;;;Aquaglow Jewel;1;Slagtoth Hide;1;Binoculars;1;;;;;;;;;;
Dungmaster Jwl 1;1;2;1;Dungmaster;2;;;Aquaglow Jewel;1;Dung Bomb;2;;;;;;;;;;;;
Ranger Jewel 1;1;2;1;Ranger;2;;;Aquaglow Jewel;1;Sushifish;1;Raw Meat;2;;;;;;;;;;
Ninja Jewel 1;1;3;1;Sense;2;;;Aquaglow Jewel;1;Anteka Antlers;2;;;;;;;;;;;;
Handicraft Jwl 1;3;6;1;Handicraft;1;Sharpness;-1;Sunspire Jewel;1;Sturdy Fang;1;Agnaktor Claw;2;;;Bloodrun Jewel;1;Deviljho Talon;2;;;;
Handicraft Jwl 3;6;-1;3;Handicraft;4;Sharpness;-2;Lazurite Jewel;1;Amatsu Claw;1;Deviljho Gem;1;;;;;;;;;;
Fencer Jewel 1;3;6;1;Fencing;1;Handicraft;-1;Sunspire Jewel;1;ElderDragonBlood;1;;;;;Bloodrun Jewel;1;S.Rath Carapace;2;G.Agnak Tail;1;;
Fencer Jewel 3;6;-1;3;Fencing;4;Handicraft;-2;Lazurite Jewel;1;Ukanlos Shell;2;Tigrex Jaw;1;;;;;;;;;;
Razor Jewel 1;3;6;1;Sharpness;1;Handicraft;-1;Sunspire Jewel;1;Agnaktor Fin;1;Zinogre Shell;1;;;Bloodrun Jewel;1;Rathian Plate;1;;;;
Razor Jewel 3;6;-1;3;Sharpness;4;Handicraft;-2;Lazurite Jewel;1;Agnaktor Fin+;1;Fearsome Maw;2;;;;;;;;;;
Draw Jewel 1;3;6;1;Crit Draw;1;Expert;-1;Sunspire Jewel;1;Twisted Horn;1;Diablos Shell;2;;;Bloodrun Jewel;1;Uragaan Carapace;2;;;;
Draw Jewel 2;6;-1;2;Crit Draw;3;Expert;-1;Lazurite Jewel;1;Diablos Ridge+;1;J.Barr Carapace;1;;;;;;;;;;
Gambit Jewel 1;2;5;1;PunishDraw;1;Sharpness;-1;Sunspire Jewel;1;Uragaan Scute;1;Monster Bone+;2;;;Bloodrun Jewel;1;Uragaan Scale+;2;;;;
Gambit Jewel 3;6;-1;3;PunishDraw;4;Sharpness;-2;Lazurite Jewel;1;Blackcurl Horn;1;Barioth Carapace;1;;;;;;;;;;
Ironwall Jewel 1;1;3;1;Guard;1;Constitutn;-1;Sunspire Jewel;1;Barroth Shell;2;;;;;;;;;;;;
Ironwall Jewel 2;3;6;2;Guard;3;Constitutn;-1;Sunspire Jewel;1;Agnaktor Beak;1;Agnaktor Shell;3;;;Bloodrun Jewel;1;G.Agnak Fin+;2;;;;
Shield Jewel 1;2;4;1;Guard Up;1;Stamina;-1;Sunspire Jewel;1;Firestone;2;;;;;;;;;;;;
Shield Jewel 2;6;-1;2;Guard Up;3;Stamina;-1;Bloodrun Jewel;1;G.Agnak Carapace;1;Firecell Stone;3;;;;;;;;;;
Grinder Jewel 1;1;2;1;Sharpener;2;;;Aquaglow Jewel;1;G.Jaggi Claw;1;Machalite Ore;1;;;;;;;;;;
Forceshot Jwl 1;2;5;1;Normal Up;1;Recoil;-1;Sunspire Jewel;1;Monster Bone+;2;Popfish;5;;;;;;;;;;
Forceshot Jwl 3;6;-1;3;Normal Up;4;Recoil;-2;Lazurite Jewel;1;Agnak Carapace;2;Monster Keenbone;2;;;;;;;;;;
Pierce Jewel 1;2;5;1;Pierce Up;1;Recoil;-1;Sunspire Jewel;1;Uragaan Jaw;1;Hercudrome;2;;;;;;;;;;
Pierce Jewel 3;5;-1;3;Pierce Up;4;Recoil;-2;Lazurite Jewel;1;Uragaan Ruby;1;King Scarab;2;;;;;;;;;;
Pellet Jewel 1;1;3;1;Pellet Up;1;Recoil;-1;Sunspire Jewel;1;Isisium;2;Wyvern Fang;5;;;;;;;;;;
Pellet Jewel 3;5;-1;3;Pellet Up;4;Recoil;-2;Lazurite Jewel;1;S.Uragaan Scute;1;Gracium;2;;;;;;;;;;
ShotPlus Jewel 1;1;2;1;Normal S+;1;Reload Speed;-1;Aquaglow Jewel;1;Monster Bone M;2;;;;;;;;;;;;
ShotPlus Jewel 2;2;5;2;Normal S+;3;Reload Speed;-1;Sunspire Jewel;1;Monster Bone+;2;Blue Cutthroat;2;;;Bloodrun Jewel;1;Volvidon Claw+;1;Stout Bone;1;;
PiercePlus Jwl 1;2;3;1;Pierce S+;2;;;Sunspire Jewel;1;Dragonite Ore;2;;;;;;;;;;;;
PelletPlus Jwl 1;1;4;1;Pellet S+;2;;;Sunspire Jewel;1;Nibelsnarf Shell;2;;;;;;;;;;;;
CragPlus Jewel 1;3;5;1;Crag S+;2;;;Sunspire Jewel;1;Rathalos Shell;2;;;;;;;;;;;;
ClustPlus Jwl 1;2;5;1;Clust S+;1;Reload Speed;-1;Sunspire Jewel;1;Uragaan Scale;2;;;;;;;;;;;;
Slice Plus Jwl 1;1;3;1;Slice S+;2;;;Aquaglow Jewel;1;Lagombi Pelt;2;;;;;;;;;;;;
Salvo Jewel 1;3;6;1;Rapid Fire;1;Reload Speed;-1;Sunspire Jewel;1;Tigrex Fang;2;Barioth Claw;2;;;Bloodrun Jewel;1;Rath Medulla;2;;;;
Salvo Jewel 3;6;-1;3;Rapid Fire;4;Reload Speed;-2;Lazurite Jewel;1;Ukanlos Jaw;2;Rathalos Plate;1;;;;;;;;;;
Quickload Jwl 1;1;3;1;Reload Speed;1;Recoil;-1;Sunspire Jewel;1;Pelagicite Ore;3;;;;;;;;;;;;
Quickload Jwl 2;2;5;2;Reload Speed;3;Recoil;-1;Sunspire Jewel;1;Nargacuga Fang;2;Lightcrystal;2;;;Bloodrun Jewel;1;B.Giggi Claw+;2;;;;
Absorber Jewel 1;1;3;1;Recoil;1;Reload Speed;-1;Sunspire Jewel;1;Barroth Scalp;1;R.Ludroth Crest;1;;;Bloodrun Jewel;1;Barroth Ridge+;2;;;;
Absorber Jewel 3;6;-1;3;Recoil;4;Reload Speed;-2;Lazurite Jewel;1;Duram Tailcase+;2;B.Diablos Ridge+;2;;;;;;;;;;
Sniper Jewel 1;1;2;1;Precision;2;;;Aquaglow Jewel;1;Unknown Skull;2;;;;;;;;;;;;
Paracoat Jwl 1;1;4;1;Para C+;1;Attack;-1;Sunspire Jewel;1;Paralysis Sac;1;;;;;;;;;;;;
Paracoat Jwl 2;5;-1;2;Para C+;3;Attack;-1;Bloodrun Jewel;1;B.Giggi Hide+;1;Omniplegia Sac;1;;;;;;;;;;
Sleepcoat Jwl 1;2;3;1;Sleep C+;2;;;Sunspire Jewel;1;Sleep Sac;1;;;;;;;;;;;;
Poisoncoat Jwl 1;1;3;1;Poison C+;2;;;Sunspire Jewel;1;Poison Sac;1;;;;;;;;;;;;
Powercoat Jwl 1;2;4;1;Power C+;1;Expert;-1;Sunspire Jewel;1;Uroktor Scale;2;Nitroshroom;5;;;;;;;;;;
Powercoat Jwl 2;5;-1;2;Power C+;3;Expert;-1;Bloodrun Jewel;1;Uroktor Scale+;1;Lava Nugget;1;;;;;;;;;;
Rangecoat Jwl 1;1;3;1;C. Range C+;2;;;Sunspire Jewel;1;R.Ludroth Scale;1;Immature Sponge;1;;;;;;;;;;
Draincoat Jwl 1;1;3;1;Exhaust C+;2;;;Sunspire Jewel;1;Wanchovy;2;Monster Bone L;1;;;;;;;;;;
