name;hr;village;slots;skill_one;skill_one_points;skill_two;skill_two_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four;alt_material_one;alt_amount_one;alt_material_two;alt_amount_two;alt_material_three;alt_amount_three;alt_material_four;alt_amount_four
Element Jewel 1;6;-1;1;Elemental;1;Status;-1;Alatreon Scute;2;Adamant Orb;1;;;;;;;;;;;;
Element Jewel 3;6;-1;3;Elemental;4;Status;-2;Alatreon Talon;2;Adamant Orb;1;I.Lagi D-Shocker;1;;;;;;;;;;
Fire Res Jewel 1;1;2;1;Fire Res;1;Water Res;-1;Aquaglow Jewel;1;Fire Herb;5;;;;;;;;;;;;
Nul-Fire Jewel 1;1;4;1;Fire Res;2;;;Sunspire Jewel;1;Flame Sac;2;Monster Bone L;3;;;;;;;;;;
Water Res Jwl 1;1;1;1;Water Res;1;ThunderRes;-1;Aquaglow Jewel;1;Whetfish;5;;;;;;;;;;;;
Nul-Water Jwl 1;1;3;1;Water Res;2;;;Aquaglow Jewel;1;Aqua Sac;2;Monster Bone L;3;;;;;;;;;;
ThunderRes Jwl 1;1;1;1;ThunderRes;1;Ice Res;-1;Aquaglow Jewel;1;Thunderbug;3;;;;;;;;;;;;
Nul-Thundr Jwl 1;2;5;1;ThunderRes;2;;;Sunspire Jewel;1;Shell Shocker;1;Monster Bone L;1;;;;;;;;;;
Ice Res Jewel 1;1;1;1;Ice Res;1;Fire Res;-1;Aquaglow Jewel;1;Ice Crystal;5;;;;;;;;;;;;
Nul-Ice Jewel 1;1;4;1;Ice Res;2;;;Sunspire Jewel;1;Lagombi Claw;2;Monster Bone L;3;;;;;;;;;;
Dragon Res Jwl 1;2;5;1;Dragon Res;1;Poison;-1;Aquaglow Jewel;1;Dragonfell Berry;2;;;;;;;;;;;;
Nul-Dragon Jwl 1;4;7;1;Dragon Res;2;;;Bloodrun Jewel;1;Dragonbone Relic;1;Monster Keenbone;2;;;;;;;;;;
Razor Jewel 1;4;9;1;Sharpness;1;Handicraft;-1;Bloodrun Jewel;1;Rathalos Scale+;1;Zinogre Carapace;1;;;Bloodrun Jewel;1;Rathian Ruby;1;;;;
Razor Jewel 3;5;8;3;Sharpness;4;Handicraft;-2;Lazurite Jewel;1;Agnaktor Fin+;1;Fearsome Maw;2;;;;;;;;;;
Handicraft Jwl 2;8;-1;2;Handicraft;1;Sharpness;-1;Deific Fang;1;Adamant Orb;1;Agnaktor Claw+;2;;;Rath Gleem;1;Adamant Orb;1;Deviljho Ripper;2;;
Handicraft Jwl 3;8;-1;3;Handicraft;2;Sharpness;-2;Miralis Fireclaw;1;Adamant Orb;1;Deviljho Gem;1;;;;;;;;;;
Fencer Jewel 1;8;-1;1;Fencing;1;Handicraft;-1;G.Rathian Cortex;2;Adamant Orb;1;Nargacuga Lash;1;;;S.Rath Cortex;2;Adamant Orb;1;G.Agnak Tail;1;;
Fencer Jewel 3;8;-1;3;Fencing;4;Handicraft;-2;A.Lagi D-Shocker;2;Adamant Orb;1;A.Rathalos Lash;1;;;;;;;;;;
Grinder Jewel 1;1;2;1;Sharpener;2;;;Aquaglow Jewel;1;G.Jaggi Claw;1;Machalite Ore;1;;;;;;;;;;
Draw Jewel 1;7;-1;1;Crit Draw;1;Expert;-1;Adamant Orb;1;Stout Horn;1;Diablos Carapace;2;;;Adamant Orb;1;Uragaan Cortex;2;;;;
Draw Jewel 2;7;-1;2;Crit Draw;3;Expert;-1;Adamant Orb;1;Diablos Chine;1;J.Barroth Cortex;1;;;;;;;;;;
Gambit Jewel 1;7;-1;1;PunishDraw;1;Sharpness;-1;Adamant Orb;1;Uragaan Scute+;1;G.Plesio Shard;2;;;Adamant Orb;1;Uragaan Shard;2;;;;
Gambit Jewel 3;7;-1;3;PunishDraw;4;Sharpness;-2;Adamant Orb;1;Blackcurl Horn+;1;Barioth Carapace;1;;;;;;;;;;
Quickload Jwl 1;1;3;1;Reload Spd;1;Recoil;-1;Aquaglow Jewel;1;Pelagicite Ore;3;;;;;;;;;;;;
Quickload Jwl 2;2;5;2;Reload Spd;3;Recoil;-1;Sunspire Jewel;1;Amber Tusks;2;Lightcrystal;2;;;Bloodrun Jewel;1;B.Giggi Claw+;2;;;;
Capacity Jewel 2;7;-1;2;Loading;1;Reload Spd;-1;Adamant Orb;1;G.Ceadeus Coat;1;Agnaktor Cortex;2;;;Adamant Orb;1;Vile Fang;1;;;;
Capacity Jewel 3;6;-1;3;Loading;2;Reload Spd;-2;Adamant Orb;1;G.Ceadeus Shard;1;Lrg Wyvern Stone;1;;;;;;;;;;
Salvo Jewel 1;8;-1;1;Rapid Fire;1;Reload Spd;-1;H.Jhen Shard;2;Adamant Orb;1;I.Lagi Horn+;2;;;Adamant Orb;1;Rathlos Fellwing;2;;;;
Salvo Jewel 3;8;-1;3;Rapid Fire;4;Reload Spd;-2;Adamant Orb;1;A.Lagi HardHorn;2;A.Rathalos Wing;1;;;;;;;;;;
Absorber Jewel 1;1;3;1;Recoil;1;Reload Spd;-1;Aquaglow Jewel;1;Barroth Scalp;1;R.Ludroth Crest;1;;;Bloodrun Jewel;1;Barroth Ridge+;2;;;;
Absorber Jewel 3;5;9;3;Recoil;4;Reload Spd;-2;Lazurite Jewel;1;Duram Tailcase+;2;B.Diablos Ridge+;2;;;;;;;;;;
Sniper Jewel 1;1;1;1;Precision;2;;;Aquaglow Jewel;1;Unknown Skull;2;;;;;;;;;;;;
Forceshot Jwl 1;2;5;1;Normal Up;1;Recoil;-1;Sunspire Jewel;1;Monster Bone+;2;Popfish;5;;;;;;;;;;
Forceshot Jwl 3;5;8;3;Normal Up;4;Recoil;-2;Lazurite Jewel;1;Agnak Carapace;2;Monster Keenbone;2;;;;;;;;;;
Pierce Jewel 1;2;5;1;Pierce Up;1;Recoil;-1;Sunspire Jewel;1;Uragaan Jaw;1;Hercudrome;2;;;;;;;;;;
Pierce Jewel 3;4;8;3;Pierce Up;4;Recoil;-2;Lazurite Jewel;1;Uragaan Ruby;1;King Scarab;2;;;;;;;;;;
Pellet Jewel 1;1;4;1;Pellet Up;1;Recoil;-1;Sunspire Jewel;1;Isisium;2;Wyvern Fang;5;;;;;;;;;;
Pellet Jewel 3;5;9;3;Pellet Up;4;Recoil;-2;Lazurite Jewel;1;S.Uragaan Scute;1;Gracium;2;;;;;;;;;;
ShotPlus Jewel 1;1;2;1;Normal S+;1;Reload Spd;-1;Aquaglow Jewel;1;Monster Bone M;2;;;;;;;;;;;;
ShotPlus Jewel 2;2;5;2;Normal S+;3;Reload Spd;-1;Sunspire Jewel;1;Monster Bone+;2;Barroth Ridge;1;;;Bloodrun Jewel;1;Volvidon Claw+;1;Stoutbone;1;;
PiercePlus Jwl 1;2;5;1;Pierce S+;2;;;Sunspire Jewel;1;Dragonite Ore;2;;;;;;;;;;;;
PelletPlus Jwl 1;2;5;1;Pellet S+;2;;;Sunspire Jewel;1;Nibelsnarf Shell;2;;;;;;;;;;;;
CragPlus Jewel 1;2;5;1;Crag S+;2;;;Sunspire Jewel;1;Rathalos Shell;2;;;;;;;;;;;;
ClustPlus Jwl 1;2;5;1;Clust S+;1;Reload Spd;-1;Sunspire Jewel;1;Uragaan Scale;2;;;;;;;;;;;;
SlicePlus Jwl 1;1;4;1;Use Slicing S;2;;;Aquaglow Jewel;1;Lagombi Pelt;2;;;;;;;;;;;;
SlimePlus Jwl 1;4;8;1;Use Slime S;2;;;Bloodrun Jewel;1;Brach Ebonshell;2;Fire Herb;4;;;;;;;;;;
Poisoncoat Jwl 1;1;3;1;Poison C+;2;;;Aquaglow Jewel;1;Poison Sac;1;;;;;;;;;;;;
Paracoat Jwl 1;1;4;1;Para C+;1;Attack;-1;Sunspire Jewel;1;Paralysis Sac;1;;;;;;;;;;;;
Paracoat Jwl 2;4;7;2;Para C+;3;Attack;-1;Bloodrun Jewel;1;B.Giggi Hide+;1;Omniplegia Sac;1;;;;;;;;;;
Sleepcoat Jwl 1;1;4;1;Sleep C+;2;;;Sunspire Jewel;1;Sleep Sac;1;;;;;;;;;;;;
Powercoat Jwl 1;2;5;1;Power C+;1;Expert;-1;Sunspire Jewel;1;Uroktor Scale;2;Nitroshroom;5;;;;;;;;;;
Powercoat Jwl 2;4;8;2;Power C+;3;Expert;-1;Bloodrun Jewel;1;Uroktor Scale+;1;Lava Nugget;1;;;;;;;;;;
Rangecoat Jwl 1;1;3;1;C.Range C+;2;;;Aquaglow Jewel;1;R.Ludroth Scale;1;Immature Sponge;1;;;;;;;;;;
Draincoat Jwl 1;1;4;1;Exhaust C+;2;;;Sunspire Jewel;1;Wanchovy;2;Monster Bone L;1;;;;;;;;;;
Slimecoat Jwl 1;4;8;1;Slime C+;2;;;Bloodrun Jewel;1;Brach Carapace;2;Lava Nugget;1;;;;;;;;;;
Sonorous Jewel 1;1;3;1;Maestro;2;;;Aquaglow Jewel;1;Strange Beak;1;Field Horn;1;;;;;;;;;;
Artillery Jwl 1;1;4;1;Artillery;2;;;Sunspire Jewel;1;Isisium;1;Barrel Bomb L+;2;;;;;;;;;;
Bombardier Jwl 1;1;3;1;Bomb Boost;2;;;Aquaglow Jewel;1;Flintstone;1;G.Jaggi Hide;1;;;;;;;;;;
Medicine Jewel 1;1;4;1;Rec Level;1;Rec Speed;-1;Sunspire Jewel;1;Qurupeco Scale;1;Kelbi Horn;2;;;;;;;;;;
Medicine Jewel 2;3;6;2;Rec Level;3;Rec Speed;-1;Bloodrun Jewel;1;Qurupeco Scale+;1;Ancient Potion;1;;;;;;;;;;
Friendship Jwl 1;1;3;1;Wide-Range;1;Sense;-1;Aquaglow Jewel;1;Qurupeco Feather;1;;;;;Aquaglow Jewel;1;Chum-Chum Ticket;1;Small Goldenfish;2;;
Friendship Jwl 2;3;6;2;Wide-Range;3;Sense;-1;Bloodrun Jewel;1;C.Peco Wing;1;Lifepowder;2;;;;;;;;;;
Enduring Jewel 1;1;1;1;LastingPwr;2;;;Aquaglow Jewel;1;Big Fin;1;;;;;;;;;;;;
Hungerless Jwl 1;1;3;1;Hunger;2;;;Aquaglow Jewel;1;Monster Bone L;1;Well-Done Steak;1;;;;;;;;;;
Metabolism Jwl 1;1;2;1;Gluttony;2;;;Aquaglow Jewel;1;Monster Bone M;1;;;;;;;;;;;;
Gobbler Jewel 1;2;5;1;Eating;1;Rec Level;-1;Sunspire Jewel;1;Nibelsnarf Hide;1;Arzuros Brace;2;;;Bloodrun Jewel;1;Nibelsnarf Hide+;2;;;;
Gobbler Jewel 3;5;10;3;Eating;4;Rec Level;-2;Lazurite Jewel;1;Deviljho Fang;2;Uragaan Carapace;2;;;;;;;;;;
Meateater Jwl 1;6;-1;1;Carnivore;1;Hunger;-1;Adamant Orb;1;Imperial Frill;2;;;;;;;;;;;;
Meatlover Jwl 1;6;-1;1;Carnivore;2;;;Adamant Orb;1;Imperial Frill;2;Dazzling Fluid;1;;;;;;;;;;
Professor Jwl 1;1;1;1;Combo Rate;2;;;Aquaglow Jewel;1;Book of Combos 1;1;Warm Pelt;1;;;;;;;;;;
Factory Jewel 1;1;1;1;Combo Plus;2;;;Aquaglow Jewel;1;Small Goldenfish;1;;;;;;;;;;;;
Gathering Jwl 1;1;1;1;Gathering;2;;;Aquaglow Jewel;1;Kelbi Horn;1;;;;;;;;;;;;
Spree Jewel 1;1;1;1;Speed Gatherer;2;;;Aquaglow Jewel;1;Altaroth Stomach;1;Monster Bone S;2;;;;;;;;;;
Blessing Jewel 1;1;1;1;Whim;2;;;Aquaglow Jewel;1;Iron Ore;2;;;;;;;;;;;;
Honeybee Jewel 1;6;-1;1;Honey;1;Whim;-1;Adamant Orb;1;Arzuros Cortex;2;;;;;;;;;;;;
Queenbee Jewel 1;7;-1;1;Honey;2;;;Adamant Orb;1;Arzuros Cortex;3;Narga Razor+;1;;;;;;;;;;
Charmer Jewel 1;8;-1;1;Charmer;1;;;Ghostly Quartz;3;Adamant Orb;1;Rath Gleem;1;;;;;;;;;;
Fate Jewel 1;6;-1;1;Fate;1;Whim;-1;Adamant Orb;1;Crushing Fang;1;Silver Egg;2;;;;;;;;;;
Fate Jewel 3;8;-1;3;Fate;4;Whim;-2;G.Rath Surspike;2;Adamant Orb;1;Golden Egg;2;;;;;;;;;;
Carver Jewel 1;7;-1;1;Carving;1;Fate;-1;Adamant Orb;1;Deviljho Coat;1;;;;;;;;;;;;
Carver Jewel 3;6;-1;3;Carving;4;Fate;-2;Adamant Orb;1;G.Ceadeus Fur;1;Earth Dragongem;1;;;;;;;;;;
Capture Jewel 1;6;-1;1;Tranquilzr;1;Fate;-1;Adamant Orb;1;Commendation;1;G.Plesio Shard;1;;;;;;;;;;
Capture Jewel 3;7;-1;3;Tranquilzr;4;Fate;-2;Adamant Orb;1;Conqueror's Seal;2;Zin Electrofur+;1;;;;;;;;;;
Perception Jwl 1;1;2;1;Perception;2;;;Aquaglow Jewel;1;Rhenoplos Shell;1;Binoculars;1;;;;;;;;;;
Psychic Jewel 1;1;3;1;Psychic;2;;;Aquaglow Jewel;1;Vivid Feather;1;;;;;;;;;;;;
Transportr Jwl 1;1;3;1;Transportr;2;;;Aquaglow Jewel;1;Dash Extract;1;;;;;;;;;;;;
Ranger Jewel 1;1;1;1;Ranger;2;;;Aquaglow Jewel;1;Sushifish;1;Raw Meat;2;;;;;;;;;;
Alarm Jewel 1;1;1;1;Anti-Theft;2;;;Aquaglow Jewel;1;Felvine;3;;;;;;;;;;;;
Trapmaster Jwl 1;1;1;1;SpeedSetup;2;;;Aquaglow Jewel;1;Velvety Hide;1;Shock Trap;1;;;;;;;;;;
Torchlight Jwl 1;2;5;1;Flame Aura;2;;;Sunspire Jewel;1;Gobul Lantern;2;Agnaktor Scale;2;;;;;;;;;;
Fresh Air Jwl 1;1;1;1;Oxygen;2;;;Aquaglow Jewel;1;Airweed;5;;;;;;;;;;;;
Stopflow Jewel 1;1;3;1;CurrentRes;1;Wind Res;-1;Aquaglow Jewel;1;Immature Sponge;1;Spongy Hide;3;;;;;;;;;;
Stopflow Jewel 2;3;6;2;CurrentRes;3;Wind Res;-1;Bloodrun Jewel;1;Hydro Hide;5;R.Ludroth Scale+;3;;;;;;;;;;
Swimmer Jewel 1;1;4;1;Swimming;1;Oxygen;-1;Aquaglow Jewel;1;Big Fin;5;Gobul Fin;1;;;;;;;;;;
Diver Jewel 1;3;7;1;Swimming;2;Oxygen;-1;Bloodrun Jewel;1;Quality Fin;5;Plesioth Fin+;1;;;;;;;;;;
Fish Jewel 1;6;-1;1;Sea Legs;1;Stamina;-1;Adamant Orb;1;Plesioth Head;1;Fine G.Plesi Fin;1;;;;;;;;;;
Fish Jewel 2;8;-1;2;Sea Legs;3;Stamina;-1;A.Lagi Shard;2;Adamant Orb;1;G.Plesio Shard;1;;;;;;;;;;
Potential Jwl 1;2;5;1;Potential;1;Protection;-1;Sunspire Jewel;1;Duram Mossplate;2;;;;;;;;;;;;
Potential Jwl 2;6;-1;2;Potential;3;Protection;-1;Adamant Orb;1;Heavy Mossplate;2;Lagombi Ear+;2;;;;;;;;;;
Fortitude Jwl 1;2;5;2;Survivor;1;Rec Level;-1;Sunspire Jewel;1;Duram Tailcase;1;;;;;;;;;;;;
Fortitude Jwl 2;4;8;2;Survivor;3;Rec Level;-1;Bloodrun Jewel;1;Hard Mossplate;1;Plesioth Head;1;;;;;;;;;;
