name;hr;village;slots;skill_one;skill_one_points;skill_two;skill_two_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four;alt_material_one;alt_amount_one;alt_material_two;alt_amount_two;alt_material_three;alt_amount_three;alt_material_four;alt_amount_four
Tip Toe Jewel;1;1;1;Sneak;1;Map;-1;Suiko Jewel;1;Sharp Claw;1;Ivy;2;;;;;;;;;;
Ninja Jewel;3;5;1;Sneak;2;;;Akito Jewel;1;Chameleos Hide;1;;;;;;;;;;;;
Strength Jewel;1;1;1;Health;2;;;Suiko Jewel;1;Bulldrome Hide;1;;;;;;;;;;;;
Artisan Jewel;10;4;1;Artisan;1;Potential;-1;BattlefieldJewel;1;Monoblos Heart;1;;;;;LapisLazuliJewel;1;Ceanataur Claw+;1;Lao-ShanCarapace;1;;
Master Jewel;6;9;3;Artisan;4;Potential;-2;LapisLazuliJewel;1;Akantor Claw;1;Daora Sharp Claw;2;Basarios Wing;1;;;;;;;;
Fencer Jewel;3;6;1;Fencing;1;Recovery;-1;BattlefieldJewel;1;Rathalos Plate;1;;;;;LapisLazuliJewel;1;Azure LaoS Shell;2;Slvr Rthlos Tail;1;;
Swordsman Jewel;6;10;3;Fencing;4;Recovery;-2;LapisLazuliJewel;1;Fatalis Eye;1;Slvr Rthlos Wing;1;Majestic Horn;1;;;;;;;;
Razor Jewel;10;4;1;Sharpness;1;Defense;-1;BattlefieldJewel;1;Ceanataur Pincer;1;Sharpened Beak;1;;;;;;;;;;
Cutter Jewel;8;9;3;Sharpness;4;Defense;-2;LapisLazuliJewel;1;Gravios BrainStm;1;Black Blos Tail;2;Garuga Wing;2;;;;;;;;
Sword Draw Jewel;10;8;1;Sword Draw;1;Expert;-1;LapisLazuliJewel;1;StrRathalosWing;1;;;;;BattlefieldJewel;1;MonoblosCarapace;2;Rathalos Wing;1;;
UnsheathingJewel;8;10;2;Sword Draw;3;Expert;-1;LapisLazuliJewel;1;HrdCeanataurClaw;3;Rathalos Ruby;1;;;;;;;;;;
ShortChargeJewel;3;4;1;ShortCharg;1;Constitutn;-1;LapisLazuliJewel;1;Rajang Horn;1;DaoraDragonScal+;1;;;BattlefieldJewel;1;Daora Horn;1;ElderDragonBlood;1;;
RapidChargeJewel;9;10;3;ShortCharg;4;Constitutn;-2;LapisLazuliJewel;1;GoldRajangPelt+;2;ThckDaoraDrgnScl;3;HvyLavasiothFang;4;;;;;;;;
Expert Jewel;1;1;1;Expert;1;Health;-1;Akito Jewel;1;Blue Kut-Ku Shl;1;Anteka Antlers;1;;;;;;;;;;
Celebrity Jewel;3;6;2;Expert;3;Health;-1;LapisLazuliJewel;1;Teostra Horn+;1;;;;;BattlefieldJewel;1;Teostra Shell;1;Twisted Horn;1;;
Hermit Jewel;6;9;3;Expert;5;Health;-1;LapisLazuliJewel;1;Fire Dragon Pwdr;2;Splendid Beak;1;Giadrome Skull;1;;;;;;;;
Grinder Jewel;1;1;1;SwdShrpner;2;;;Suiko Jewel;1;Earth Crystal;1;Giadrome Claw;1;;;;;;;;;;
Stone Wall Jewel;2;4;1;Guard;1;Stamina;-1;Akito Jewel;1;Basarios Shell;1;Hermitaur Shell;1;;;;;;;;;;
IronCurtainJewel;4;6;2;Guard;3;Stamina;-1;LapisLazuliJewel;1;Gravios Carapace;1;Gaoren Claw;1;;;BattlefieldJewel;1;Gaoren Spine;1;Gravios Skl Shl;1;;
Hard Wall Jewel;3;5;1;Guard Up;1;Stamina;-1;BattlefieldJewel;1;Blk Gravios Shl;1;;;;;;;;;;;;
StrongWall Jewel;6;5;3;Guard Up;4;Stamina;-2;LapisLazuliJewel;1;Blk Gravios Cpc;1;Hermitaur Claw+;4;Lunastra Shell;2;;;;;;;;
Wall Jewel;7;10;2;Guard Up;3;Stamina;-1;LapisLazuliJewel;1;PlumD.HermitrClw;2;HvyGraviosShell;1;;;;;;;;;;
HvnlyShieldJewel;1;1;1;Auto-Guard;2;;;Suiko Jewel;1;Bullfango Pelt;1;Sm Hermitaur Shl;2;;;;;;;;;;
Hardball Jewel;1;1;1;Throw;2;;;Suiko Jewel;1;Blango Pelt;2;Conga Pelt;1;;;;;;;;;;
Early Bird Jewel;1;1;1;Reload;1;Hunger;-1;Akito Jewel;1;Sm Ceanataur Shl;1;Kelbi Hide;2;;;;;;;;;;
High Speed Jewel;2;6;2;Reload;3;Hunger;-1;LapisLazuliJewel;1;Azure LaoS Horn;1;Black Blos Cpc;1;;;BattlefieldJewel;1;Kirin Hide;1;Lao-Shan's Horn;1;TwstBlkBlosHrn;2
Cont. Fire Jewel;3;6;1;AutoReload;1;Protection;-1;BattlefieldJewel;1;Rathian Plate;1;;;;;LapisLazuliJewel;1;Fatalis Scale;1;Sinister Cloth;2;;
Barrage Jewel;6;9;3;AutoReload;4;Protection;-2;LapisLazuliJewel;1;Akantor Spike;1;FireWyvrn BrnStm;1;Gendrome Skull;1;;;;;;;;
Recoilless Jewel;4;6;1;Recoil;1;Reload;-1;BattlefieldJewel;1;Gaoren Shell;1;Blk Gravios Skl;1;;;LapisLazuliJewel;1;PlumD.HermitrClw;1;Gaoren Carapace;1;;
Shockless Jewel;6;9;3;Recoil;4;Reload;-2;LapisLazuliJewel;1;Gaoren Thoracic;2;Wyvern Stone;1;Lao-Shan's Claw;2;;;;;;;;
StrongShot Jewel;1;1;1;NormalS Up;1;Reload;-1;Akito Jewel;1;Congalala Claw;1;Rumblefish;5;;;;;;;;;;
StrongShotJewel+;9;10;3;NormalS Up;4;Reload;-2;LapisLazuliJewel;1;HvyC.BlangoFang;3;Blk Rajang Pelt+;4;Fire Drgn Jwl;1;;;;;;;;
Pierce Jewel;1;1;1;PierceS Up;1;Reload;-1;Akito Jewel;1;Ceanataur Claw;1;Pin Tuna;3;;;;;;;;;;
Pierce Jewel+;9;10;3;PierceS Up;4;Reload;-2;LapisLazuliJewel;1;TerraCeanatrClaw;3;LthrSlvrRthlsTal;2;Daora Jewel;1;;;;;;;;
Pellet Jewel;1;1;1;PelletS Up;1;Reload;-1;Akito Jewel;1;Piscine Fang;3;Wyvern Fang;2;;;;;;;;;;
Pellet Jewel+;7;10;3;PelletS Up;4;Reload;-2;LapisLazuliJewel;1;HrdE.CongaClaw;3;Azure LaoS Claw;3;Chameleos Jewel;1;;;;;;;;
Shot Bonus Jewel;2;6;1;NormalSAdd;2;;;BattlefieldJewel;1;Lao-Shan's Scale;1;Normal S Lv3;1;;;;;;;;;;
PierceBonusJewel;10;4;1;PierceSAdd;2;;;Akito Jewel;1;Garuga Scale;1;Pierce S Lv3;1;;;;;;;;;;
PelletBonusJewel;1;1;1;PelletSAdd;2;;;Suiko Jewel;1;Cephalos Fin;1;Pellet S Lv3;1;;;;;;;;;;
Crag Bonus Jewel;2;4;1;Crag S Add;2;;;Akito Jewel;1;Basarios Shell;1;Crag S Lv3;1;;;;;;;;;;
ScattrBonusJewel;3;5;1;ClustS Add;2;;;BattlefieldJewel;1;Gravios Shell;1;Clust S Lv3;1;;;;;;;;;;
Power Coat Jewel;4;7;1;PowerCAdd;1;ShortCharg;-1;BattlefieldJewel;1;Congalala Pelt+;1;Dark Piece;1;Power Coating;1;;;;;;;;
PowerCAddJewel;7;5;2;PowerCAdd;3;ShortCharg;-1;LapisLazuliJewel;1;E.CongalalaPelt+;3;Dark Stone;2;Power Coating;50;;;;;;;;
Combo Coat Jewel;10;4;1;ClsRngCAdd;2;;;Akito Jewel;1;DaoraDragonScale;1;Garuga Mane;1;CloseRngCoating;1;;;;;;;;
PoisonCoatJewel;2;3;1;PoisonCAdd;2;;;Akito Jewel;1;Rubbery Hide;1;Poison Sac;1;Poison Coating;1;;;;;;;;
ParalysCoatJewel;1;1;1;ParalyCAdd;1;ShortCharg;-1;Akito Jewel;1;Gendrome Hide;1;Vespoid Wing;1;ParalysisCoating;1;;;;;;;;
ParalysisCAddJwl;4;7;2;ParalyCAdd;3;ShortCharg;-1;BattlefieldJewel;1;Gendrome Tail;2;Vespoid Abdomen;1;ParalysisCoating;20;;;;;;;;
Sleep Coat Jewel;2;3;1;SleepCAdd;2;;;Akito Jewel;1;Plesioth Fin;1;Sleep Sac;1;Sleep Coating;1;;;;;;;;
Ammo Box Jewel;5;9;1;Capacity;1;Reload;-1;LapisLazuliJewel;1;Akantor Scale;1;Dragonwood+;1;;;BattlefieldJewel;1;Rathian Spike;1;Remobra Skull;1;;
Magazine Jewel;6;10;3;Capacity;4;Reload;-2;LapisLazuliJewel;1;Fatalis Horn;1;Rathian Spike+;1;Thunderbug Juice;5;;;;;;;;
Sniper Jewel;1;1;1;Precision;1;AutoReload;-1;Suiko Jewel;1;Anteka Antlers;1;Sharp Claw;1;;;;;;;;;;
SharpshootrJewel;1;1;1;Precision;2;;;Akito Jewel;1;Kelbi Horn;1;Killer Beetle;1;Pin Tuna;2;;;;;;;;
SpecialAtk Jewel;3;5;1;Spc Attack;1;Rec Speed;-1;BattlefieldJewel;1;Chameleos Claw;1;Chaos Mushroom;2;;;;;;;;;;
SpecialAtkJewel+;8;10;2;Spc Attack;3;Rec Speed;-1;LapisLazuliJewel;1;Lg Pelagus Fang;3;LethrGarugaTail;1;;;;;;;;;;
Element Jewel;3;5;1;ElementAtk;1;Rec Speed;-1;BattlefieldJewel;1;Kirin Horn;1;Firestone;1;Ice Crystal;1;;;;;;;;
Element Jewel+;9;10;3;ElementAtk;4;Rec Speed;-2;LapisLazuliJewel;1;LthrKirinThndrTl;2;HvyBlangongaFang;4;Big Wyvern Stone;1;;;;;;;;
Bombardier Jewel;1;1;1;BombStrUp;2;;;Akito Jewel;1;Flame Sac;1;FlynMealPassReg;1;;;;;;;;;;
TrapMasterJewel;1;1;1;SpeedSetup;2;;;BattlefieldJewel;1;ShakalakaTreasre;1;Shock Trap;1;;;;;;;;;;
PickyEater Jewel;1;1;1;Hunger;1;Cooking;-1;Suiko Jewel;1;Cephalos Scale;1;Well-Done Steak;2;;;;;;;;;;
Fasting Jewel;2;3;2;Hunger;3;Cooking;-1;Akito Jewel;1;Grn Plesioth Fin;1;Cephalos Scale;1;Gourmet Steak;1;;;;;;;;
No Food Jewel;7;10;1;Hunger;2;;;LapisLazuliJewel;1;ThckGrnPlesioScl;1;Coral Cphlos Fin;1;Power Juice;1;;;;;;;;
Fatso Jewel;1;1;1;Gluttony;2;;;Akito Jewel;1;Congalala Fang;1;Glutton Tuna;1;;;;;;;;;;
QuickEaterJewel;3;5;1;Cooking;1;Recovery;-1;BattlefieldJewel;1;Tigrex Fang;1;Mosswine Hide;1;;;;;;;;;;
Fast Food Jewel;6;9;2;Cooking;2;Recovery;-1;LapisLazuliJewel;1;Tigrex Fang+;1;Conga Pelt+;2;Iodrome Skull;1;;;;;;;;
Scarfing Jewel;9;10;3;Cooking;4;Recovery;-2;LapisLazuliJewel;1;YamaTsukamiHide;3;Vibrant Comb;2;Tigrex Skull Shl;1;;;;;;;;
BBQ Jewel;1;1;1;BBQ;2;;;Suiko Jewel;1;FlynMealPassReg;1;Burnt Meat;1;;;;;;;;;;
Marathon Jewel;2;4;1;Stamina;1;Hunger;-1;Akito Jewel;1;Firestone;1;Mega Juice;1;Gourmet Steak;1;;;;;;;;
Sprinter Jewel;5;8;3;Stamina;4;Hunger;-2;LapisLazuliJewel;1;SpecPlesiothFin+;1;HardGypcerosHead;1;;;LapisLazuliJewel;1;Firecell Stone;3;Plesioth Fin+;1;Gypceros Head;1
ConsitutnJewel;10;4;1;Constitutn;1;Stamina;-1;Akito Jewel;1;FlynMealPassPlus;1;Sharpened Beak;1;;;;;;;;;;
Health Jewel;10;9;2;Constitutn;3;Stamina;-1;LapisLazuliJewel;1;BlackNargaPelt+;1;Hypno Fang;1;;;BattlefieldJewel;1;Black Narga Pelt;3;Hypno Beak;1;Pawprint Stamp;1
Protection Jewel;1;1;1;Protection;1;;;Akito Jewel;1;Commendation;1;Black Pearl;1;;;;;;;;;;
DivineProtectJwl;9;10;1;Protection;2;;;LapisLazuliJewel;1;UkanlosUnderscl;1;Commendation S;1;;;;;;;;;;
Earplug Jewel;10;4;1;HearProtct;1;Protection;-1;LapisLazuliJewel;1;Long Garuga Ear;1;;;;;BattlefieldJewel;1;Garuga Ear;1;Hornetaur Head;1;;
Silencer Jewel;6;9;3;HearProtct;4;Protection;-2;LapisLazuliJewel;1;HvyAzurRthlsShl;1;LthrChameleoTail;1;;;LapisLazuliJewel;1;Azure Rthlos Cpc;1;Tigrex Skull Shl;1;Monster Broth;2
PaperweightJewel;3;5;1;WindPress;1;Fate;-1;Akito Jewel;1;Diablos Shell;1;Iron Ore;2;;;;;;;;;;
HeavyMetal Jewel;6;9;2;WindPress;3;Fate;-1;LapisLazuliJewel;1;Chameleos Hide+;1;Diablos Carapace;1;;;;;;;;;;
Solid Rock Jewel;9;10;3;WindPress;5;Fate;-1;LapisLazuliJewel;1;SpecChameleHide+;2;HvyDiablosSpine;1;Purecrystal;1;;;;;;;;
Melt-Proof Jewel;2;4;1;Terrain;1;Faint;-1;Akito Jewel;1;Basarios Shell;1;Armor Pill;1;;;;;;;;;;
Anti-Thaw Jewel;3;4;2;Terrain;3;Faint;-1;BattlefieldJewel;1;DaoraDragonScale;3;Daora Tail;1;Gourmet Fish+;2;LapisLazuliJewel;1;Daora Carapace;2;Basarios Carpace;1;Immunizer;1
Evade Jewel;1;1;1;Evade;1;Cold Res;-1;BattlefieldJewel;1;Narga Scale+;1;Great Hornfly;1;;;Akito Jewel;1;Sm Lobstershell;1;Hercudrome;1;;
Dodge Jewel;4;7;2;Evade;3;Cold Res;-1;LapisLazuliJewel;1;Lg Lobstershell;1;Gendrome Tail;1;;;;;;;;;;
Jumping Jewel;8;8;1;Evade Dist;1;Attack;-1;LapisLazuliJewel;1;StrNargaCttngWng;1;Emperor Cricket;5;;;BattlefieldJewel;1;NargaCuttingWing;1;Lunastra Spike;1;;
Flying Jewel;9;10;3;Evade Dist;4;Attack;-2;LapisLazuliJewel;1;Str Fatalis Wng;2;Narga Brain Stem;1;SilverGarugaPelt;3;;;;;;;;
Danger Jewel;10;4;1;Potential;1;Protection;-1;BattlefieldJewel;1;Monoblos Spine;1;Wyvern Skull Shl;1;;;;;;;;;;
Crisis Jewel;6;6;3;Potential;4;Protection;-2;LapisLazuliJewel;1;Gold Rajang Pelt;1;Blood Red Horn;1;Wht Monoblos Hrn;1;;;;;;;;
Pinch Jewel;6;9;2;Potential;3;Protection;-1;LapisLazuliJewel;1;Akantor Shell;1;Top-GrdRedHorn;1;Blk Rajang Pelt;3;;;;;;;;
Guts Jewel;7;10;1;Guts;1;MixSucRate;-1;BattlefieldJewel;1;PlumD.HermitrShl;1;RobustWyvernBone;2;;;;;;;;;;
More Guts Jewel;9;10;2;Guts;3;MixSucRate;-1;LapisLazuliJewel;1;HvyLavasiothShl;3;Hvy Gaoren Spine;1;Tailed Frog;2;;;;;;;;
Alarm Jewel;1;1;1;Anti-Theft;2;;;Suiko Jewel;1;Felvine;2;Unknown Skull;1;;;;;;;;;;
StayingPwr Jewel;2;3;1;Everlastng;1;Poison;-1;Akito Jewel;1;Grn Plesioth Scl;1;Vespoid Shell;2;;;;;;;;;;
Permanence Jewel;4;7;2;Everlastng;2;Poison;-1;LapisLazuliJewel;1;Grn Plsioth Scl+;1;Vespoid InnrWng;1;;;;;;;;;;
Eternal Jewel;7;10;2;Everlastng;3;Poison;-1;LapisLazuliJewel;1;SpecGrnPlesioFn+;1;Vspoid Razorwing;1;Catalyst;3;;;;;;;;
Friendship Jewel;2;4;1;Wide Area;1;Sneak;-1;Akito Jewel;1;Alluring Hide;1;Cactus Flower;2;;;;;;;;;;
Beloved Jewel;5;7;2;Wide Area;3;Sneak;-1;LapisLazuliJewel;1;Alluring Webbing;1;Lifepowder;1;Dosbiscus;4;;;;;;;;
Tenderness Jewel;8;10;3;Wide Area;5;Sneak;-1;LapisLazuliJewel;1;StrAlluringWing;3;ThckPnkRathnScl;4;Wyvern Stone;1;;;;;;;;
Backpacker Jewel;1;1;1;Backpackng;2;;;Suiko Jewel;1;Power Extract;1;Giant Bone;1;;;;;;;;;;
Impervious Jewel;3;5;1;All Resist;1;Everlastng;-1;BattlefieldJewel;1;Kirin Mane;1;;;;;;;;;;;;
Omnipotent Jewel;5;9;2;All Resist;3;Everlastng;-1;LapisLazuliJewel;1;Kirin Azure Horn;1;Dragonmoss;1;;;;;;;;;;
TrueResistJewel;9;10;3;All Resist;5;Everlastng;-1;LapisLazuliJewel;1;SpecialKirinHide;2;AncientDrgnmoss;1;BlackBeltCoinG;3;;;;;;;;
Inferno Jewel;1;1;1;Fire Res;1;Water Res;-1;Suiko Jewel;1;Fire Herb;2;;;;;;;;;;;;
Crimson Jewel;1;1;1;Fire Res;2;;;Akito Jewel;1;Flame Sac;1;;;;;;;;;;;;
Stream Jewel;1;1;1;Water Res;1;ThunderRes;-1;Suiko Jewel;1;Knife Mackerel;2;;;;;;;;;;;;
Torrent Jewel;1;1;1;Water Res;2;;;Akito Jewel;1;Plesioth Scale;1;;;;;;;;;;;;
Freeze Jewel;1;1;1;Ice Res;1;Fire Res;-1;Suiko Jewel;1;Ice Crystal;2;;;;;;;;;;;;
Glacier Jewel;1;1;1;Ice Res;2;;;Akito Jewel;1;Giadrome Hide;2;;;;;;;;;;;;
Lightning Jewel;1;1;1;ThunderRes;1;Ice Res;-1;Suiko Jewel;1;Thunderbug;2;;;;;;;;;;;;
Thunder Jewel;1;1;1;ThunderRes;2;;;Akito Jewel;1;Electro Sac;1;;;;;;;;;;;;
Slayer Jewel;1;1;1;Dragon Res;1;Poison;-1;Akito Jewel;1;Hornetaur Head;1;Dragon Seed;1;;;;;;;;;;
Extinction Jewel;4;7;2;Dragon Res;3;Poison;-1;BattlefieldJewel;1;HornetaurInnrWng;2;Dragon S;3;;;;;;;;;;
DragonslyrJewel;7;10;1;Dragon Res;2;;;LapisLazuliJewel;1;Hornet Razorwing;3;Rajang Tail;1;;;;;;;;;;
CoolBreeze Jewel;1;1;1;Heat Res;1;Cold Res;-1;Suiko Jewel;1;Blango Pelt;2;;;;;;;;;;;;
Cold Wind Jewel;2;4;2;Heat Res;3;Cold Res;-1;Akito Jewel;1;Blangonga Whiskr;1;Ice Crystal;4;;;;;;;;;;
ColdBreezeJewel;8;10;1;Heat Res;2;;;LapisLazuliJewel;1;HrdBlangongaPlt+;2;Giaprey Hide+;1;;;;;;;;;;
WarmBreeze Jewel;1;1;1;Cold Res;1;Heat Res;-1;Suiko Jewel;1;Cephalos Scale;2;;;;;;;;;;;;
Hot Wind Jewel;1;1;2;Cold Res;3;Heat Res;-1;Akito Jewel;1;Cephalos Fin;1;Nitroshroom;4;;;;;;;;;;
HotBreezeJewel;8;10;1;Cold Res;2;;;LapisLazuliJewel;1;C.BlangongaPelt+;2;Genprey Hide+;1;;;;;;;;;;
Map Jewel;4;7;1;Map;2;;;Akito Jewel;1;Dragonite Ore;1;Rainbow Ore;2;;;;;;;;;;
Gathering Jewel;1;1;1;Gathering;2;;;Suiko Jewel;1;Dosbiscus;1;Bughopper;2;;;;;;;;;;
Grab'n'DashJewel;1;1;1;HiSpdGathr;2;;;Akito Jewel;1;Great Hornfly;1;Power Extract;1;;;;;;;;;;
Good Luck Jewel;1;1;1;Whim;1;;;Suiko Jewel;1;Exciteshroom;2;Boomerang;1;Flute;1;;;;;;;;
Blessing Jewel;3;6;1;Whim;2;;;BattlefieldJewel;1;Pnk Rathian Shl;1;Mega Pickaxe;1;Mega Bugnet;1;;;;;;;;
HideCutter Jewel;3;4;1;Carving;1;Fate;-1;LapisLazuliJewel;1;Rubbery Hide+;1;ShakaInheritance;1;;;BattlefieldJewel;1;Daora Claw;1;ShakalakaTreasre;1;;
Carving Jewel;9;10;3;Carving;4;Fate;-2;LapisLazuliJewel;1;UkanlosDiggngClw;3;ShakalakaTreasr+;1;Big Wyvern Stone;1;;;;;;;;
Tranq Jewel;7;7;1;Tranquilzr;1;Fate;-1;BattlefieldJewel;1;OrangeHypnoPelt;1;Piscine Fang;1;Net;1;;;;;;;;
Knockout Jewel;7;10;2;Tranquilzr;3;Fate;-1;LapisLazuliJewel;1;OrangeHypnoPelt+;3;HvyPiscineFang;3;Trap Tool;2;;;;;;;;
Fate Jewel;1;1;1;Fate;1;Whim;-1;Akito Jewel;1;Steel Egg;1;;;;;;;;;;;;
Destiny Jewel;4;7;2;Fate;3;Whim;-1;BattlefieldJewel;1;Golden Egg;1;;;;;;;;;;;;
Fisher Jewel;1;1;1;Fishing;2;;;Suiko Jewel;1;Cricket;1;Yambug;1;;;;;;;;;;
Psychic Jewel;1;1;1;PsychicVis;2;;;Suiko Jewel;1;Kut-Ku Ear;1;Psychoserum;1;;;;;;;;;;
Perceive Jewel;7;7;1;Perceive;2;;;BattlefieldJewel;1;RainbowTailFeath;1;Binoculars;1;;;;;;;;;;
Feel Good Jewel;1;1;1;Rec Speed;1;Faint;-1;Akito Jewel;1;Pale Extract;1;Killer Beetle;1;;;;;;;;;;
SpeedyRecvrJewel;2;6;2;Rec Speed;3;Faint;-1;LapisLazuliJewel;1;Pale Khezu Steak;1;Lifepowder;2;;;BattlefieldJewel;1;Pale Bone;1;Lao-Shan's Shell;3;Lifecrystals;10
Curing Jewel;1;1;1;Recovery;1;Health;-1;Akito Jewel;1;Flabby Hide;1;Kelbi Horn;2;;;;;;;;;;
Cure All Jewel;5;7;2;Recovery;2;Health;-1;LapisLazuliJewel;1;Khezu Hide - Tan;1;Ancient Potion;1;;;;;;;;;;
Cure All Jewel+;7;8;2;Recovery;3;Health;-1;LapisLazuliJewel;1;KhezuHide-Cream;3;LunastraCarapace;2;Honey;10;;;;;;;;
Professor Jewel;1;1;1;MixSucRate;2;;;Suiko Jewel;1;Book of Combos 1;1;Springnight Carp;1;;;;;;;;;;
Armory Jewel;1;1;1;Shot Mix;2;;;Suiko Jewel;1;Normal S Lv3;3;Pellet S Lv3;2;Clust S Lv3;1;;;;;;;;
SecretArts Jewel;1;1;1;Alchemy;2;;;Akito Jewel;1;Health Flute;1;Ancient Potion;1;Antiseptic Stone;2;;;;;;;;
Small Arms Jewel;1;1;1;Gunnery;1;Stamina;-1;Suiko Jewel;1;Machalite Ore;1;Gunpowder;2;;;;;;;;;;
Howitzer Jewel;2;4;1;Gunnery;2;;;BattlefieldJewel;1;Dragonite Ore;2;Firestone;1;;;;;;;;;;
Fife Jewel;1;1;1;Horn;2;;;Akito Jewel;1;Congalala Pelt;2;Flute;1;;;;;;;;;;
Cat Guide Jewel;8;8;1;ComrdGuide;2;;;Suiko Jewel;1;Comrade Ticket;1;;;;;BattlefieldJewel;1;Commendation G;1;Gastronome Tuna;1;Felvine;10
Cat Attack Jewel;8;8;1;ComradeAtk;2;;;LapisLazuliJewel;1;Piercing Claw;1;Commendation G;1;Mega Demondrug;1;;;;;;;;
CatDefenseJewel;7;10;1;ComradeDef;2;;;LapisLazuliJewel;1;Hvy Kut-Ku Shell;1;Commendation G;1;Mega Armorskin;1;;;;;;;;
