key;value
Extravagant Sleeves;Extravagant Sleeves
Kushala Grip;Kushala Grip
Kushala Embrace;Kushala Embrace
Kirin Longarms;Kirin Longarms
Kirin Gloves;Kirin Gloves
GuardianSprtVambrces;GuardianSprtVambrces
Carnage Vambraces;Carnage Vambraces
Auroros Gauntlets;Auroros Gauntlets
Genesis Gauntlets;Genesis Gauntlets
Borealis Gauntlets;Borealis Gauntlets
Glyph Gauntlets;Glyph Gauntlets
Empress Vambraces;Empress Vambraces
Empress Guards;Empress Guards
Indra Gloves;Indra Gloves
Steadfast Guards;Steadfast Guards
Kaiser Vambraces;Kaiser Vambraces
Kaiser Guards;Kaiser Guards
Red Lobster Braces;(dummy)Red Lobster Braces
Red Lobster Guards;(dummy)Red Lobster Guards
Monodevil Vambraces;Monodevil Vambraces
Monodevil Guards;Monodevil Guards
Rathian Heart Braces;Rathian Heart Braces
Rathian Heart Guards;Rathian Heart Guards
Rathalos Soul Braces;Rathalos Soul Braces
Rathalos Soul Guards;Rathalos Soul Guards
Mafumofu Mittens S;Mafumofu Mittens S
Leather Vambraces S;Leather Vambraces S
Chain Vambraces S;Chain Vambraces S
Hunter Vambraces S;Hunter's Vambraces S
Hunter Guards S;Hunter's Guards S
Bone Vambraces S;Bone Vambraces S
Bone Guards S;Bone Guards S
Battle Vambraces S;Battle Vambraces S
Battle Guards S;Battle Guards S
Velociprey Braces S;Velociprey Braces S
Velociprey Guards S;Velociprey Guards S
Vespoid Vambraces S;Vespoid Vambraces S
Vespoid Guards S;Vespoid Guards S
Hi-Metal Vambraces S;Hi-Metal Vambraces S
Hi-Metal Guards S;Hi-Metal Guards S
Steel Vambraces S;Steel Vambraces S
Hornet Vambraces S;Hornet Vambraces S
Hornet Guards S;Hornet Guards S
Genprey Vambraces S;Genprey Vambraces S
Genprey Guards S;Genprey Guards S
Ioprey Vambraces S;Ioprey Vambraces S
Ioprey Guards S;Ioprey Guards S
Kut-Ku Vambraces S;Kut-Ku Vambraces S
Kut-Ku Guards S;Kut-Ku Guards S
Cephalos Vambraces S;Cephalos Vambraces S
Cephalos Guards S;Cephalos Guards S
Conga Vambraces S;Conga Vambraces S
Conga Guards S;Conga Guards S
Gypceros Vambraces S;Gypceros Vambraces S
Gypceros Guards S;Gypceros Guards S
Khezu Vambraces S;Khezu Vambraces S
Khezu Guards S;Khezu Guards S
Hermitaur Braces S;Hermitaur Braces S
Hermitaur Guards S;Hermitaur Guards S
Hypnoc Vambraces S;Hypno Vambraces S
Hypnoc Guards S;Hypno Guards S
Basarios Vambraces S;Basarios Vambraces S
Basarios Guards S;Basarios Guards S
Plesioth Vambraces S;Plesioth Vambraces S
Plesioth Guards S;Plesioth Guards S
Monoblos Vambraces S;Monoblos Vambraces S
Monoblos Guards S;Monoblos Guards S
Garuga Vambraces S;Garuga Vambraces S
Garuga Guards S;Garuga Guards S
Blango Vambraces S;Blango Vambraces S
Blango Guards S;Blango Guards S
Ceanataur Braces S;Ceanataur Braces S
Ceanataur Guards S;Ceanataur Guards S
Rathian Vambraces S;Rathian Vambraces S
Rathian Guards S;Rathian Guards S
Naruga Vambraces S;Narga Vambraces S
Naruga Guards S;Narga Guards S
Tigrex Vambraces S;Tigrex Vambraces S
Tigrex Guards S;Tigrex Guards S
Rathalos Vambraces S;Rathalos Vambraces S
Rathalos Guards S;Rathalos Guards S
Diablo Vambraces S;Diablo Vambraces S
Diablo Guards S;Diablo Guards S
Gravios Vambraces S;Gravios Vambraces S
Gravios Guards S;Gravios Guards S
Leather Vambraces U;Leather Vambraces U
Chain Vambraces U;Chain Vambraces U
Hunter Vambraces U;Hunter's Vambraces U
Hunter Guards U;Hunter's Guards U
Bone Vambraces U;Bone Vambraces U
Bone Guards U;Bone Guards U
Battle Vambraces U;Battle Vambraces U
Battle Guards U;Battle Guards U
Giaprey Vambraces U;Giaprey Vambraces U
Giaprey Guards U;Giaprey Guards U
Vespoid Vambraces U;Vespoid Vambraces U
Vespoid Guards U;Vespoid Guards U
Hi-Metal Vambraces U;Hi-Metal Vambraces U
Hi-Metal Guards U;Hi-Metal Guards U
Steel Vambraces U;Steel Vambraces U
Hornet Vambraces U;Hornet Vambraces U
Hornet Guards U;Hornet Guards U
Genprey Vambraces U;Genprey Vambraces U
Genprey Guards U;Genprey Guards U
Ioprey Vambraces U;Ioprey Vambraces U
Ioprey Guards U;Ioprey Guards U
Kut-Ku Vambraces U;Kut-Ku Vambraces U
Kut-Ku Guards U;Kut-Ku Guards U
Cephalos Vambraces U;Cephalos Vambraces U
Cephalos Guards U;Cephalos Guards U
Conga Vambraces U;Conga Vambraces U
Conga Guards U;Conga Guards U
Gypceros Vambraces U;Gypceros Vambraces U
Gypceros Guards U;Gypceros Guards U
Khezu Vambraces U;Khezu Vambraces U
Khezu Guards U;Khezu Guards U
Hermitaur Braces U;Hermitaur Braces U
Hermitaur Guards U;Hermitaur Guards U
Basarios Vambraces U;Basarios Vambraces U
Basarios Guards U;Basarios Guards U
Plesioth Vambraces U;Plesioth Vambraces U
Plesioth Guards U;Plesioth Guards U
Blango Vambraces U;Blango Vambraces U
Blango Guards U;Blango Guards U
Ceanataur Braces U;Ceanataur Braces U
Ceanataur Guards U;Ceanataur Guards U
Diablo Vambraces U;Diablo Vambraces U
Diablo Guards U;Diablo Guards U
Gravios Vambraces U;Gravios Vambraces U
Gravios Guards U;Gravios Guards U
BlackBeltVambraces S;BlackBeltVambraces S
Shinobi Kote(Heaven);Shinobi Kote(Heaven)
Shinobi Kote (Earth);Shinobi Kote (Earth)
RedGuildGuard Gloves;RedGuildGuard Gloves
RedGuildGuardSleeves;RedGuildGuardSleeves
BlueGuildGuardGloves;BlueGuildGuardGloves
BluGuildGuardSleeves;BluGuildGuardSleeves
RedGuildGuard Gloves;RedGuildGuard Gloves
RedGuildGuardSleeves;RedGuildGuardSleeves
BlueGuildGuardGloves;BlueGuildGuardGloves
BluGuildGuardSleeves;BluGuildGuardSleeves
Devil Blos Vambraces;(dummy)Devil Blos Vambraces
Devil Blos Guards;(dummy)Devil Blos Guards
Jolly Roger Gloves;(dummy)Jolly Roger Gloves
Jolly Roger Cuffs;(dummy)Jolly Roger Cuffs
Golden Kote;Golden Kote
PuppetMaster Gloves;PuppetMaster Gloves
Obituary Mano S;Obituary Mano S
Obituary Brasso S;Obituary Brasso S
Butterfly Mano S;Butterfly Mano S
Butterfly Brasso S;Butterfly Brasso S
Death Stench Grip S;Death Stench Grip S
Death Stench Grasp S;Death Stench Grasp S
SupremeMizuhaSleeves;SupremeMizuhaSleeves
SprmExtrvgantSleeves;SprmExtrvgantSleeves
Kushala Grip S;Kushala Grip S
Kushala Embrace S;Kushala Embrace S
Kirin Longarms S;Kirin Longarms S
Kirin Gloves S;Kirin Gloves S
Auroros GauntletHaku;Auroros GauntletHaku
Genesis GauntletHaku;Genesis GauntletHaku
BorealisGauntletHaku;BorealisGauntletHaku
Glyph Gauntlets Haku;Glyph Gauntlets Haku
UltimateIndraGloves;UltimateIndraGloves
SuprmSteadfastGuards;SuprmSteadfastGuards
Kaiser Vambraces S;Kaiser Vambraces S
Kaiser Guards S;Kaiser Guards S
Dragonclaw S;Dragonclaw S
Dragonfist S;Dragonfist S
Dark Akantor Claw;Dark Akantor Claw
DarkAkantor Gauntlet;DarkAkantor Gauntlet
Shinobi Kote (Sky);Shinobi Kote (Sky)
Shinobi Kote (Sea);Shinobi Kote (Sea)
Guardian Vambraces U;Guardian Vambraces U
Guardian Guards U;Guardian Guards U
Helper Sleeves U;Helper Sleeves U
Healer Sleeves U;Healer Sleeves U
Melahoa Branch U;Melahoa Branch U
Melahoa Petal U;Melahoa Petal U
Makluva Sleeves U;Makluva Sleeves U
Makluva Sucker U;Makluva Sucker U
Monodevil Braces U;MonodevilVambracesU
Monodevil Guards U;Monodevil Guards U
Rthan Heart Braces U;Rthan Heart Braces U
Rthan Heart Guards U;Rathian HeartGuardsU
Rthlos Soul Braces U;Rthlos Soul Braces U
Rthlos Soul Guards U;Rthlos Soul Guards U
Golden Moon Braces;Golden Moon Braces
Golden Moon Guards;Golden Moon Guards
Silver Sol Braces;Silver Sol Braces
Silver Sol Guards;Silver Sol Guards
Auroros Gauntlet Ten;Auroros Gauntlet Ten
Genesis Gauntlet Ten;Genesis Gauntlet Ten
Borealis GauntletTen;Borealis GauntletTen
Glyph Gauntlets Ten;Glyph Gauntlets Ten
Fatalis Claw;Fatalis Claw
Fatalis Fist;Fatalis Fist
White Fatalis Claw;White Fatalis Claw
White Fatalis Fist;White Fatalis Fist
Kut-Ku Vambraces X;Kut-Ku Vambraces X
Kut-Ku Guards X;Kut-Ku Guards X
Conga Vambraces X;Conga Vambraces X
Conga Guards X;Conga Guards X
Gypceros Vambraces X;Gypceros Vambraces X
Gypceros Guards X;Gypceros Guards X
Khezu Vambraces X;Khezu Vambraces X
Khezu Guards X;Khezu Guards X
Hermitaur Braces X;HermitaurVambracesX
Hermitaur Guards X;Hermitaur Guards X
Hypnoc Vambraces X;Hypno Vambraces X
Hypnoc Guards X;Hypno Guards X
Basarios Vambraces X;Basarios Vambraces X
Basarios Guards X;Basarios Guards X
Plesioth Vambraces X;Plesioth Vambraces X
Plesioth Guards X;Plesioth Guards X
Monoblos Vambraces X;Monoblos Vambraces X
Monoblos Guards X;Monoblos Guards X
Garuga Vambraces X;Garuga Vambraces X
Garuga Guards X;Garuga Guards X
Blango Vambraces X;Blango Vambraces X
Blango Guards X;Blango Guards X
Ceanataur Braces X;CeanataurVambracesX
Ceanataur Guards X;Ceanataur Guards X
Rathian Vambraces X;Rathian Vambraces X
Rathian Guards X;Rathian Guards X
Naruga Vambraces X;Narga Vambraces X
Naruga Guards X;Narga Guards X
Volganos Vambraces X;Lava Vambraces X
Volganos Guards X;Lava Guards X
Tigrex Vambraces X;Tigrex Vambraces X
Tigrex Guards X;Tigrex Guards X
Rathalos Vambraces X;Rathalos Vambraces X
Rathalos Guards X;Rathalos Guards X
Diablo Vambraces X;Diablo Vambraces X
Diablo Guards X;Diablo Guards X
Gravios Vambraces X;Gravios Vambraces X
Gravios Guards X;Gravios Guards X
Kut-Ku Vambraces Z;Kut-Ku Vambraces Z
Kut-Ku Guards Z;Kut-Ku Guards Z
Conga Vambraces Z;Conga Vambraces Z
Conga Guards Z;Conga Guards Z
Gypceros Vambraces Z;Gypceros Vambraces Z
Gypceros Guards Z;Gypceros Guards Z
Khezu Vambraces Z;Khezu Vambraces Z
Khezu Guards Z;Khezu Guards Z
Hermitaur Braces Z;HermitaurVambracesZ
Hermitaur Guards Z;Hermitaur Guards Z
Plesioth Vambraces Z;Plesioth Vambraces Z
Plesioth Guards Z;Plesioth Guards Z
Blango Vambraces Z;Blango Vambraces Z
Blango Guards Z;Blango Guards Z
Ceanataur Braces Z;CeanataurVambracesZ
Ceanataur Guards Z;Ceanataur Guards Z
Diablo Vambraces Z;Diablo Vambraces Z
Diablo Guards Z;Diablo Guards Z
Gravios Vambraces Z;Gravios Vambraces Z
Gravios Guards Z;Gravios Guards Z
Crystal Bracelet;Chakra Bracelet
True Golden Kote;Golden Kote Shin
TruePupptMastrGloves;PupptMastrGlovesShin
Black Belt Braces X;BlackBeltVambracesX
Black Belt Guards X;Black Belt Guards X
Obituary Mano X;Obituary Mano X
Obituary Brasso X;Obituary Brasso X
Butterfly Mano X;Butterfly Mano X
Butterfly Brasso X;Butterfly Brasso X
True Mizuha Sleeves;Mizuha Sleeves Shin
TrueExtrvagantSleeves;ExtrvagntSleevesShin
Kushala Grip X;Kushala Grip X
Kushala Grasp X;Kushala Embrace X
Kirin Longarms X;Kirin Longarms X
Kirin Gloves X;Kirin Gloves X
Empress Vambraces X;Empress Vambraces X
Empress Guards X;Empress Guards X
True Indra Gloves;Indra Gloves Shin
True SteadfastGuards;SteadfastGuardsShin
Kaiser Vambraces X;Kaiser Vambraces X
Kaiser Guards X;Kaiser Guards X
TrueGuardnSprtBraces;GuardSprtVmbrcesShin
TrueCarnageVambraces;CarnageVambracesShin
Dragonclaw X;Dragonclaw X
Dragonfist X;Dragonfist X
Ucamulbas Claw;Dark Ukanlos Claw
Ucamulbas Gauntlets;DarkUkanlosGauntlet
Melahoa Branch Z;Melahoa Branch Z
Melahoa Petal Z;Melahoa Petal Z
Makluva Sleeves Z;Makluva Sleeves Z
Makluva Sucker Z;Makluva Sucker Z
Rthan Heart Braces Z;RathianHrtVambracesZ
Rthan Heart Guards Z;RathianHeartGuardsZ
Rthlos Soul Braces Z;RathSoulVambracesZ
Rthlos Soul Guards Z;RathalosSoulGuardsZ
Golden Moon Braces Z;GoldenMoonVambracesZ
Golden Moon Guards Z;Golden Moon Guards Z
Silver Sol Braces Z;SilverSolVambracesZ
Silver Sol Guards Z;Silver Sol Guards Z
AurorosGauntletKyoku;AurorosGauntletsGoku
GenesisGauntletKyoku;GenesisGauntletsGoku
BorealisGauntletKyoku;BorealsGauntletsGoku
Glyph Gauntlets Kyoku;Glyph Gauntlets Goku
Fatalis Claw Z;Fatalis Claw Z
Fatalis Fist Z;Fatalis Fist Z
Wht Fatalis Claw Z;White Fatalis Claw Z
Wht Fatalis Fist Z;White Fatalis Fist Z
