key;value
Basarios Greaves;Basarios Greaves
Basarios Leggings;Basarios Leggings
Monoblos Greaves;Monoblos Greaves
Monoblos Leggings;Monoblos Leggings
Garuga Greaves;Garuga Greaves
Garuga Leggings;Garuga Leggings
Blango Greaves;Blango Greaves
Blango Leggings;Blango Leggings
Ceanataur Greaves;Ceanataur Greaves
Ceanataur Leggings;Ceanataur Leggings
Rathian Greaves;Rathian Greaves
Rathian Leggings;Rathian Leggings
Tigrex Greaves;Tigrex Greaves
Tigrex Leggings;Tigrex Leggings
Rathalos Greaves;Rathalos Greaves
Rathalos Leggings;Rathalos Leggings
Diablo Greaves;Diablo Greaves
Diablo Leggings;Diablo Leggings
Gravios Greaves;Gravios Greaves
Gravios Leggings;Gravios Leggings
Diablo Greaves D;Diablo Greaves D
Diablo Leggings D;Diablo Leggings D
Gravios Greaves D;Gravios Greaves D
Gravios Leggings D;Gravios Leggings D
Mosswine Feet;Mosswine Feet
Giaprey Feet;Giaprey Feet
Velociprey Feet;Velociprey Feet
Famitsu Cloth Wrap;(dummy)Famitsu Cloth Wrap
Famitsu Pants;(dummy)Famitsu Pants
Genprey Feet;Genprey Feet
Black Belt Greaves;Black Belt Greaves
Shinobi Boots (Sun);Shinobi Boots (Sun)
Shinobi Boots (Moon);Shinobi Boots (Moon)
Guild Knight Boots;Guild Knight Boots
Guild Knight Tights;Guild Knight Tights
Guardian Boots;Guardian Boots
Guardian Pants;Guardian Pants
Maiden's Stockings;Maiden's Stockings
Personal Tights;Personal Tights
Helper Socks;Helper Socks
Healer Socks;Healer Socks
Ioprey Feet;Ioprey Feet
Remobra Feet;Remobra Feet
Melahoa Roots;Melahoa Roots
Melahoa Taproot;Melahoa Taproot
Makluva Pants;Makluva Pants
Makluva Leggings;Makluva Leggings
Hypnoc Greaves;Hypno Greaves
Hypnoc Leggings;Hypno Leggings
Obituary Gamba;Obituary Gamba
Obituary Femur;Obituary Femur
Butterfly Gamba;Butterfly Gamba
Butterfly Femur;Butterfly Femur
Black Feet;Black Feet
Black Legs;Black Legs
Death Stench Heel;Death Stench Heel
Death Stench March;Death Stench March
Volganos Greaves;Lava Greaves
Volganos Leggings;Lava Leggings
Mizuha Leg Wrap;Mizuha Leg Wrap
Extravagant Trousers;Extravagant Trousers
Kushala Crus;Kushala Crus
Kushala Shank;Kushala Shank
Kirin Leg Guards;Kirin Leg Guards
Kirin Boots;Kirin Boots
GuardianSpirit Boots;GuardianSpirit Boots
Carnage Boots;Carnage Boots
Auroros Pants;Auroros Pants
Genesis Pants;Genesis Pants
Borealis Pants;Borealis Pants
Glyph Pants;Glyph Pants
Red Borealis Pants;Red Borealis Pants
Red Glyph Pants;Red Glyph Pants
Empress Greaves;Empress Greaves
Empress Leggings;Empress Leggings
Indra Leggings;Indra Leggings
Steadfast Boots;Steadfast Boots
Kaiser Greaves;Kaiser Greaves
Kaiser Leggings;Kaiser Leggings
Red Lobster Greaves;(dummy)Red Lobster Greaves
RedLobster Leggings;(dummy)RedLobster Leggings
Monodevil Greaves;Monodevil Greaves
Monodevil Leggings;Monodevil Leggings
Rathian HeartGreaves;Rathian HeartGreaves
RathianHeartLeggings;RathianHeartLeggings
Rathalos SoulGreaves;Rathalos SoulGreaves
RathalosSoulLeggings;RathalosSoulLeggings
Mafumofu Boots S;Mafumofu Boots S
Green Pants S;Green Pants S
Blue Pants S;Blue Pants S
Hunter Greaves S;Hunter's Greaves S
Hunter Leggings S;Hunter's Leggings S
Bone Greaves S;Bone Greaves S
Bone Leggings S;Bone Leggings S
Battle Greaves S;Battle Greaves S
Battle Leggings S;Battle Leggings S
Velociprey Greaves S;Velociprey Greaves S
Velociprey LeggingsS;Velociprey LeggingsS
Vespoid Greaves S;Vespoid Greaves S
Vespoid Leggings S;Vespoid Leggings S
Hi-Metal Greaves S;Hi-Metal Greaves S
Hi-Metal Leggings S;Hi-Metal Leggings S
Hornet Greaves S;Hornet Greaves S
Hornet Leggings S;Hornet Leggings S
Genprey Greaves S;Genprey Greaves S
Genprey Leggings S;Genprey Leggings S
Ioprey Greaves S;Ioprey Greaves S
Ioprey Leggings S;Ioprey Leggings S
Kut-Ku Greaves S;Kut-Ku Greaves S
Kut-Ku Leggings S;Kut-Ku Leggings S
Cephalos Greaves S;Cephalos Greaves S
Cephalos Leggings S;Cephalos Leggings S
Conga Greaves S;Conga Greaves S
Conga Leggings S;Conga Leggings S
Gypceros Greaves S;Gypceros Greaves S
Gypceros Leggings S;Gypceros Leggings S
Khezu Greaves S;Khezu Greaves S
Khezu Leggings S;Khezu Leggings S
Hermitaur Greaves S;Hermitaur Greaves S
Hermitaur Leggings S;Hermitaur Leggings S
Hypnoc Greaves S;Hypno Greaves S
Hypnoc Leggings S;Hypno Leggings S
Basarios Greaves S;Basarios Greaves S
Basarios Leggings S;Basarios Leggings S
Plesioth Greaves S;Plesioth Greaves S
Plesioth Leggings S;Plesioth Leggings S
Monoblos Greaves S;Monoblos Greaves S
Monoblos Leggings S;Monoblos Leggings S
Garuga Greaves S;Garuga Greaves S
Garuga Leggings S;Garuga Leggings S
Blango Greaves S;Blango Greaves S
Blango Leggings S;Blango Leggings S
Ceanataur Greaves S;Ceanataur Greaves S
Ceanataur Leggings S;Ceanataur Leggings S
Rathian Greaves S;Rathian Greaves S
Rathian Leggings S;Rathian Leggings S
Naruga Greaves S;Narga Greaves S
Naruga Leggings S;Narga Leggings S
Tigrex Greaves S;Tigrex Greaves S
Tigrex Leggings S;Tigrex Leggings S
Rathalos Greaves S;Rathalos Greaves S
Rathalos Leggings S;Rathalos Leggings S
Diablo Greaves S;Diablo Greaves S
Diablo Leggings S;Diablo Leggings S
Gravios Greaves S;Gravios Greaves S
Gravios Leggings S;Gravios Leggings S
Cream Pants;Cream Pants
Coffee Pants;Coffee Pants
Hunter Greaves U;Hunter's Greaves U
Hunter Leggings U;Hunter's Leggings U
Bone Greaves U;Bone Greaves U
Bone Leggings U;Bone Leggings U
Battle Greaves U;Battle Greaves U
Battle Leggings U;Battle Leggings U
Giaprey Greaves U;Giaprey Greaves U
Giaprey Leggings U;Giaprey Leggings U
Vespoid Greaves U;Vespoid Greaves U
Vespoid Leggings U;Vespoid Leggings U
Hi-Metal Greaves U;Hi-Metal Greaves U
Hi-Metal Leggings U;Hi-Metal Leggings U
Hornet Greaves U;Hornet Greaves U
Hornet Leggings U;Hornet Leggings U
Genprey Greaves U;Genprey Greaves U
Genprey Leggings U;Genprey Leggings U
Ioprey Greaves U;Ioprey Greaves U
Ioprey Leggings U;Ioprey Leggings U
Kut-Ku Greaves U;Kut-Ku Greaves U
Kut-Ku Leggings U;Kut-Ku Leggings U
Cephalos Greaves U;Cephalos Greaves U
Cephalos Leggings U;Cephalos Leggings U
Conga Greaves U;Conga Greaves U
Conga Leggings U;Conga Leggings U
Gypceros Greaves U;Gypceros Greaves U
Gypceros Leggings U;Gypceros Leggings U
Khezu Greaves U;Khezu Greaves U
Khezu Leggings U;Khezu Leggings U
Hermitaur Greaves U;Hermitaur Greaves U
Hermitaur Leggings U;Hermitaur Leggings U
Basarios Greaves U;Basarios Greaves U
Basarios Leggings U;Basarios Leggings U
Plesioth Greaves U;Plesioth Greaves U
Plesioth Leggings U;Plesioth Leggings U
Blango Greaves U;Blango Greaves U
Blango Leggings U;Blango Leggings U
Ceanataur Greaves U;Ceanataur Greaves U
Ceanataur Leggings U;Ceanataur Leggings U
Diablo Greaves U;Diablo Greaves U
Diablo Leggings U;Diablo Leggings U
Gravios Greaves U;Gravios Greaves U
Gravios Leggings U;Gravios Leggings U
Famitsu Cloth Wrap S;(dummy)Famitsu Cloth Wrap S
Famitsu Pants S;(dummy)Famitsu Pants S
Black Belt Greaves S;Black Belt Greaves S
ShinobiBoots(Heaven);ShinobiBoots(Heaven)
Shinobi Boots(Earth);Shinobi Boots(Earth)
Red GuildGuard Boots;Red GuildGuard Boots
RedGuildGuard Tights;RedGuildGuard Tights
BlueGuildGuard Boots;BlueGuildGuard Boots
BlueGuildGuardTights;BlueGuildGuardTights
Red GuildGuard Boots;Red GuildGuard Boots
RedGuildGuard Tights;RedGuildGuard Tights
BlueGuildGuard Boots;BlueGuildGuard Boots
BlueGuildGuardTights;BlueGuildGuardTights
Devil Blos Greaves;(dummy)Devil Blos Greaves
Devil Blos Leggings;(dummy)Devil Blos Leggings
Jolly Roger Pants;(dummy)Jolly Roger Pants
Jolly Roger Skirt;(dummy)Jolly Roger Skirt
Golden Hakama;Golden Hakama
Puppet Master Socks;Puppet Master Socks
Obituary Gamba S;Obituary Gamba S
Obituary Femur S;Obituary Femur S
Butterfly Gamba S;Butterfly Gamba S
Butterfly Femur S;Butterfly Femur S
Death Stench Heel S;Death Stench Heel S
Death Stench March S;Death Stench March S
SupremeMizuhaLegWrap;SupremeMizuhaLegWrap
SprmExtrvgntTrousers;SprmExtrvgntTrousers
Kushala Crus S;Kushala Crus S
Kushala Shank S;Kushala Shank S
Kirin Leg Guards S;Kirin Leg Guards S
Kirin Boots S;Kirin Boots S
Auroros Pants Haku;Auroros Pants Haku
Genesis Pants Haku;Genesis Pants Haku
Borealis Pants Haku;Borealis Pants Haku
Glyph Pants Haku;Glyph Pants Haku
UltimateIndraLggings;UltimateIndraLggings
SupremSteadfastBoots;SupremSteadfastBoots
Kaiser Greaves S;Kaiser Greaves S
Kaiser Leggings S;Kaiser Leggings S
Dragonfeet S;Dragonfeet S
Dragonlegs S;Dragonlegs S
Dark Akantor Hessian;Dark Akantor Hessian
Dark Akantor Boots;Dark Akantor Boots
Shinobi Boots (Sky);Shinobi Boots (Sky)
Shinobi Boots (Sea);Shinobi Boots (Sea)
Guardian Boots U;Guardian Boots U
Guardian Pants U;Guardian Pants U
Helper Socks U;Helper Socks U
Healer Socks U;Healer Socks U
Melahoa Roots U;Melahoa Roots U
Melahoa Taproot U;Melahoa Taproot U
Makluva Pants U;Makluva Pants U
Makluva Leggings U;Makluva Leggings U
Monodevil Greaves U;Monodevil Greaves U
Monodevil Leggings U;Monodevil Leggings U
RathianHeartGreavesU;RathianHeartGreavesU
RthianHeartLeggingsU;RthianHeartLeggingsU
RathalosSoulGreavesU;RathalosSoulGreavesU
RthalosSoulLeggingsU;RthalosSoulLeggingsU
Golden Moon Greaves;Golden Moon Greaves
Golden Moon Leggings;Golden Moon Leggings
Silver Sol Greaves;Silver Sol Greaves
Silver Sol Leggings;Silver Sol Leggings
Auroros Pants Ten;Auroros Pants Ten
Genesis Pants Ten;Genesis Pants Ten
Borealis Pants Ten;Borealis Pants Ten
Glyph Pants Ten;Glyph Pants Ten
Fatalis Feet;Fatalis Feet
Fatalis Legs;Fatalis Legs
White Fatalis Feet;White Fatalis Feet
White Fatalis Legs;White Fatalis Legs
Kut-Ku Greaves X;Kut-Ku Greaves X
Kut-Ku Leggings X;Kut-Ku Leggings X
Conga Greaves X;Conga Greaves X
Conga Leggings X;Conga Leggings X
Gypceros Greaves X;Gypceros Greaves X
Gypceros Leggings X;Gypceros Leggings X
Khezu Greaves X;Khezu Greaves X
Khezu Leggings X;Khezu Leggings X
Hermitaur Greaves X;Hermitaur Greaves X
Hermitaur Leggings X;Hermitaur Leggings X
Hypnoc Greaves X;Hypno Greaves X
Hypnoc Leggings X;Hypno Leggings X
Basarios Greaves X;Basarios Greaves X
Basarios Leggings X;Basarios Leggings X
Plesioth Greaves X;Plesioth Greaves X
Plesioth Leggings X;Plesioth Leggings X
Monoblos Greaves X;Monoblos Greaves X
Monoblos Leggings X;Monoblos Leggings X
Garuga Greaves X;Garuga Greaves X
Garuga Leggings X;Garuga Leggings X
Blango Greaves X;Blango Greaves X
Blango Leggings X;Blango Leggings X
Ceanataur Greaves X;Ceanataur Greaves X
Ceanataur Leggings X;Ceanataur Leggings X
Rathian Greaves X;Rathian Greaves X
Rathian Leggings X;Rathian Leggings X
Naruga Greaves X;Narga Greaves X
Naruga Leggings X;Narga Leggings X
Volganos Greaves X;Lava Greaves X
Volganos Leggings X;Lava Leggings X
Tigrex Greaves X;Tigrex Greaves X
Tigrex Leggings X;Tigrex Leggings X
Rathalos Greaves X;Rathalos Greaves X
Rathalos Leggings X;Rathalos Leggings X
Diablo Greaves X;Diablo Greaves X
Diablo Leggings X;Diablo Leggings X
Gravios Greaves X;Gravios Greaves X
Gravios Leggings X;Gravios Leggings X
Kut-Ku Greaves Z;Kut-Ku Greaves Z
Kut-Ku Leggings Z;Kut-Ku Leggings Z
Conga Greaves Z;Conga Greaves Z
Conga Leggings Z;Conga Leggings Z
Gypceros Greaves Z;Gypceros Greaves Z
Gypceros Leggings Z;Gypceros Leggings Z
Khezu Greaves Z;Khezu Greaves Z
Khezu Leggings Z;Khezu Leggings Z
Hermitaur Greaves Z;Hermitaur Greaves Z
Hermitaur Leggings Z;Hermitaur Leggings Z
Plesioth Greaves Z;Plesioth Greaves Z
Plesioth Leggings Z;Plesioth Leggings Z
Blango Greaves Z;Blango Greaves Z
Blango Leggings Z;Blango Leggings Z
Ceanataur Greaves Z;Ceanataur Greaves Z
Ceanataur Leggings Z;Ceanataur Leggings Z
Diablo Greaves Z;Diablo Greaves Z
Diablo Leggings Z;Diablo Leggings Z
Gravios Greaves Z;Gravios Greaves Z
Gravios Leggings Z;Gravios Leggings Z
Crystal Anklet;Chakra Anklet
Famitsu Cloth Wrap X;(dummy)Famitsu Cloth Wrap X
Famitsu Pants X;(dummy)Famitsu Pants X
True Golden Hakama;Golden Hakama Shin
TruePuppetMastrSocks;PuppetMastrSocksShin
Black Belt Greaves X;Black Belt Greaves X
BlackBelt Leggings X;BlackBeltLeggingsX
Obituary Gamba X;Obituary Gamba X
Obituary Femur X;Obituary Femur X
Butterfly Gamba X;Butterfly Gamba X
Butterfly Femur X;Butterfly Femur X
True Mizuha Leg Wrap;Mizuha Leg Wrap Shin
TrueExtrvgntTrousers;ExtravgntTrousrsShin
Kushala Crus X;Kushala Crus X
Kushala Shank X;Kushala Shank X
Kirin Leg Guards X;Kirin Leg Guards X
Kirin Boots X;Kirin Boots X
Empress Greaves X;Empress Greaves X
Empress Leggings X;Empress Leggings X
True Indra Leggings;Indra Leggings Shin
True Steadfast Boots;Steadfast Boots Shin
Kaiser Greaves X;Kaiser Greaves X
Kaiser Leggings X;Kaiser Leggings X
TrueGuardnSpritBoots;GuardianSprtBtsShin
True Carnage Boots;Carnage Boots Shin
Dragonfeet X;Dragonfeet X
Dragonlegs X;Dragonlegs X
Ucamulbas Hessian;Dark Ukanlos Hessian
Ucamulbas Boots;Dark Ukanlos Boots
Melahoa Roots Z;Melahoa Roots Z
Melahoa Taproot Z;Melahoa Taproot Z
Makluva Pants Z;Makluva Pants Z
Makluva Leggings Z;Makluva Leggings Z
RathianHeartGreavesZ;RathianHeartGreavesZ
RthianHeartLeggingsZ;RathHeartLeggingsZ
RathalosSoulGreavesZ;RathalosSoulGreavesZ
RthalosSoulLeggingsZ;RathSoulLeggingsZ
GoldenMoon Greaves Z;GoldenMoonGreavesZ
GldenMoon Leggings Z;GoldenMoonLeggingsZ
Silver Sol Greaves Z;Silver Sol Greaves Z
SilverSol Leggings Z;SilverSolLeggingsZ
Auroros Pants Kyoku;Auroros Pants Goku
Genesis Pants Kyoku;Genesis Pants Goku
Borealis Pants Kyoku;Borealis Pants Goku
Glyph Pants Kyoku;Glyph Pants Goku
Fatalis Feet Z;Fatalis Feet Z
Fatalis Legs Z;Fatalis Legs Z
Wht Fatalis Feet Z;White Fatalis Feet Z
Wht Fatalis Legs Z;White Fatalis Legs Z
