"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
"Cephalos Tasset","2350z","Cephalos Scale",5,"Cephalos Fin",1,"Med Monster Bone",2,"Burst Arrowana",5,14,-3,-4,0,2,2350,"Male/Female","Blade",3,1,1,"---","Heat Res",5,"Recovery",2,"PsychicVis",2,"Faint",-2,,
"Cephalos Coat","2350z","Cephalos Scale",5,"Cephalos Fin",1,"Med Monster Bone",2,"Burst Arrowana",5,8,-1,-2,1,5,2350,"Male/Female","Gunner",3,1,1,"---","Heat Res",5,"Recovery",2,"PsychicVis",2,"Faint",-2,,
"Kut-Ku Tasset","1650z","Kut-Ku Scale",2,"Kut-Ku Shell",3,"Med Monster Bone",1,,,12,2,0,-1,-2,1650,"Male/Female","Blade",3,1,1,"---","Attack",4,"Fire Res",2,"Health",2,"Water Res",-3,,
"Kut-Ku Coat","1650z","Kut-Ku Scale",2,"Kut-Ku Shell",3,"Med Monster Bone",1,,,6,5,3,0,1,1650,"Male/Female","Gunner",3,1,1,"---","Attack",4,"Fire Res",2,"Health",2,"Water Res",-3,,
"Battle Tasset","750z","Kut-Ku Scale",3,"Kelbi Hide",2,"Earth Crystal",2,"Whetstone",2,8,2,-2,0,-2,750,"Male/Female","Blade",2,1,1,"---","Guard",2,"Map",3,"Backpackng",4,,,,
"Battle Coat","750z","Kut-Ku Scale",3,"Kelbi Hide",2,"Iron Ore",3,"Small Bone Husk",3,5,4,0,2,0,750,"Male/Female","Gunner",2,1,1,"---","Load",3,"Map",3,"Backpackng",4,,,,
"Bone Tasset","650z","Unknown Skull",1,"Bullfango Pelt",1,"Kelbi Hide",2,,,7,2,-2,-2,2,650,"Male/Female","Blade",2,1,1,"---","StealNoEff",5,"Hunger",2,"PsychicVis",2,"Worry",-2,,
"Bone Coat","650z","Monster Fluid",1,"Bullfango Pelt",1,"Small Bone Husk",3,,,4,5,0,0,5,650,"Male/Female","Blade/Gunner",2,1,1,"---","StealNoEff",1,"Hunger",2,"Faint",6,"Worry",-2,,
"Gypceros Tasset","2350z","Poison Sac",1,"Antiseptic Stone",2,"Rubbery Hide",2,,,14,-4,4,0,1,2350,"Male/Female","Blade",3,1,1,"---","Wide Cntr",5,"Health",4,"Wide Rec",1,"Fate",-1,,
"Gypceros Coat","2350z","Poison Sac",1,"Antiseptic Stone",2,"Rubbery Hide",2,,,7,-1,6,0,4,2350,"Male/Female","Gunner",3,1,1,"---","Wide Cntr",5,"Health",4,"Wide Rec",1,"Fate",-1,,
"Rathalos Tasset","4150z","Rathalos Shell",2,"Rathalos Scale",4,"Rathalos Webbing",2,"Machalite Ore",2,17,2,2,-4,-1,4150,"Male/Female","Blade",3,1,1,"---","Attack",5,"Fire Res",2,"Worry",-2,"Dragon Res",-2,,
"Rathalos Coat","4150z","Rathalos Shell",2,"Rathalos Scale",4,"Rathalos Webbing",2,"Machalite Ore",2,9,4,5,-2,2,4150,"Male/Female","Gunner",3,1,1,"---","Attack",5,"Fire Res",2,"Worry",-2,"Dragon Res",-2,,
"Gravios Tasset+","23250z","Gravios Carapace",3,"Gravios Shell",6,"Lg Monster Bone",5,"Ioprey Hide",3,30,2,2,-2,-2,23250,"Male/Female","Blade",4,1,1,"---","Health",2,"Heat Res",1,"Artisan",4,"PsychicVis",1,"Hunger",-3
"Gravios Coat+","23250z","Gravios Carapace",3,"Gravios Shell",6,"Lg Monster Bone",5,"Ioprey Hide",3,15,4,3,0,1,23250,"Male/Female","Gunner",4,1,1,"---","Health",2,"Heat Res",3,"Hunger",-3,"Faint",-3,,
"Hi-Metal Tasset+","7750z","Dragonite Ore",6,"Machalite Ore",10,"Monster Bone+",1,"King Scarab",2,20,-2,3,0,-2,7750,"Male/Female","Blade",4,1,1,"---","Health",3,"MixSucRate",2,"PsychicVis",2,"Worry",-2,"Poison",-2
"Hi-Metal Coat+","7750z","Dragonite Ore",6,"Machalite Ore",10,"Monster Bone+",1,"King Scarab",2,13,0,5,0,0,7750,"Male/Female","Gunner",4,1,1,"---","Health",3,"MixSucRate",2,"PsychicVis",2,"Worry",-2,"Poison",-2
"Auroros Tasset","16125z","Lao-Shan's Spine",1,"Lao-Shan's Shell",5,"Gravios Shell",5,"Commendation",1,22,-2,0,-4,2,16125,"Male","Blade",5,1,1,"---","Rec Speed",2,"Guard",3,"PsychicVis",2,,,,
"Genesis Tasset","16125z","Lao-Shan's Spine",1,"Lao-Shan's Shell",5,"Gravios Shell",5,"Commendation",1,11,1,2,-2,3,16125,"Male","Gunner",5,1,1,"---","Rec Speed",2,"Load",3,"PsychicVis",2,,,,
"Borealis Tasset","16125z","Lao-Shan's Spine",1,"Lao-Shan's Shell",5,"Gravios Shell",5,"Commendation",1,22,-2,0,-4,2,16125,"Female","Blade",5,1,1,"---","Rec Speed",2,"Guard",3,"PsychicVis",2,,,,
"Glyph Tasset","16125z","Lao-Shan's Spine",1,"Lao-Shan's Shell",5,"Gravios Shell",5,"Commendation",1,11,1,2,-2,3,16125,"Female","Gunner",5,1,1,"---","Rec Speed",2,"Load",3,"PsychicVis",2,,,,
"Vespoid Tasset+","7750z","Vespoid Bladefin",1,"Vespoid Wing",12,"Monster Bone+",1,"Union Ore",2,20,-6,2,2,-5,7750,"Male/Female","Blade",4,1,1,"---","Sleep",5,"Poison",2,"Paralysis",2,"Faint",-2,,
"Vespoid Coat+","7750z","Vespoid Bladefin",1,"Vespoid Shell",8,"Monster Bone+",1,"Union Ore",2,13,-5,5,2,-4,7750,"Male/Female","Blade/Gunner",4,1,1,"---","Sleep",4,"Poison",2,"Paralysis",2,"Faint",-3,,
"Khezu Tasset+","16750z","Pale Bone",1,"Flabby Hide",3,"Monster Fluid",2,"Ioprey Hide",3,26,-3,4,0,3,16750,"Male/Female","Blade",4,1,1,"---","Rec Speed",2,"Wide Rec",3,"Guard",2,"PsychicVis",1,"Faint",-3
"Khezu Coat+","16750z","Pale Bone",1,"Flabby Hide",3,"Monster Fluid",2,"Ioprey Hide",3,15,-1,6,0,5,16750,"Male/Female","Gunner",4,1,1,"---","Rec Speed",2,"Wide Rec",2,"PsychicVis",3,"Faint",-3,,
"Hornet Tasset+","7750z","Hornet Bladefin",1,"Hornetaur Head",1,"Union Ore",4,"Monster Bone+",1,20,-6,-5,2,-1,7750,"Male/Female","Blade",4,1,1,"---","Poison",4,"Paralysis",4,"Faint",-3,,,,
"Hornet Coat+","7750z","Hornet Bladefin",1,"Hornetaur Head",1,"Union Ore",4,"Monster Bone+",1,13,-5,-3,3,2,7750,"Male/Female","Gunner",4,1,1,"---","Poison",5,"Paralysis",4,"Faint",-2,,,,
"Dragonwings","22222z","Fatalis' Shell",3,"Fatalis' Scale",2,"Fatalis' Webbing",1,"Azre Rthls Plate",1,24,0,2,-5,2,22222,"Male/Female","Blade",5,1,1,"---","Rec Speed",2,"Attack",3,"WindPress",2,"WideEffect",2,"Hunger",-2
"Dragontail","22222z","Fatalis' Shell",3,"Fatalis' Scale",2,"Fatalis' Webbing",1,"Azre Rthls Plate",1,12,2,4,-2,4,22222,"Male/Female","Gunner",5,1,1,"---","Rec Speed",2,"Attack",3,"WindPress",2,"WideEffect",2,"Hunger",-2
"Guild Knight Coat","16125z","Light Crystal",1,"Gunner Ticket",3,"Egg Ticket",1,"Plesioth Coin",3,10,0,0,0,0,16125,"Male","Blade/Gunner",5,1,1,"---","Gathering",2,"Whim",3,"PsychicVis",3,,,,
"Guild Knight Kilt","16125z","Light Crystal",1,"Gunner Ticket",3,"Egg Ticket",1,"Cephalos Coin",3,10,0,0,0,0,16125,"Male","Blade/Gunner",5,1,1,"---","Gathering",2,"Whim",3,"PsychicVis",3,,,,
"Maiden's Skirt","16125z","Light Crystal",1,"Gunner Ticket",3,"Egg Ticket",1,"Plesioth Coin",3,10,0,0,0,0,16125,"Female","Blade/Gunner",5,1,1,"---","Gathering",2,"Whim",3,"PsychicVis",3,,,,
"Personal Frills","16125z","Light Crystal",1,"Gunner Ticket",3,"Egg Ticket",1,"Cephalos Coin",3,10,0,0,0,0,16125,"Female","Blade/Gunner",5,1,1,"---","Gathering",2,"Whim",3,"PsychicVis",3,,,,
"Shinobi Belt (Sun)","16125z","Sm Lao-Shan Claw",1,"Grt Sword Ticket",3,"Monster Fluid",2,"Azure Rthlos Scl",5,10,0,2,1,-6,16125,"Male/Female","Blade/Gunner",5,1,1,"---","Poison",2,"Worry",2,"Hunger",2,,,,
"Shinobi Belt (Moon)","16125z","Sm Lao-Shan Claw",1,"Grt Sword Ticket",3,"Monster Fluid",2,"Azure Rthlos Scl",5,10,2,4,2,-5,16125,"Male/Female","Blade/Gunner",5,1,1,"---","Poison",2,"Worry",2,"Hunger",2,,,,
"Light Belt","100z","Kelbi Hide",2,,,,,,,1,-2,2,-2,2,100,"Male/Female","Blade/Gunner",1,1,1,"---","Whim",5,"Map",2,"Attack",2,"Health",2,,
"Hide Belt","950z","Rathalos Webbing",4,,,,,,,9,2,2,0,2,950,"Male/Female","Blade/Gunner",2,1,1,"---","Fire Res",9,"Backpackng",2,,,,,,
"Iron Belt","200z","Iron Ore",2,"Kelbi Hide",1,,,,,2,4,-6,0,-4,200,"Male/Female","Blade/Gunner",1,1,1,"---","Health",9,"Map",1,"Attack",1,,,,
"Steel Belt","1650z","Machalite Ore",8,"Iron Ore",12,"Earth Crystal",2,,,12,2,-2,0,2,1650,"Male/Female","Blade",3,1,1,"---","MixSucRate",4,"Defense",3,"ThunderRes",-2,"Worry",-2,,
"Red Borealis Tasset","16125z","Lao-Shan's Spine",1,"Lao-Shan's Shell",5,"Gravios Shell",5,"Commendation",1,22,2,0,-4,-2,16125,"Female","Blade",5,1,1,"---","Rec Speed",2,"Fire Res",5,"PsychicVis",2,,,,
"Red Glyph Tasset","16125z","Lao-Shan's Spine",1,"Lao-Shan's Shell",5,"Gravios Shell",5,"Commendation",1,11,3,2,-2,1,16125,"Female","Gunner",5,1,1,"---","Rec Speed",2,"Fire Res",5,"PsychicVis",2,,,,
"Hi-Metal Tasset","1150z","Machalite Ore",5,"Iron Ore",5,"Velociprey Hide",6,,,10,-2,3,0,-2,1150,"Male/Female","Blade",3,1,1,"---","Health",3,"MixSucRate",2,"PsychicVis",5,"Fate",1,,
"Hi-Metal Coat","1150z","Machalite Ore",5,"Iron Ore",5,"Velociprey Hide",6,,,5,0,5,0,0,1150,"Male/Female","Gunner",3,1,1,"---","Health",3,"MixSucRate",2,"PsychicVis",5,"Fate",1,,
"Khezu Tasset","3350z","Flabby Hide",2,"Iron Ore",8,"Rubbery Hide",1,,,16,-3,4,0,3,3350,"Male/Female","Blade/Gunner",3,1,1,"---","Rec Speed",3,"Cold Res",3,"Guard",2,"Faint",-3,,
"Khezu Coat","3350z","Flabby Hide",2,"Iron Ore",8,"Rubbery Hide",1,,,9,-1,6,0,5,3350,"Male/Female","Gunner",3,1,1,"---","Rec Speed",3,"Cold Res",3,"Load",2,"Faint",-3,,
"Vespoid Tasset","1150z","Vespoid Wing",5,"Iron Ore",5,"Machalite Ore",1,,,10,-6,2,2,-5,1150,"Male/Female","Blade",3,1,1,"---","Sleep",5,"Backpackng",4,,,,,,
"Vespoid Coat","1150z","Vespoid Shell",3,"Iron Ore",5,"Machalite Ore",1,,,5,-5,5,2,-4,1150,"Male/Female","Blade/Gunner",3,1,1,"---","Sleep",5,"Backpackng",4,,,,,,
"Hornet Tasset","1150z","Hornetaur Wing",6,"Hornetaur Shell",1,"Machalite Ore",3,"Monster Fluid",1,10,-6,-5,2,-1,1150,"Male/Female","Blade",3,1,1,"---","Poison",5,,,,,,,,
"Hornet Coat","1150z","Hornetaur Wing",6,"Hornetaur Shell",1,"Machalite Ore",3,"Monster Fluid",1,5,-5,-3,3,2,1150,"Male/Female","Gunner",3,1,1,"---","Poison",5,"PsychicVis",5,,,,,,
"Gravios Tasset","7750z","Gravios Shell",4,"Godbug",2,"Earth Crystal",5,"Iron Ore",8,20,2,2,-2,-2,7750,"Male/Female","Blade",3,1,1,"---","Health",3,"Heat Res",2,"PsychicVis",3,"Hunger",-3,,
"Gravios Coat","7750z","Gravios Shell",4,"Godbug",2,"Earth Crystal",5,"Iron Ore",8,10,4,3,0,1,7750,"Male/Female","Gunner",3,1,1,"---","Health",3,"Heat Res",2,"PsychicVis",3,"Hunger",-3,,
"Steel Belt+","10750z","Dragonite Ore",10,"Rubbery Hide",2,"Monster Bone+",2,,,22,2,-2,0,2,10750,"Male/Female","Blade",4,1,1,"---","MixSucRate",5,"Defense",2,"ThunderRes",-2,"Worry",-2,,
"Rathian Tasset+","16750z","Rathian Plate",1,"Rathian Shell",5,"Flame Sac",2,"Dragonite Ore",4,26,2,-2,-4,0,16750,"Male/Female","Blade",4,1,1,"---","Health",5,"PsychicVis",2,"Poison",-2,"Worry",-2,,
"Rathian Coat+","16750z","Rathian Plate",1,"Rathian Shell",5,"Flame Sac",2,"Dragonite Ore",4,14,4,0,-2,2,16750,"Male/Female","Gunner",4,1,1,"---","Health",5,"PsychicVis",2,"Poison",-2,"Worry",-2,,
"Rathalos Tasset+","18250z","Rathalos Plate",1,"Rathalos Shell",3,"Rathalos Scale",4,"King Scarab",2,27,2,2,-4,-1,18250,"Male/Female","Blade",4,1,1,"---","Attack",3,"Rec Speed",2,"Fire Res",2,"ThunderRes",-2,"Dragon Res",-2
"Rathalos Coat+","18250z","Rathalos Plate",1,"Rathalos Shell",3,"Rathalos Scale",4,"King Scarab",2,15,4,5,-2,2,18250,"Male/Female","Gunner",4,1,1,"---","Attack",3,"Rec Speed",2,"Fire Res",2,"ThunderRes",-2,"Worry",-2
"Kut-Ku Tasset+","10750z","Dragonite Ore",3,"Kut-Ku Shell",8,"Kut-Ku Ear",1,"Monster Bone+",2,22,2,0,-1,-2,10750,"Male/Female","Blade",4,1,1,"---","Attack",3,"Faint",4,"PsychicVis",1,"Defense",-3,,
"Kut-Ku Coat+","10750z","Dragonite Ore",3,"Kut-Ku Shell",8,"Kut-Ku Ear",1,"Monster Bone+",2,14,5,3,0,1,10750,"Male/Female","Gunner",4,1,1,"---","Attack",3,"Faint",4,"PsychicVis",1,"Health",-3,,
"Chrome Metal Coat(BuyShopOnly)","3630z","Iron Ore",15,"Machalite Ore",7,"Small Goldenfish",5,,,12,2,0,0,-2,3630,"Male/Female","Blade/Gunner",3,1,1,"---",,,,,,,,,,
"Leather Belt+","1350z","Dragonite Ore",1,"Kelbi Hide",4,"Med Monster Bone",3,"Monster Bone+",1,11,2,0,0,0,1350,"Male/Female","Blade/Gunner",4,1,1,"---","Throw",5,"Backpackng",3,"Worry",-3,,,,
"Light Belt+","1350z","Dragonite Ore",1,"Kelbi Hide",4,"Monster Bone+",1,,,11,-2,2,-2,2,1350,"Male/Female","Blade/Gunner",4,1,1,"---","Whim",5,"Map",2,"Attack",2,"Health",2,,
"Chain Belt+","1650z","Dragonite Ore",1,"Iron Ore",6,"Kelbi Hide",2,"Monster Bone+",1,12,2,-2,0,2,1650,"Male/Female","Blade/Gunner",4,1,1,"---","Gathering",2,"Gluttony",2,"PsychicVis",7,,,,
"Iron Belt+","1650z","Dragonite Ore",1,"Machalite Ore",4,"Kelbi Hide",5,"Monster Bone+",1,12,4,-6,0,-4,1650,"Male/Female","Blade/Gunner",4,1,1,"---","Health",5,"Map",1,"Attack",1,"Backpackng",2,,
"Hunter's Tasset+","2350z","Dragonite Ore",1,"Bullfango Pelt",6,"Lg Monster Bone",1,"Monster Bone+",1,14,0,-4,0,0,2350,"Male/Female","Blade",4,1,1,"---","Fishing",4,"Guard Up",2,"Health",2,"Defense",-3,,
"Hunter's Coat+","2350z","Dragonite Ore",1,"Bullfango Pelt",6,"Lg Monster Bone",1,"Monster Bone+",1,13,2,-2,0,2,2350,"Male/Female","Gunner",4,1,1,"---","Fishing",4,"NormalSAdd",2,"Health",2,"Defense",-3,,
"Bone Tasset+","4150z","Dragonite Ore",2,"Unknown Skull",1,"Bullfango Pelt",5,"Monster Bone+",1,17,2,-2,-2,2,4150,"Male/Female","Blade",4,1,1,"---","StealNoEff",5,"Hunger",2,"Flute",2,"Worry",-2,,
"Bone Coat+","4150z","Dragonite Ore",2,"Monster Fluid",3,"Small Bone Husk",10,"Monster Bone+",1,13,5,0,0,5,4150,"Male/Female","Blade/Gunner",4,1,1,"---","StealNoEff",1,"Hunger",2,"Faint",4,"Flute",2,"Worry",-2
"Velociprey Tasset+","4950z","Dragonite Ore",2,"Velociprey Scale",5,"Machalite Ore",3,"Monster Bone+",1,18,1,1,-1,1,4950,"Male/Female","Blade",4,1,1,"---","Faint",5,"Gluttony",2,"WideEffect",2,"Sleep",-2,,
"Velociprey Coat+","4950z","Dragonite Ore",2,"Velociprey Scale",5,"Machalite Ore",3,"Monster Bone+",1,13,3,3,0,3,4950,"Male/Female","Gunner",4,1,1,"---","Faint",4,"Health",2,"Defense",2,"Load",3,,
"Battle Tasset+","4950z","Dragonite Ore",3,"Machalite Ore",6,"Earth Crystal",10,"Monster Bone+",1,18,2,-2,0,-2,4950,"Male/Female","Blade",4,1,1,"---","Guard",4,"Map",2,"Defense",2,"Faint",-3,,
"Battle Coat+","4950z","Dragonite Ore",3,"Machalite Ore",6,"Small Bone Husk",10,"Monster Bone+",1,13,4,0,2,0,4950,"Male/Female","Gunner",4,1,1,"---","Load",3,"PsychicVis",2,"Health",-3,"Protection",-2,,
"Hide Belt+","2350z","Dragonite Ore",3,"Rathalos Webbing",4,"Monster Bone+",1,,,14,2,2,0,2,2350,"Male/Female","Blade/Gunner",4,1,1,"---","Fire Res",9,"Health",2,,,,,,
"Genprey Tasset+","9250z","Dragonite Ore",3,"Genprey Scale",5,"Disk Stone",4,"Monster Bone+",1,21,2,3,-1,-2,9250,"Male/Female","Blade",4,1,1,"---","Paralysis",3,"MixSucRate",2,"PsychicVis",2,"Worry",-2,"Poison",-2
"Genprey Coat+","9250z","Dragonite Ore",3,"Genprey Scale",5,"Disk Stone",4,"Monster Bone+",1,14,4,5,0,0,9250,"Male/Female","Gunner",4,1,1,"---","Paralysis",3,"MixSucRate",2,"PsychicVis",2,"Worry",-2,"Poison",-2
"Chrome Metal Coat+(BuyShopOnly)","9130z","Dragonite Ore",10,"Blk Gravios Crst",6,"Small Goldenfish",5,,,17,2,0,0,-2,9130,"Male/Female","Blade/Gunner",4,1,1,"---",,,,,,,,,,
"Ioprey Tasset+","12250z","Union Ore",1,"Ioprey Scale",5,"Lg Monster Bone",2,"Monster Bone+",2,23,3,-2,-1,2,12250,"Male/Female","Blade",4,1,1,"---","Poison",3,"ThunderRes",2,"PsychicVis",2,"Health",2,"Water Res",-2
"Ioprey Coat+","12250z","Union Ore",1,"Ioprey Scale",5,"Lg Monster Bone",2,"Monster Bone+",2,14,5,0,0,4,12250,"Male/Female","Gunner",4,1,1,"---","Poison",3,"ThunderRes",2,"PsychicVis",2,"Health",2,"Water Res",-2
"Gypceros Tasset+","13750z","Monster Bone+",2,"Rubbery Hide",4,"Antiseptic Stone",3,"Union Ore",3,24,-4,4,0,1,13750,"Male/Female","Blade",4,1,1,"---","Wide Cntr",5,"Health",4,"Wide Rec",1,"Fate",-1,,
"Gypceros Coat+","13750z","Monster Bone+",2,"Rubbery Hide",4,"Antiseptic Stone",3,"Union Ore",3,14,-1,6,0,4,13750,"Male/Female","Gunner",4,1,1,"---","Wide Cntr",5,"Health",4,"Wide Rec",1,"Fate",-1,,
"Cephalos Tasset+","13750z","Union Ore",1,"Lg Monster Bone",2,"Cephalos Fin",2,"Monster Bone+",2,24,-3,-4,0,2,13750,"Male/Female","Blade",4,1,1,"---","Heat Res",5,"Recovery",2,"PsychicVis",2,"Faint",-2,,
"Cephalos Coat+","13750z","Union Ore",1,"Lg Monster Bone",2,"Cephalos Fin",2,"Monster Bone+",2,14,-1,-2,1,5,13750,"Male/Female","Gunner",4,1,1,"---","Heat Res",5,"Recovery",2,"PsychicVis",2,"Faint",-2,,
"Leather Belt S","3350z","Carbalite Ore",1,"Machalite Ore",10,"Kelbi Hide",2,"Monster Bone+",1,16,2,0,0,0,3350,"Male/Female","Blade/Gunner",6,1,1,"---","HearProtct",2,"Gathering",2,"PsychicVis",4,"Faint",-3,,
"Light Belt S","3350z","Carbalite Ore",4,"King Scarab",5,"Kelbi Hide",2,,,16,-2,2,-2,2,3350,"Male/Female","Blade/Gunner",6,1,1,"---","Protection",6,"Backpackng",3,"Worry",-2,,,,
"Chain Belt S","4150z","Carbalite Ore",2,"Dragonite Ore",3,"Monster Bone+",1,,,17,2,-2,0,2,4150,"Male/Female","Blade/Gunner",6,1,1,"---","BombStrUp",3,"MixSucRate",2,"PsychicVis",2,"Health",-4,,
"Iron Belt S","4150z","Carbalite Ore",4,"Dragonite Ore",6,"King Scarab",5,"Kelbi Hide",1,17,4,-6,0,-4,4150,"Male/Female","Blade/Gunner",6,1,1,"---","Attack",4,"Recovery",2,,,,,,
"Hunter's Tasset S","13750z","Carbalite Ore",3,"Machalite Ore",12,"King Scarab",2,"Bullfango Pelt",2,24,0,-4,0,0,13750,"Male/Female","Blade",6,1,1,"---","Rec Speed",3,"Fate",2,"Sleep",-2,"Recovery",-3,,
"Hunter's Coat S","13750z","Carbalite Ore",3,"Machalite Ore",12,"King Scarab",2,"Bullfango Pelt",2,18,2,-2,0,2,13750,"Male/Female","Gunner",6,1,1,"---","Rec Speed",3,"Fate",3,"PelletS Up",2,"Load",-1,,
"Bone Tasset S","18250z","Hrd Monster Bone",1,"Master's Skull",1,"Bullfango Pelt",3,"Disk Stone",10,27,2,-2,-2,2,18250,"Male/Female","Blade",6,1,1,"---","StealNoEff",2,"Heat Res",2,"SwdShrpner",2,"PsychicVis",2,"Faint",-3
"Bone Coat S","18250z","Hrd Monster Bone",1,"Monster Broth",2,"Bullfango Pelt",3,"Large Bone Husk",5,18,5,0,0,5,18250,"Male/Female","Gunner",6,1,1,"---","StealNoEff",2,"Heat Res",2,"MixSucRate",2,"PsychicVis",2,"Paralysis",-3
"Velociprey Tasset S","19750z","Velociprey Scle+",3,"Velociprey Hide+",5,"Dragonite Ore",6,,,28,1,1,-1,1,19750,"Male/Female","Blade",6,1,1,"---","Faint",4,"Sleep",2,"Health",2,"PsychicVis",1,"Guard",-2
"Velociprey Coat S","19750z","Velociprey Scle+",3,"Velociprey Hide+",5,"Dragonite Ore",6,,,18,3,3,0,3,19750,"Male/Female","Gunner",6,1,1,"---","Faint",4,"Sleep",3,"PierceS Up",2,"Load",-2,,
"Battle Tasset S","19750z","Kut-Ku Carapace",4,"Pure Crystal",1,"Carbalite Ore",2,"Disk Stone",10,28,2,-2,0,-2,19750,"Male/Female","Blade",6,1,1,"---","PsychicVis",4,"Map",2,"Guard Up",2,"Recovery",-3,,
"Battle Coat S","19750z","Kut-Ku Carapace",4,"Pure Crystal",1,"Carbalite Ore",2,"Dragon Seed",2,18,4,0,2,0,19750,"Male/Female","Gunner",6,1,1,"---","Load",5,"PsychicVis",2,"Defense",-4,,,,
"Hide Belt S","5750z","Ioprey Hide+",2,"Rathalos Webbing",4,"Monster Bone+",3,,,19,2,2,0,2,5750,"Male/Female","Blade/Gunner",6,1,1,"---","Fire Res",9,"Health",2,,,,,,
"Vespoid Tasset S","23250z","Vspoid Razorwing",3,"Vespoid Carapace",3,"Vespoid Wing",9,"Joiner Grasshppr",2,30,-6,2,2,-5,23250,"Male/Female","Blade",6,1,1,"---","Poison",3,"WideEffect",2,"Hunger",-6,,,,
"Vespoid Coat S","23250z","Vspoid Razorwing",3,"Vespoid Carapace",3,"Vespoid Shell",6,"Monster Broth",3,16,-5,5,2,-4,23250,"Male/Female","Gunner",6,1,1,"---","Poison",3,"WideEffect",2,"Sleep",3,"Hunger",-3,,
"Hornet Tasset S","23250z","Hornet Razorwing",3,"Hornet Carapace",3,"Hornetaur Head",2,"Joiner Grasshppr",2,30,-6,-5,2,-1,23250,"Male/Female","Blade",6,1,1,"---","Dragon Res",5,"Fate",2,"Hunger",-4,,,,
"Hornet Coat S","23250z","Hornet Razorwing",3,"Hornet Carapace",3,"Hornetaur Head",2,"Monster Broth",3,15,-5,-3,3,2,23250,"Male/Female","Gunner",6,1,1,"---","Dragon Res",5,"Fate",2,"Defense",-4,,,,
