"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
"Battle Helm","750z","Disk Stone",2,"Iron Ore",5,"Earth Crystal",2,"Whetstone",2,8,2,-2,0,-2,750,"Male/Female","Blade/Gunner",2,1,1,"---","Guard",4,"Health",2,"Defense",2,,,,
"Battle Cap","750z","Disk Stone",2,"Iron Ore",5,"Huskberry",10,"Small Bone Husk",2,5,4,0,2,0,750,"Male/Female","Blade/Gunner",2,1,1,"---","Load",2,,,,,,,,
"Monoblos Helm","4950z","Crimson Horn",1,"Monoblos Shell",2,"Machalite Ore",5,"Ioprey Hide",5,18,2,-2,-1,-1,4950,"Male/Female","Blade/Gunner",3,1,1,"---","Attack",5,"Paralysis",2,"Hunger",-4,,,,
"Monoblos Cap","4950z","Crimson Horn",1,"Monoblos Shell",2,"Machalite Ore",5,"Ioprey Hide",5,9,4,0,0,2,4950,"Male/Female","Blade/Gunner",3,1,1,"---","Attack",5,"Paralysis",4,"Fate",2,"Hunger",-4,,
"Bone Helm","650z","Unknown Skull",1,"Bullfango Pelt",1,"Kut-Ku Scale",1,,,7,2,-2,-2,2,650,"Male/Female","Blade/Gunner",2,1,1,"---","StealNoEff",5,"Hunger",2,"Backpackng",2,"Worry",-2,,
"Bone Cap","650z","Unknown Skull",1,"Bullfango Pelt",1,"Kut-Ku Scale",1,,,4,5,0,0,5,650,"Male/Female","Blade/Gunner",2,1,1,"---","StealNoEff",9,"Hunger",2,"Worry",-4,,,,
"Gypceros Helm","2350z","Rubbery Hide",2,"Antiseptic Stone",2,"Genprey Hide",5,"Earth Crystal",5,14,-4,4,0,1,2350,"Male/Female","Blade/Gunner",3,1,1,"---","Wide Cntr",5,"Health",4,"Wide Rec",1,"Fate",-1,,
"Gypceros Cap","2350z","Rubbery Hide",2,"Antiseptic Stone",2,"Genprey Hide",5,"Earth Crystal",5,7,-1,6,0,4,2350,"Male/Female","Blade/Gunner",3,1,1,"---","Wide Cntr",9,"Health",4,"Wide Rec",1,"Fate",-1,,
"Rathalos Helm","4150z","Rathalos Wing",1,"Rathalos Scale",3,"Machalite Ore",3,,,17,2,2,-4,-1,4150,"Male/Female","Blade/Gunner",3,1,1,"---","Attack",5,"Fire Res",2,"Worry",-2,"Dragon Res",-2,,
"Rathalos Cap","4150z","Rathalos Wing",1,"Rathalos Scale",3,"Machalite Ore",3,,,9,4,5,-2,2,4150,"Male/Female","Blade/Gunner",3,1,1,"---","Attack",5,"Fire Res",2,"PsychicVis",3,"Worry",-2,"Dragon Res",-2
"Gravios Helm+","23250z","Gravios Carapace",1,"Gravios Head",1,"Lg Monster Bone",3,"Ioprey Hide",5,30,2,2,-2,-2,23250,"Male/Female","Blade/Gunner",4,1,1,"---","Health",2,"Heat Res",3,"Hunger",-2,"Faint",-4,,
"Gravios Cap+","23250z","Gravios Carapace",1,"Gravios Head",1,"Lg Monster Bone",3,"Ioprey Hide",5,15,4,3,0,1,23250,"Male/Female","Blade/Gunner",4,1,1,"---","Health",2,"Heat Res",3,"PsychicVis",5,"Hunger",-2,,
"Hi-Metal Helm+","7750z","Nova Crystal",1,"Dragonite Ore",8,"Machalite Ore",10,"Monster Bone+",1,20,-2,3,0,-2,7750,"Male/Female","Blade/Gunner",4,1,1,"---","Health",4,"ThunderRes",3,"Paralysis",2,"Water Res",-2,,
"Hi-Metal Cap+","7750z","Nova Crystal",1,"Dragonite Ore",8,"Machalite Ore",10,"Monster Bone+",1,13,0,5,0,0,7750,"Male/Female","Blade/Gunner",4,1,1,"---","Health",4,"NormalS Up",4,"ThunderRes",3,"Paralysis",2,"Water Res",-2
"Diablo Helm+","19750z","Diablos Spine",3,"Majestic Horn",1,"Diablos Shell",4,"Gendrome Hide",2,28,3,1,0,-1,19750,"Male/Female","Blade/Gunner",4,1,1,"---","WindPress",5,"Attack",2,"Hunger",-4,,,,
"Diablo Cap+","19750z","Diablos Spine",3,"Majestic Horn",1,"Diablos Shell",4,"Gendrome Hide",2,15,5,4,0,2,19750,"Male/Female","Blade/Gunner",4,1,1,"---","WindPress",5,"Attack",2,"PsychicVis",4,"Hunger",-4,,
"Auroros Helm","16125z","Lao-Shan's Spine",1,"Lao-Shan's Scale",5,"Majestic Horn",1,"Commendation",1,22,-2,0,-4,2,16125,"Male","Blade/Gunner",5,1,1,"---","Rec Speed",2,"Guard",3,"Fire Res",3,"PsychicVis",2,,
"Genesis Headpiece","16125z","Lao-Shan's Spine",1,"Lao-Shan's Scale",5,"Majestic Horn",1,"Commendation",1,11,1,2,-2,3,16125,"Male","Blade/Gunner",5,1,1,"---","Rec Speed",2,"Load",3,"Fire Res",3,"PsychicVis",2,,
"Borealis Crown","16125z","Lao-Shan's Spine",1,"Lao-Shan's Scale",5,"Majestic Horn",1,"Commendation",1,22,-2,0,-4,2,16125,"Female","Blade/Gunner",5,1,1,"---","Rec Speed",2,"Guard",3,"Fire Res",3,"PsychicVis",2,,
"Glyph Crown","16125z","Lao-Shan's Spine",1,"Lao-Shan's Scale",5,"Majestic Horn",1,"Commendation",1,11,1,2,-2,3,16125,"Female","Blade/Gunner",5,1,1,"---","Rec Speed",2,"Load",3,"Fire Res",3,"PsychicVis",2,,
"Vespoid Helm+","7750z","Vespoid Bladefin",1,"Vespoid Wing",12,"Monster Bone+",1,"Gendrome Hide",2,20,-6,2,2,-5,7750,"Male/Female","Blade/Gunner",4,1,1,"---","Sleep",5,"Poison",2,"Paralysis",2,"Faint",-2,,
"Vespoid Cap+","7750z","Vespoid Bladefin",1,"Vespoid Shell",8,"Monster Bone+",1,"Gendrome Hide",2,13,-5,5,2,-4,7750,"Male/Female","Blade/Gunner",4,1,1,"---","Sleep",6,"Poison",2,"Paralysis",2,"Faint",-5,,
"Khezu Helm+","16750z","Pale Bone",1,"Flabby Hide",3,"King Scarab",3,"Lifepowder",2,26,-3,4,0,3,16750,"Male/Female","Blade/Gunner",4,1,1,"---","Rec Speed",2,"Wide Rec",2,"PsychicVis",5,"Fate",-2,,
"Khezu Cap+","16750z","Pale Bone",1,"Flabby Hide",3,"King Scarab",3,"Lifepowder",2,15,-1,6,0,5,16750,"Male/Female","Blade/Gunner",4,1,1,"---","Rec Speed",2,"Wide Rec",2,"PsychicVis",4,"Fate",-7,,
"Lobster Helm+","18250z","Lg Lobstershell",1,"Dragonite Ore",5,"Light Crystal",2,"Gendrome Hide",2,27,-2,-6,-2,6,18250,"Male/Female","Blade/Gunner",4,1,1,"---","Cold Res",9,"Water Res",2,"Sleep",2,"Fire Res",-2,,
"Plesioth Helm+","18250z","Monster Bone+",2,"Plesioth Scale",3,"Plesioth Fin",4,"King Scarab",3,27,-4,-4,0,4,18250,"Male/Female","Blade/Gunner",4,1,1,"---","Heat Res",3,"Hunger",2,"Water Res",2,"Sleep",2,"Fire Res",-2
"Plesioth Cap+","18250z","Monster Bone+",2,"Plesioth Scale",3,"Plesioth Fin",4,"King Scarab",3,15,-2,-2,1,6,18250,"Male/Female","Blade/Gunner",4,1,1,"---","Heat Res",3,"Hunger",2,"Water Res",2,"Sleep",2,"Fire Res",-2
"Hornet Helm+","7750z","Hornet Bladefin",2,"Hornetaur Wing",8,"Hornetaur Shell",10,"Monster Bone+",1,20,-6,-5,2,-1,7750,"Male/Female","Blade/Gunner",4,1,1,"---","Poison",5,"Paralysis",4,"Faint",-2,,,,
"Hornet Cap+","7750z","Hornet Bladefin",2,"Hornetaur Wing",8,"Hornetaur Shell",10,"Monster Bone+",1,13,-5,-3,3,2,7750,"Male/Female","Blade/Gunner",4,1,1,"---","Poison",5,"Paralysis",4,"PsychicVis",1,"Faint",-5,,
"Dragonhead","22222z","Fatalis' Eye",1,"Fatalis' Scale",3,"Fatalis' Horn",2,"Wyvern Marrow",1,24,0,2,-5,2,22222,"Male/Female","Blade/Gunner",5,1,1,"---","Rec Speed",2,"Attack",2,"WindPress",2,"PsychicVis",3,"Hunger",-2
"Dragonface","22222z","Fatalis' Eye",1,"Fatalis' Scale",3,"Fatalis' Horn",2,"Wyvern Marrow",1,12,2,4,-2,4,22222,"Male/Female","Blade/Gunner",5,1,1,"---","Rec Speed",3,"Attack",2,"WindPress",2,"PsychicVis",3,"Hunger",-2
"Guild Knight Feather","16125z","Light Crystal",1,"Lance Ticket",3,"Egg Ticket",1,"Rathalos Coin",3,10,0,0,0,0,16125,"Male","Blade/Gunner",5,1,1,"---","Gathering",2,"Whim",3,,,,,,
"Guild Knight Mask","16125z","Light Crystal",1,"Lance Ticket",3,"Egg Ticket",1,"Rathian Coin",3,10,0,0,0,0,16125,"Male","Blade/Gunner",5,1,1,"---","Gathering",2,"Whim",3,,,,,,
"Maiden's Hat","16125z","Light Crystal",1,"Lance Ticket",3,"Egg Ticket",1,"Rathalos Coin",3,10,0,0,0,0,16125,"Female","Blade/Gunner",5,1,1,"---","Gathering",2,"Whim",3,,,,,,
"Designer Glasses","16125z","Light Crystal",1,"Lance Ticket",3,"Egg Ticket",1,"Rathian Coin",3,10,0,0,0,0,16125,"Female","Blade/Gunner",5,1,1,"---","Gathering",2,"Whim",3,,,,,,
"Velociprey Mask","750z","Kut-Ku Coin",2,"Velociprey Hide",5,,,,,8,0,0,0,0,750,"Male/Female","Blade/Gunner",5,1,1,"---","Faint",3,"Fate",7,"Whim",-3,,,,
"Shinobi Mask (Sun)","16125z","Sm Lao-Shan Claw",1,"Hammer Ticket",3,"Monster Fluid",2,"Rathalos Scale",5,10,0,2,1,-6,16125,"Male/Female","Blade/Gunner",5,1,1,"---","Poison",2,"Worry",2,"Hunger",2,,,,
"Shinobi Mask (Moon)","16125z","Sm Lao-Shan Claw",1,"Hammer Ticket",3,"Monster Fluid",2,"Rathalos Scale",5,10,2,4,2,-5,16125,"Male/Female","Blade/Gunner",5,1,1,"---","Poison",2,"Worry",2,"Hunger",2,,,,
"Moss Mask","100z","Basarios Coin",1,"Bullfango Pelt",2,,,,,1,0,0,0,0,100,"Male/Female","Blade/Gunner",5,1,1,"---","Gluttony",5,"Health",2,"Hunger",-3,,,,
"Bullfango Mask","300z","Gravios Coin",1,"Bullfango Pelt",5,,,,,3,0,0,0,0,300,"Male/Female","Blade/Gunner",5,1,1,"---","Gluttony",9,,,,,,,,
"Skull Face","1350z","Unknown Skull",5,"Ancient Potion",1,"Lifecrystals",1,,,11,2,0,0,0,1350,"Male/Female","Blade/Gunner",5,1,1,"---","WideEffect",5,"Hunger",-5,,,,,,
"Hi-Metal Helm","1150z","Light Crystal",1,"Machalite Ore",4,"Iron Ore",3,,,10,-2,3,0,-2,1150,"Male/Female","Blade/Gunner",3,1,1,"---","Health",3,"ThunderRes",3,"Paralysis",2,"Water Res",-2,,
"Hi-Metal Cap","1150z","Light Crystal",1,"Machalite Ore",4,"Iron Ore",3,,,5,0,5,0,0,1150,"Male/Female","Blade/Gunner",3,1,1,"---","Health",4,"NormalS Up",4,"ThunderRes",3,"Paralysis",2,"Water Res",-2
"Khezu Helm","3350z","Flabby Hide",2,"Earth Crystal",4,"Monster Fluid",2,,,16,-3,4,0,3,3350,"Male/Female","Blade/Gunner",3,1,1,"---","Rec Speed",2,"Wide Rec",2,"PsychicVis",4,"Fire Res",-3,,
"Khezu Cap","3350z","Flabby Hide",2,"Earth Crystal",4,"Monster Fluid",2,,,9,-1,6,0,5,3350,"Male/Female","Blade/Gunner",3,1,1,"---","Rec Speed",2,"Wide Rec",2,"PsychicVis",4,"Fire Res",-3,,
"Lobster Helm","4150z","Sm Lobstershell",1,"Plesioth Scale",4,"Genprey Hide",2,,,17,-2,-6,-2,6,4150,"Male/Female","Blade/Gunner",3,1,1,"---","Cold Res",9,"Water Res",2,"Sleep",2,"Fire Res",-2,,
"Plesioth Helm","4150z","Plesioth Scale",3,"Monster Fluid",1,"Cephalos Scale",3,"Plesioth Fin",1,17,-4,-4,0,4,4150,"Male/Female","Blade/Gunner",3,1,1,"---","Hunger",3,"Water Res",2,"Sleep",2,"PsychicVis",2,"Fire Res",-2
"Plesioth Cap","4150z","Plesioth Scale",3,"Monster Fluid",1,"Cephalos Scale",3,"Plesioth Fin",1,9,-2,-2,1,6,4150,"Male/Female","Blade/Gunner",3,1,1,"---","Hunger",3,"Water Res",2,"Sleep",2,"PsychicVis",2,"Fire Res",-2
"Vespoid Helm","1150z","Vespoid Wing",5,"Iron Ore",5,"Velociprey Hide",2,,,10,-6,2,2,-5,1150,"Male/Female","Blade/Gunner",3,1,1,"---","Sleep",5,,,,,,,,
"Vespoid Cap","1150z","Vespoid Shell",2,"Iron Ore",5,"Velociprey Hide",2,,,5,-5,5,2,-4,1150,"Male/Female","Blade/Gunner",3,1,1,"---","Sleep",9,,,,,,,,
"Diablo Helm","4950z","Twisted Horn",1,"Diablos Shell",3,"Machalite Ore",3,,,18,3,1,0,-1,4950,"Male/Female","Blade/Gunner",3,1,1,"---","WindPress",4,"PsychicVis",4,"Hunger",-3,,,,
"Diablo Cap","4950z","Twisted Horn",1,"Diablos Shell",3,"Machalite Ore",3,,,10,5,4,0,2,4950,"Male/Female","Blade/Gunner",3,1,1,"---","WindPress",4,"PsychicVis",4,"Hunger",-3,,,,
"Hornet Helm","1150z","Hornetaur Wing",6,"Hornetaur Shell",2,"Machalite Ore",2,"Monster Fluid",1,10,-6,-5,2,-1,1150,"Male/Female","Blade/Gunner",3,1,1,"---","Poison",5,"PsychicVis",4,,,,,,
"Hornet Cap","1150z","Hornetaur Wing",6,"Hornetaur Shell",2,"Machalite Ore",2,"Monster Fluid",1,5,-5,-3,3,2,1150,"Male/Female","Blade/Gunner",3,1,1,"---","Poison",9,"PsychicVis",4,,,,,,
"Gravios Helm","7750z","Gravios Shell",4,"Med Monster Bone",5,"Machalite Ore",3,"Disk Stone",5,20,2,2,-2,-2,7750,"Male/Female","Blade/Gunner",3,1,1,"---","Health",2,"Heat Res",3,"PsychicVis",2,"Worry",-2,"Poison",-2
"Gravios Cap","7750z","Gravios Shell",4,"Med Monster Bone",5,"Machalite Ore",3,"Disk Stone",5,10,4,3,0,1,7750,"Male/Female","Blade/Gunner",3,1,1,"---","Health",2,"Heat Res",3,"PsychicVis",2,"Worry",-2,"Poison",-2
"Rathian Helm+","16750z","Rathian Plate",1,"Rathian Shell",4,"Rathian Claw",2,"Dragonite Ore",5,26,2,-2,-4,0,16750,"Male/Female","Blade/Gunner",4,1,1,"---","Health",5,"MixSucRate",2,"Worry",-4,,,,
"Rathian Cap+","16750z","Rathian Plate",1,"Rathian Shell",4,"Rathian Claw",2,"Dragonite Ore",5,14,4,0,-2,2,16750,"Male/Female","Blade/Gunner",4,1,1,"---","Health",5,"MixSucRate",2,"PsychicVis",4,"Worry",-4,,
"Rathalos Helm+","18250z","Rathalos Plate",1,"Rathalos Wing",1,"Rathalos Webbing",4,"Fire Stone",1,27,2,2,-4,-1,18250,"Male/Female","Blade/Gunner",4,1,1,"---","Attack",3,"Rec Speed",2,"Fire Res",2,"ThunderRes",-2,"Dragon Res",-2
"Rathalos Cap+","18250z","Rathalos Plate",1,"Rathalos Wing",1,"Rathalos Webbing",4,"Fire Stone",1,15,4,5,-2,2,18250,"Male/Female","Blade/Gunner",4,1,1,"---","Attack",3,"Rec Speed",2,"Fire Res",3,"ThunderRes",-2,"Worry",-2
"Leather Helm+","1350z","Dragonite Ore",1,"Iron Ore",6,"Kelbi Hide",4,"Monster Bone+",1,11,2,0,0,0,1350,"Male/Female","Blade/Gunner",4,1,1,"---","Throw",6,"Backpackng",3,"PsychicVis",3,"Worry",-3,,
"Chain Helm+","1650z","Dragonite Ore",1,"Iron Ore",6,"Lg Monster Bone",1,"Monster Bone+",1,12,2,-2,0,2,1650,"Male/Female","Blade/Gunner",4,1,1,"---","Gathering",5,"Gluttony",6,,,,,,
"Hunter's Helm+","2350z","Dragonite Ore",1,"Bullfango Pelt",5,"Disk Stone",4,"Monster Bone+",1,14,0,-4,0,0,2350,"Male/Female","Blade/Gunner",4,1,1,"---","Fishing",3,"Guard Up",2,"Health",3,"Defense",-3,,
"Hunter's Cap+","2350z","Dragonite Ore",1,"Bullfango Pelt",5,"Disk Stone",4,"Monster Bone+",1,13,2,-2,0,2,2350,"Male/Female","Blade/Gunner",4,1,1,"---","Fishing",7,"NormalSAdd",2,"Health",3,"Defense",-3,,
"Bone Helm+","4150z","Dragonite Ore",3,"Unknown Skull",1,"Bullfango Pelt",3,"Monster Bone+",1,17,2,-2,-2,2,4150,"Male/Female","Blade/Gunner",4,1,1,"---","StealNoEff",5,"Hunger",2,"Flute",2,"Worry",-2,,
"Bone Cap+","4150z","Dragonite Ore",3,"Unknown Skull",1,"Bullfango Pelt",3,"Monster Bone+",1,13,5,0,0,5,4150,"Male/Female","Blade/Gunner",4,1,1,"---","StealNoEff",5,"Hunger",2,"Flute",2,"Backpackng",2,"Worry",-2
"Velociprey Helm+","4950z","Dragonite Ore",2,"Velociprey Scale",4,"Machalite Ore",3,"Monster Bone+",1,18,1,1,-1,1,4950,"Male/Female","Blade/Gunner",4,1,1,"---","Faint",5,"PsychicVis",2,"Worry",-2,"Poison",-2,,
"Velociprey Cap+","4950z","Dragonite Ore",2,"Velociprey Scale",4,"Machalite Ore",3,"Monster Bone+",1,13,3,3,0,3,4950,"Male/Female","Blade/Gunner",4,1,1,"---","Faint",5,"PsychicVis",5,"Worry",-2,"Poison",-2,,
"Battle Helm+","4950z","Dragonite Ore",3,"Kut-Ku Scale",6,"Earth Crystal",8,"Monster Bone+",1,18,2,-2,0,-2,4950,"Male/Female","Blade/Gunner",4,1,1,"---","Guard",4,"Health",2,"Defense",2,"Faint",-3,,
"Battle Cap+","4950z","Dragonite Ore",3,"Kut-Ku Scale",6,"Small Bone Husk",8,"Monster Bone+",1,13,4,0,2,0,4950,"Male/Female","Blade/Gunner",4,1,1,"---","Load",3,"PsychicVis",2,"Health",-3,"Protection",-2,,
"Genprey Helm+","9250z","Dragonite Ore",3,"Genprey Scale",5,"Genprey Hide",4,"Monster Bone+",1,21,2,3,-1,-2,9250,"Male/Female","Blade/Gunner",4,1,1,"---","Paralysis",5,"MixSucRate",2,"PsychicVis",4,,,,
"Genprey Cap+","9250z","Dragonite Ore",3,"Genprey Scale",5,"Genprey Hide",4,"Monster Bone+",1,14,4,5,0,0,9250,"Male/Female","Blade/Gunner",4,1,1,"---","Paralysis",5,"MixSucRate",2,"PsychicVis",5,,,,
"Ioprey Helm+","12250z","Dragonite Ore",3,"Ioprey Scale",4,"Machalite Ore",7,"Monster Bone+",2,23,3,-2,-1,2,12250,"Male/Female","Blade/Gunner",4,1,1,"---","Poison",5,"PsychicVis",4,,,,,,
"Ioprey Cap+","12250z","Dragonite Ore",3,"Ioprey Scale",4,"Machalite Ore",7,"Monster Bone+",2,14,5,0,0,4,12250,"Male/Female","Blade/Gunner",4,1,1,"---","Poison",9,"PsychicVis",4,,,,,,
"Gypceros Helm+","13750z","Monster Bone+",2,"Rubbery Hide",4,"Antiseptic Stone",3,"Gendrome Hide",1,24,-4,4,0,1,13750,"Male/Female","Blade/Gunner",4,1,1,"---","Wide Cntr",5,"Health",4,"Wide Rec",1,"Fate",-1,,
"Gypceros Cap+","13750z","Monster Bone+",2,"Rubbery Hide",4,"Antiseptic Stone",3,"Gendrome Hide",1,14,-1,6,0,4,13750,"Male/Female","Blade/Gunner",4,1,1,"---","Wide Cntr",9,"Health",4,"Wide Rec",1,"Fate",-1,,
"Cephalos Helm+","13750z","Union Ore",1,"Piscine Jaw",2,"Cephalos Fin",2,"Monster Bone+",2,24,-3,-4,0,2,13750,"Male/Female","Blade/Gunner",4,1,1,"---","Heat Res",5,"PsychicVis",2,"Worry",-2,"Poison",-2,,
"Cephalos Cap+","13750z","Union Ore",1,"Piscine Jaw",2,"Cephalos Fin",2,"Monster Bone+",2,14,-1,-2,1,5,13750,"Male/Female","Blade/Gunner",4,1,1,"---","Heat Res",9,"PsychicVis",2,"Worry",-2,"Poison",-2,,
"Leather Helm S","3350z","Carbalite Ore",1,"Machalite Ore",6,"Dragonite Ore",2,"Monster Bone+",1,16,2,0,0,0,3350,"Male/Female","Blade/Gunner",6,1,1,"---","HearProtct",2,"Gathering",2,"Backpackng",1,"Faint",-2,"Worry",-2
"Chain Helm S","4150z","Carbalite Ore",2,"Machalite Ore",15,,,,,17,2,-2,0,2,4150,"Male/Female","Blade/Gunner",6,1,1,"---","BombStrUp",2,"MixSucRate",3,"PsychicVis",3,"Health",-3,,
"Hunter's Helm S","13750z","Carbalite Ore",3,"Machalite Ore",10,"Monster Bone+",3,"Bullfango Pelt",2,24,0,-4,0,0,13750,"Male/Female","Blade/Gunner",6,1,1,"---","Rec Speed",3,"Fate",2,"Sharpness",3,"Sleep",-2,,
"Hunter's Cap S","13750z","Carbalite Ore",3,"Machalite Ore",10,"Monster Bone+",3,"Bullfango Pelt",2,18,2,-2,0,2,13750,"Male/Female","Blade/Gunner",6,1,1,"---","Rec Speed",3,"Fate",2,"PelletS Up",2,"PsychicVis",4,"Load",-4
"Bone Helm S","18250z","Joiner Grasshppr",2,"Master's Skull",1,"Bullfango Pelt",3,,,27,2,-2,-2,2,18250,"Male/Female","Blade/Gunner",6,1,1,"---","StealNoEff",3,"Heat Res",2,"SwdShrpner",4,"Backpackng",2,,
"Bone Cap S","18250z","Joiner Grasshppr",2,"Master's Skull",1,"Bullfango Pelt",3,,,18,5,0,0,5,18250,"Male/Female","Blade/Gunner",6,1,1,"---","StealNoEff",3,"Heat Res",2,"MixSucRate",3,"Backpackng",2,"Paralysis",-4
"Velociprey Helm S","19750z","Velociprey Scle+",2,"Velociprey Hide+",3,"Carbalite Ore",3,,,28,1,1,-1,1,19750,"Male/Female","Blade/Gunner",6,1,1,"---","Faint",4,"Sleep",2,"Health",2,"Guard",-3,,
"Velociprey Cap S","19750z","Velociprey Scle+",2,"Velociprey Hide+",3,"Carbalite Ore",3,,,18,3,3,0,3,19750,"Male/Female","Blade/Gunner",6,1,1,"---","Faint",4,"Sleep",3,"NormalS Up",5,"Load",-3,,
"Battle Helm S","19750z","Kut-Ku Carapace",2,"Pure Crystal",1,"Carbalite Ore",3,"Disk Stone",10,28,2,-2,0,-2,19750,"Male/Female","Blade/Gunner",6,1,1,"---","PsychicVis",3,"Map",2,"Guard Up",2,"Recovery",-2,,
"Battle Cap S","19750z","Kut-Ku Carapace",2,"Pure Crystal",1,"Carbalite Ore",3,"Dragon Seed",2,18,4,0,2,0,19750,"Male/Female","Blade/Gunner",6,1,1,"---","Load",5,"PsychicVis",3,"Defense",-5,,,,
"Vespoid Helm S","23250z","Vspoid Razorwing",3,"Vespoid Carapace",3,"Vespoid Bladefin",4,"King Scarab",2,30,-6,2,2,-5,23250,"Male/Female","Blade/Gunner",6,1,1,"---","Poison",3,"WideEffect",2,"Sleep",4,"Hunger",-2,,
"Vespoid Cap S","23250z","Vspoid Razorwing",3,"Vespoid Carapace",3,"Vespoid Shell",10,"Joiner Grasshppr",2,16,-5,5,2,-4,23250,"Male/Female","Blade/Gunner",6,1,1,"---","Poison",3,"WideEffect",2,"Sleep",3,"Cold Res",-4,"Hunger",-3
"Hornet Helm S","23250z","Hornet Razorwing",5,"Hornet Carapace",3,"Hornetaur Shell",6,"Joiner Grasshppr",2,30,-6,-5,2,-1,23250,"Male/Female","Blade/Gunner",6,1,1,"---","Dragon Res",5,"Fate",2,"Hunger",-4,,,,
"Hornet Cap S","23250z","Hornet Razorwing",5,"Hornet Carapace",3,"Hornetaur Shell",6,"Joiner Grasshppr",2,15,-5,-3,3,2,23250,"Male/Female","Blade/Gunner",6,1,1,"---","Dragon Res",5,"Fate",2,"PsychicVis",4,"Defense",-4,,
"Hi-Metal Helm S","23250z","Pure Crystal",1,"Carbalite Ore",3,"Joiner Grasshppr",2,"Dragonite Ore",8,30,-2,3,0,-2,23250,"Male/Female","Blade/Gunner",6,1,1,"---","Health",3,"Throw",3,"Protection",3,"Cold Res",-2,,
