key;value
Exciteshroom;Exciteshroom
Wearyshroom;Wearyshroom
Dragn Toadstool;Dragon Toadstool
Mega Parashroom;Bindshroom
Pickaxe Shroom;Pickaxe Mushroom
Paintberry;Paintberry
Power Seed;Might Seed
Armor Seed;Adamant Seed
Cure Seed;Nulberry
Dragon Seed;Dragonfell Berry
Scatternut;Scatternut
Needleberry;Needleberry
Spikeberry;Spikeberry
Bomberry;Bomberry
Red seed;Red Seed
Green seed;Green Seed
Pepipo Pumpkin;Bumblepumpkin
Yukumo Wood;Yukumo Wood
Yukumo Wood+;Yukumo Wood+
High Qualty Ash;High Quality Ash
Knife Mackerel;Whetfish
Sushifish;Sushifish
Sleepyfish;Sleepyfish
Pin Tuna;Pin Tuna
Rumblefish;Popfish
Scatterfish;Scatterfish
Burst Arrowana;Burst Arowana
Bomb Arrowana;Bomb Arowana
Sm Goldenfish;Small Goldenfish
Deepsea Sardine;Wanchovy
Ancient Fish;Ancient Fish
Cutlassfish;Blue Cutthroat
Shellfish;Humspun Conch
Armord Beakfish;Armored Beakfish
Ancnt Sharkskin;Sharqskin
Insect Husk;Insect Husk
Hawkmoth Larva;Hawkmoth Larva
Bombhopper;Stinkhopper
Snakebee Larva;Snakebee Larva
Godbug;Godbug
Bitterbug;Bitterbug
Flashbug;Flashbug
Thunderbug;Thunderbug
Carpenterbug;Carpenterbug
Killer Beetle;Killer Beetle
Hercudrome;Hercudrome
Mega Thunderbug;Mega Thunderbug
King Scarab;King Scarab
Rare Scarab;Rare Scarab
Bell Cricket;Blossom Cricket
Swallowtail;Butterfly Beetle
Stone;Stone
Iron Ore;Iron Ore
Earth Crystal;Earth Crystal
Machalite Ore;Machalite Ore
Pelagicite Ore;Pelagicite Ore
Bealite Ore;Bealite Ore
Isisium Ore;Isisium
Lightcrystal;Lightcrystal
Dragonite Ore;Dragonite Ore
Magma Shard;Lava Nugget
Fire Stone;Firestone
Carbalite Ore;Carbalite Ore
Depthlite Ore;Bathycite Ore
Union Ore;Fucium Ore
Gracium Ore;Gracium
Firecell Stone;Firecell Stone
Ice Crystal;Ice Crystal
Rainbow Crystal;Rainbow Crystal
Mystery Bone;Mystery Bone
Unknown Skull;Unknown Skull
Bone;Bone
Sm Monster Bone;Monster Bone S
Med Mnster Bone;Monster Bone M
Lg Monster Bone;Monster Bone L
Monster Bone+;Monster Bone+
Shrp Mnster Bne;Monster Keenbone
Hrd Mnster Bone;Monster Hardbone
Bird Wyvrn Bone;Avian Finebone
Giant Bone;Jumbo Bone
Stout Bone;Stout Bone
Ancnt Drgn Bone;Dragonbone Relic
Wyvern Fang;Wyvern Fang
Wyvern Claw ;Wyvern Claw 
BrdWyvern Stone;Bird Wyvern Gem
Wyvern Stone;Wyvern Stone
EldrDragonBlood;ElderDragonBlood
Screamer;Screamer
Poison Sac;Poison Sac
Toxin Sac;Toxin Sac
Paralysis Sac;Paralysis Sac
Torpor Sac;Omniplegia Sac
Sleep Sac;Sleep Sac
Coma Sac;Coma Sac
Flame Sac;Flame Sac
Inferno Sac;Inferno Sac
Aqua Sac;Aqua Sac
Hydro Sac;Torrent Sac
Thunder Sac;Thunder Sac
Frost Sac;Frost Sac
Glacial Sac;Freezer Sac
Power Extract;Dash Extract
Pale Extract;Pale Extract
Monster Fluid;Monster Fluid
Monster Broth;Monster Broth
Gagua Feather;Gargwa Feather
Kelbi Horn;Kelbi Horn
Warm Pelt;Warm Pelt
High Qualty Plt;High-Qualty Pelt
Anteka Antlers;Anteka Antlers
Rhenoplos Shell;Rhenoplos Shell
Rhenoplos Crpce;Rheno Carapace
Rhnplos Skl Shl;Rhenoplos Scalp
Zuwaroposu Hide;Slagtoth Hide
Zuwaropsu Hide+;Slagtoth Hide+
Large Fin;Big Fin
Quality Fin;Quality Fin
Sharp Fang;Sharpened Fang
Glossy Hide;Velvety Hide
Bnahabra Shell;Bnahabra Shell
Bnahabra Carpce;Bnaha Carapace
Bnahabra Wing;Bnahabra Wing
Bnahabra Stingr;Bnahabra Spine
Altaroth Jaw;Altaroth Jaw
Altarth Abdomen;Altaroth Stomach
Quality Abdomen;Quality Sac
Bullfango Pelt;Bullfango Pelt
Bullfango Head;Bullfango Head
Bulldrome Hide;Bulldrome Hide
Bulldrome Hide+;Bulldrome Hide+
Bulldrome Tusk;Bulldrome Tusk
Jaggi Scale;Jaggi Scale
Jaggi Scale+;Jaggi Scale+
Jaggi Hide;Jaggi Hide
Brd Wyvern Fang;Bird Wyvern Fang
Grt Jaggi Hide;G.Jaggi Hide
Grt Jaggi Hide+;G.Jaggi Hide+
Grt Jaggi Claw;G.Jaggi Claw
Grt Jaggi Claw+;G.Jaggi Claw+
Regal Frill;King's Frill
Grt Jaggi Head;G.Jaggi Head
Froggi Scale;Wroggi Scale
Froggi Scale+;Wroggi Scale+
Froggi Hide;Wroggi Hide
Froggi Fang;Wroggi Fang
Grt Froggi Hide;G.Wroggi Hide
Grt Frggi Hide+;G.Wroggi Hide+
Grt Frggi Arm;G.Wroggi Brace
Grt Frggi Arm+;G.Wroggi Brace+
Regal Snout;King's Beak
Baggi Scale;Baggi Scale
Baggi Scale+;Baggi Scale+
Baggi Hide;Baggi Hide
Grt Baggi Hide;G.Baggi Hide
Grt Baggi Hide+;G.Baggi Hide+
Grt Baggi Claw;G.Baggi Claw
Grt Baggi Claw+;G.Baggi Claw+
Regal Crest;King's Crest
Aoashira Pelt;Arzuros Pelt
Aoashira Pelt+;Arzuros Pelt+
Aoashira Shell;Arzuros Shell
Aoashira Carpce;Arzuros Carapace
Aoashira Arm;Arzuros Brace
Aoashira Arm+;Arzuros Brace+
Urukusu Pelt;Lagombi Pelt
Urukusu Pelt+;Lagombi Pelt+
Urukusu Ear;Lagombi Ear
Urukusu Lng Ear;Lagombi Ear+
Urukusu Belly;Lagombi Plastron
Urksu Hrd Belly;Lagom Plastron+
Urukusu Claw;Lagombi Claw
Urukusu Claw+;Lagombi Claw+
Rangurotora Shl;Volvidon Shell
Rangurotora Cpc;Volvi Carapace
Rangurotora Clw;Volvidon Claw
Rangurtora Clw+;Volvidon Claw+
Rangrtora Belly;Volvi Rickrack
Qurupeco Scale;Qurupeco Scale
Qurupeco Scale+;Qurupeco Scale+
Qurupeco Feathr;Qurupeco Feather
Qurupeco Wing;Qurupeco Wing
Vibrant Down;Vivid Feather
Queer Beak;Strange Beak
Splendid Beak;Wonderful Beak
Flintstone;Flintstone
Red Qurpeco Scl;C.Peco Scale+
Red Qurpeco Wng;C.Peco Wing
Piezo Crystal;Voltstone
Ludroth Hide;Hydro Hide
Ludroth Hide+;Hydro Hide+
Juvenile Sponge;Immature Sponge
Spongy Hide;Spongy Hide
Spongy Hide+;Spongy Hide+
RoyalLudrothScl;R.Ludroth Scale
RoyalLudrthScl+;R.Ludroth Scale+
RoyalLudrothClw;R.Ludroth Claw
RoyalLudrthClw+;R.Ludroth Claw+
RyalLudrthCrest;R.Ludroth Crest
Exquisite Crest;R.Ludroth Crest+
RoyalLudrthTail;R.Ludroth Tail
SpongyPurplHide;Plum Spongy Hide
PurpRylLdrthScl;P.Ludroth Scale+
PurpRylLdrthClw;P.Ludroth Claw+
Barroth Shell;Barroth Shell
Barroth Carapce;Barroth Carapace
Barroth Spine;Barroth Ridge
Barroth Thracic;Barroth Ridge+
Barroth Claw;Barroth Claw
Barroth Claw+;Barroth Claw+
Barroth Skl Shl;Barroth Scalp
Barroth Tail;Barroth Tail
Fertile Mud;Fertile Mud
Ice Barroth Shl;J.Barr Carapace
IceBarrothSpine;J.Barroth Ridge+
Ice Barroth Clw;J.Barroth Claw+
IceBarrthSklShl;J.Barroth Scalp
IceBarrothTail;J.Barroth Tail
Frozen Mucus;Frozen Glob
Hapurubokka Shl;Nibelsnarf Shell
Hapurubokka Cpc;Nibel Carapace
Hapurbokka Hide;Nibelsnarf Hide
Haprbokka Hide+;Nibelsnarf Hide+
Hapurubokka Clw;Nibelsnarf Claw
Hapurbokka Clw+;Nibelsnarf Claw+
Hprbkka Skl Shl;Nibelsnarf Scalp
Brilliant Fluid;Vivid Fluid
Chromatic Fluid;Brilliant Fluid
Gigginox Hide;Gigginox Hide
Gigginox Hide+;Gigginox Hide+
Uncanny Hide;Uncanny Hide
Uncanny Hide+;Uncanny Hide+
Gigginox Claw;Gigginox Claw
Gigginox Claw+;Gigginox Claw+
Horrific Maw;Fearsome Maw
Poison Gland;Venom Gland
Venom Gland;Grim Venom Gland
ThdrGiggnoxHide;B.Giggi Hide+
ThndrGiggnoxClw;B.Giggi Claw+
Rathian Scale;Rathian Scale
Rathian Scale+;Rathian Scale+
Rathian Shell;Rathian Shell
Rathian Carapce;Rathian Carapace
Rathian Webbing;Rathian Webbing
Rathian Spike;Rathian Spike
Rathian Spike+;Rathian Spike+
Rathian Plate;Rathian Plate
Rathian Ruby;Rathian Ruby
Gld Rathian Scl;G.Rathian Scale+
Gld Rathian Cpc;G.Rath Carapace
GldRathianSpike;G.Rathian Spike+
Rathalos Scale;Rathalos Scale
Rathalos Scale+;Rathalos Scale+
Rathalos Shell;Rathalos Shell
Rathalos Carpce;Rath Carapace
Rathalos Webbng;Rathalos Webbing
Rathalos Tail;Rathalos Tail
Rathalos Plate;Rathalos Plate
Rathalos Ruby;Rathalos Ruby
Slvr Rthlos Scl;S.Rath Scale+
Slvr Rthlos Cpc;S.Rath Carapace
Slvr RthlosTail;S.Rathalos Tail
Fire Wyvern Clw;Rath Talon
FireWyvrnMarrow;Rath Marrow
FireWyvrnBrnStm;Rath Medulla
FireWyvernFluid;Rath Gleem
Jinouga Shell;Zinogre Shell
Jinouga Carapce;Zinogre Carapace
Jinouga Pelt;Zin Electrofur
Jinouga Pelt+;Zin Electrofur+
Jinouga Horn;Zinogre Horn
Jinouga Horn+;Zinogre Horn+
Jinouga Claw;Zinogre Claw
Jinouga Claw+;Zinogre Claw+
Jinouga Tail;Zinogre Tail
Static Carapace;Zinogre Shocker
LightningCarpce;Zinogre Shocker+
Jinouga Plate;Zinogre Plate
Jinouga Jewel;Zinogre Jasper
Narga Scale;Nargacuga Scale
Narga Scale+;Nargacuga Scale+
Black Narga Plt;Nargacuga Pelt
BlackNargaPelt+;Nargacuga Pelt+
Nargacuga Tail;Nargacuga Tail
Narga TailSpike;Narga Tailspike
Nargacuga Wing;Nargacuga Razor
Nargacuga Wing+;Narga Razor+
Nargacuga Fang;Nargacuga Fang
Nargacuga Fang+;Nargacuga Fang+
Narga Marrow;Narga Marrow
Narga Brain Stm;Narga Medulla
Green Narga Scl;G.Narga Scale+
Grn Narga Pelt;G.Narga Pelt+
Grn Narga Wing;G.Narga Razor+
Grn Narga Fang;G.Narga Fang+
Barioth Shell;Barioth Shell
Barioth Carapce;Barioth Carapace
Barioth Pelt;Barioth Pelt
Barioth Pelt+;Barioth Pelt+
Barioth Claw;Barioth Claw
Barioth Claw+;Barioth Claw+
Barioth Spike;Barioth Spike
Barioth Tail;Barioth Tail
Amber Fang;Amber Tusks
Amber Fang+;Amber Tusks+
SandBariothShl;S.Bari Carapace
SandBariothPlt;S.Barioth Pelt+
SandBariothClw;S.Barioth Claw+
SandBariothTail;S.Barioth Tail
Sapphire Fang;Indigo Tusks+
Hard Pleura;Rugged Pleura
Uragaan Scale;Uragaan Scale
Uragaan Scale+;Uragaan Scale+
Uragaan Shell;Uragaan Shell
Uragaan Carapce;Uragaan Carapace
Uragaan Jaw;Uragaan Jaw
Uragaan Shield;Uragaan Scute
Uragaan Marrow;Uragaan Marrow
Uragaan Ruby;Uragaan Ruby
SteelUragaanScl;S.Uragaan Scale+
SteelUragaanCpc;S.Urag Carapace
SteelUragaanJaw;S.Uragaan Maw
SteelUrgnShield;S.Uragaan Scute
Doboru Shell;Duramboros Shell
Doboru Carapace;Duram Carapace
Mossy Carapace;Duram Mossplate
Mossy Carapace+;Hard Mossplate
Doboru Kelp;Duramboros Hump
Doboru Tail;Duram Tailcase
Doboru Tail+;Duram Tailcase+
Doboru Horn;Duramboros Horn
Doboru Horn+;Duramboros Horn+
Doboru Tailbone;Duram Tailbone
Doboru Sacrum;Duram Sacrum
Tigrex Scale;Tigrex Scale
Tigrex Scale+;Tigrex Scale+
Tigrex Shell;Tigrex Shell
Tigrex Carapace;Tigrex Carapace
Tigrex Tail;Tigrex Tail
Tigrex Claw;Tigrex Claw
Tigrex Claw+;Tigrex Claw+
Tigrex Fang;Tigrex Fang
Tigrex Fang+;Tigrex Fang+
Tigrex Skl Shl;Tigrex Scalp
Tigrex Jaw;Tigrex Jaw
Blk Tigrex Scl;B.Tigrex Scale+
Blk Tigrex Shl;B.Tigrex Shell+
Blk Tigrex Claw;B.Tigrex Claw+
Blk Tigrex Fang;B.Tigrex Fang+
Diablos Shell;Diablos Shell
Diablos Carapce;Diablos Carapace
Diablos Spine;Diablos Ridge
Diablos Thorcic;Diablos Ridge+
DiablosTailbone;Diablos Tailcase
Blos Fang;Diablos Fang
Twisted Horn;Twisted Horn
Majestic Horn;Majestic Horn
Diablos Marrow;Diablos Marrow
Diablos Brnstm;Diablos Medulla
Black Blos Shl;B.Diab Carapace
Blk Blos Spine;B.Diablos Ridge+
MajesticBlkHorn;Blackcurl Horn
Uroktor Scale;Uroktor Scale
Uroktor Scale+;Uroktor Scale+
Agnaktor Scale;Agnaktor Scale
Agnaktor Shell;Agnaktor Shell
Agnaktor Carpce;Agnak Carapace
Agnaktor Hide;Agnaktor Hide
Agnaktor Hide+;Agnaktor Hide+
Agnaktor Claw;Agnaktor Claw
Agnaktor Claw+;Agnaktor Claw+
Agnaktor Fin;Agnaktor Fin
Agnaktor Fin+;Agnaktor Fin+
Agnaktor Snout;Agnaktor Beak
Agnaktor Tail;Agnaktor Tail
Igneous Thorax;Scalding Pleura
Igneous Thorax+;Scalding Pleura+
Ice Agnktor Shl;G.Agnak Carapace
Ice Agnktr Hide;G.Agnak Hide+
Ice Agnktor Clw;G.Agnak Claw+
Ice Agnktor Fin;G.Agnak Fin+
IceAgnktorSnout;G.Agnak Beak
Ice Agnktr Tail;G.Agnak Tail
Clammy Thorax;Dewy Pleura+
Jhen Mohran Shl;Mohran Shell
Jhen Mohran Cpc;Mohran Carapace
Jhen Mohran Scl;Mohran Scale
Jhen Mhran Scl+;Mohran Scale+
Jhen Mohran Arm;Mohran Brace
Jhen Mhran Arm+;Mohran Brace+
Jhen Mhran Fang;Sturdy Fang
Jhen Mhrn Fang+;Sturdy Fang+
Jhen Mohran Jwl;Earth Dragongem
Deviljho Scale;Deviljho Scale
Deviljho Hide;Deviljho Hide
Deviljho Fang;Deviljho Fang
Deviljho Claw;Deviljho Talon
Dviljho Skl Shl;Deviljho Scalp
Deviljho Tail;Deviljho Tail
Deviljho Drool;Deviljho Saliva
Deviljho Jewel;Deviljho Gem
Akantor Scale;Akantor Scale
Akantor Shell;Akantor Shell
Akantor Tail;Akantor Tail
Akantor Claw;Akantor Claw
Akantor Fang;Akantor Fang
Akantor Spike;Akantor Spike
Akantor Jewel;Akantor Jewel
Ukanlos Shell;Ukanlos Shell
Ukanlos Scale;Ukanlos Scale
Ukanlos Tail;Ukanlos Tail
Ukanlos Claw;Ukanlos Claw
Ukanlos Jaw;Ukanlos Jaw
Ukanlos Fin;Ukanlos Fin
Ukanlos Jewel;Ukanlos Jewel
Alatreon Shell;Alatreon Scute
Alatreon Plate;Alatreon Plate
Alatreon Claw;Alatreon Talon
Alatreon Webbng;Alatreon Webbing
Alatreon Tail;Alatreon Tail
Alatreon Horn;Brkn Skypiercer
Alatreon Horn+;Skypiercer
Alatreon Jewel;Azure Dragongem
Amatsu Shell;Amatsu Shell
Amatsu Patagium;Amatsu Patagium
Amatsu Horn;Amatsu Horn
Amatsu Claw;Amatsu Claw
Amatsu Tail;Amatsu Tail
Amatsu Thorax;Amatsu Pleura
Tempest Sac;Tempest Sac
Amatsu Jewel;Divine Dragongem
Ruststone;Rustshard
Ancient Stone;Ancient Shard
Rustshard;Rusted Fragment
Lrg Ancnt Shard;Large Fragment
Thn Ancnt Shard;Slender Fragment
Lng Ancnt Shard;Long Fragment
Steel Egg;Steel Egg
Silver Egg;Silver Egg
Golden Egg;Golden Egg
Commendation;Commendation
Commendation G;Commendation+
Pawprint Stamp;Pawprint Stamp
Yukumo Ticket;Yukumo Ticket
Drink Ticket;Drink Ticket
HotSpringTicket;Hot Spring Ticket
Comrade Ticket;Comrade Ticket
VeggieElderTckt;VE Ticket
VeggieEldrTckt+;VE Deluxe Ticket
VegElderTcktBrz;VE Bronze Ticket
VegElderTcktSlv;VE Silver Ticket
VegElderTcktGld;VE Golden Ticket
SecretSwordBook;Sword Codex
SecretBowgunBk;Bowgun Codex
Secret LS Book;Longsword Codex
Call to Arms;Armament Invite
Champion Proof;Champion Proof
Lily Proof;Lily Proof
Ancnt Mnstr Fng;Lrg Ancient Fang
SwdMaster Book;Swordmaster Book
Detective Proof;Detective Proof
Leek Contract;Negima! Contract
Magazine Ticket;Magazine Ticket
Treasure J Tckt;Treasure J Tckt
Pirate J Ticket;Pirate J Ticket
Legend J Ticket;Legend J Ticket
Pirate J Dbloon;Pirate J Dubloon
Famitsu Ticket;Incomplete Plans
Famitsu S Tckt;Famitsu S Ticket
Famitsu G Tckt;Famitsu G Ticket
Famitsu P Tckt;Famitsu P Ticket
Famitsu Coin;Famitsu Coin
Dengeki Ticket;Dengeki Ticket
Dengeki Ticket+;Dengeki Ticket+
Big Boss Title;Big Boss Title
Secret Card;Confidential Box
Uniqlo Ticket;UNIQLO Ticket
BlkCrystalTckt;Black Gem Ticket
Wht Raven Quill;W.Crow Feather
DragnScaleTckt;Wyvrnhide Ticket
Mafumofu Ticket;Mafumofu Ticket
Felyne Diary;Felyne Diary
MH Club Form;MonHan Club Form
Lynian Info;Lynian Info
Neopteron Info;Neopteron Info
Piscine Info;Piscine Wyvern Info
Herbivore Info;Herbivore Info
Bird Wyvern Info 1;Bird Wyvern Info 1
Bird Wyvern Info 2;Bird Wyvern Info 2
Pelagus Info;Fanged Beast Info
Brute Wyvern Info 1;Brute Wyvern Info 1
Brute Wyvern Info 2;Brute Wyvern Info 2
Doboruberuku Info;Duramboros Info
Deviljho Info;Deviljho Info
Leviathan Info 1;Leviathan Info 1
Leviathan Info 2;Leviathan Info 2
Hapurubokka info;Nibelsnarf Info
FlyingWyvernInfo 1;Flying Wyvern Info 1
FlyingWyvernInfo 2;Flying Wyvern Info 2
Akantor Info;Akantor Info
Ukanlos Info;Ukanlos Info
Jinouga Info;Zinogre Info
Jhen Mohran Info;Jhen Mohran Info
Amatsu Info;Amatsu Info
Alatreon Info;Alatreon Info
Map;Map
First-Aid Med;First-aid Med
Ration;Ration
Portable Spit;Portable Spit
Mini Whetstone;Mini Whetstone
Paw Pass Ticket;Paw Pass Ticket
Prtbl Shock Trap;EZ Shock Trap
Supply Flash Bmb;EZ Flash Bomb
Supply Sonic Bmb;EZ Sonic Bomb
Sply Max Potion;EZ Max Potion
Sply Pitfall Trp;EZ Pitfall Trp
Sply Lg Brrl Bmb;EZ Barrel Bomb L
Anti-Dragon Bomb;Anti-dragon Bomb
Ballista S;Ballista Ammo
Harpoon S;Ballista Binder
Binder S;Elastic Binder
Royal Honey;Royal Honey
Special Mushroom;Unique Mushroom
Select Mushroom;Choice Mushroom
Ripe Mushroom;Ripened Mushroom
Great Mushroom;Great Shroom
Special Bamboo;Super Sprout
Aurora Plant;Aurora Plant
Volcano Pepper;Volcano Pepper
Goldenfish;Goldenfish
Silverfish;Silverfish
Brocadefish;Brocade Fish
Ryl Brocadefish;Ryl Brocade Fish
Royal Rhino;Royal Rhino
Divine Rhino;Divine Rhino
Silver Cricket;Silver Cricket
Golden Cricket;Gold Cricket
Goldstone Piece;Auristone Piece
Goldstone Hunk;Auristone Chunk
FlowrstonePiece;Balmstone Piece
Flowrstone Hunk;Balmstone Chunk
Wyvern Crystal;Crystal Bone
Golden Bone;Golden Bone
Bloodstone;Bloodstone
Dark Bloodstone;Deep Bloodstone
Coal;Coal
Saturated Coal;Volatile Coal
Cannon S;Cannon Ammo
Wyvern Egg;Wyvern Egg
Herbivore Egg;Herbivore Egg
Gagua Egg;Gargwa Egg
Gagua GoldenEgg;Gold Gargwa Egg
Sootstone Ore;Sootstone Ore
Powderstone;Powderstone
Gagua Dung;Gargwa Guano
White Liver;White Liver
Zuwaru Blubber;Slagtoth Skin Oil
Popo Tongue;Popo Tongue
Secret Pouch;Secret Stash
Perfect Acorn;Round Acorn
Clean Gut;Fine Stomach
Sparkling Gut;Luminous Stomach
Giggi Essence;Giggi Essence
Monster Liver;Monster Guts
Wyvern Tears;Wyvern Tear
Wyvern Sobs;Lrg Wyvern Tear
Pelagus Tears;Beast Tear
Pelagus Sobs;Lrg Beast Tear
Wood Scraps;Wood Scraps
Wood Scraps+;Wood Scraps+
Pumpkin Scraps;Pumpkin Scraps
Ore Scraps;Ore Scraps
Ore Scraps+;Ore Scraps+
Bone Scraps;Bone Scraps
Bone Scraps+;Bone Scraps+
Pelt Scraps;Pelt Scraps
Pelt Scraps+;Pelt Scraps+
Rhnoplos Scraps;Rheno Scraps
Rhnplos Scraps+;Rheno Scraps+
Zuwaru Scraps;Slagtoth Scraps
Zuwaru Scraps+;Slagtoth Scraps+
Bnahabra Scraps;Neoptron Scraps
Bnahbra Scraps+;Neoptron Scraps+
Altaroth Scraps;Beetle Scraps
Altarth Scraps+;Beetle Scraps+
Bulldrme Scraps;Bulldrme Scraps
Bulldrm Scraps+;Bulldrme Scraps+
GrtJaggi Scraps;G.Jaggi Scraps
GrtJaggiScraps+;G.Jaggi Scraps+
GrtFroggiScraps;G.Wroggi Scraps
GrtFrggiScraps+;G.Wroggi Scraps+
GrtBaggiScraps;G.Baggi Scraps
GrtBaggiScraps+;G.Baggi Scraps+
Aoashira Scraps;Arzuros Scraps
AoashiraScraps+;Arzuros Scraps+
Urukusu Scraps;Lagombi Scraps
Urukusu Scraps+;Lagombi Scraps+
Ranguro Scraps;Volvidon Scraps
Ranguro Scraps+;Volvidon Scraps+
Qurupeco Scraps;Qurupeco Scraps
Qurupco Scraps+;Qurupco Scraps+
Ludroth Scraps;Ludroth Scraps
Ludroth Scraps+;Ludroth Scraps+
Barroth Scraps;Barroth Scraps
Barroth Scraps+;Barroth Scraps+
Haprbkka Scraps;Nibel Scraps
Hapbkka Scraps+;Nibel Scraps+
Gigginox Scraps;Gigginox Scraps
Giggnox Scraps+;Giggnox Scraps+
Rathian Scraps;Rathian Scraps
Rathian Scraps+;Rathian Scraps+
Rathalos Scraps;Rathalos Scraps
Rthalos Scraps+;Rthalos Scraps+
Jinouga Scraps;Zinogre Scraps
Jinouga Scraps+;Zinogre Scraps+
Narga Scraps;Narga Scraps
