key;value
Chain Helm S;Chainmail Helm S
Chain Cap S;Chainmail Cap S
Hunter Helm S;Hunter's Helm S
Hunter Cap S;Hunter's Cap S
Bone Helm S;Bone Helm S
Bone Cap S;Bone Cap S
Alloy Helm S;Alloy Helm S
Alloy Cap S;Alloy Cap S
Bnahabra Helm S;Bnahabra Hat S
Bnahabra Cap S;Bnahabra Headpiece S
Rhenoplos Helm S;Rhenoplos Helm S
Rhenoplos Cap S;Rhenoplos Cap S
Jaggi Helm S;Jaggi Helm S
Jaggi Cap S;Jaggi Cap S
Grove Helm S;Arzuros Helm S
Grove Cap S;Arzuros Cap S
Froggi Helm S;Wroggi Helm S
Froggi Cap S;Wroggi Cap S
Urukusu Helm S;Lagombi Helm S
Urukusu Cap S;Lagombi Cap S
Qurupeco Helm S;Qurupeco Helm S
Qurupeco Cap S;Qurupeco Cap S
Ludroth Helm S;Ludroth Helm S
Ludroth Cap S;Ludroth Cap S
Barroth Helm S;Barroth Helm S
Barroth Cap S;Barroth Cap S
Ingot Helm S;Ingot Helm S
Ingot Cap S;Ingot Cap S
Baggi Helm S;Baggi Helm S
Baggi Cap S;Baggi Cap S
Ranguro Helm S;Volvidon Helm S
Ranguro Cap S;Volvidon Cap S
Rathian Helm S;Rathian Helm S
Rathian Cap S;Rathian Cap S
Hapuru Helm S;Nibelsnarf Helm S
Hapuru Cap S;Nibelsnarf Cap S
Nebula Helm S;Gigginox Helm S
Nebula Cap S;Gigginox Cap S
Narga Helm S;Nargacuga Helm S
Narga Cap S;Nargacuga Cap S
Barioth Helm S;Barioth Helm S
Barioth Cap S;Barioth Cap S
Rathalos Helm S;Rathalos Helm S
Rathalos Cap S;Rathalos Cap S
Uragaan Helm S;Uragaan Helm S
Uragaan Cap S;Uragaan Cap S
Dober Helm;Dober Helm
Dober Cap;Dober Cap
Jinouga Helm S;Zinogre Helm S
Jinouga Cap S;Zinogre Cap S
Diablos Helm S;Diablos Helm S
Diablos Cap S;Diablos Cap S
Tigrex Helm S;Tigrex Helm S
Tigrex Cap S;Tigrex Cap S
Agnaktor Helm S;Agnaktor Helm S
Agnaktor Cap S;Agnaktor Cap S
Doboru Helm S;Duramboros Helm S
Doboru Cap S;Duramboros Cap S
Qurupeco Helm U;Qurupeco Helm U
Qurupeco Cap U;Qurupeco Cap U
Ludroth Helm U;Ludroth Helm U
Ludroth Cap U;Ludroth Cap U
Barroth Helm U;Barroth Helm U
Barroth Cap U;Barroth Cap U
Nebula Helm U;Gigginox Helm U
Nebula Cap U;Gigginox Cap U
Narga Helm U;Nargacuga Helm U
Narga Cap U;Nargacuga Cap U
Barioth Helm U;Barioth Helm U
Barioth Cap U;Barioth Cap U
Uragaan Helm U;Uragaan Helm U
Uragaan Cap U;Uragaan Cap U
Diablos Helm U;Diablos Helm U
Diablos Cap U;Diablos Cap U
Tigrex Helm U;Tigrex Helm U
Tigrex Cap U;Tigrex Cap U
Agnaktor Helm U;Agnaktor Helm U
Agnaktor Cap U;Agnaktor Cap U
Golden Moon Helm;Golden Lunehelm
Golden Moon Cap;Golden Lunecap
Silver Sol Helm;Silver Solhelm
Silver Sol Cap;Silver Solcap
Vangis Helm;Vangis Helm
Vangis Cap;Vangis Cap
Ranger Hat;Ranger's Headgear
Scout Veil;Archer's Turban
Guild Bard Tricorne S;Guild Bard Lobos S
Guild Bard Hat S;Guild Bard Hat S
Scholar Hood S;Scholar's Beret S
Scholar Beret S;Scholar's Cap S
Nightmare Furore S;Mosgharl Visor S
Nightmare Furore S;Mosgharl Visor S
Nightmare Brume S;Mosgharl Brim S
Nightmare Brume S;Mosgharl Brim S
Viking Helm S;Viking Helm S
Viking Cap S;Viking Cap S
Rouage Testa S;Aelucanth Vertex S
Rouage Caput S;Aelucanth Clypeus S
Falmer Testa S;Rhopessa Vertex S
Falmer Caput S;Rhopessa Clypeus S
Dianthus Hat;Dianthus Cappa
Bellflower Hat;Bellflower Hat
Damascus Helm;Damascus Helm
Damascus Cap;Damascus Cap
Hi Yamato Helm;Grand Yamato Kabuto
Hi Courtier Hat;Grand Mutsu Eboshi
Hi Solar Headband;Grand H. Hachigane
Hi Divine Headband;Grand A. Hachigane
Dark Akantor Mask;Dark Akantor Mask
Dark Akantor Fangs;Dark Akantor Fangs
Ukanlos Mask;Ukanlos Mask
Ukanlos Fangs;Ukanlos Fangs
Escadora Wisdom;Escadora Wisdom
Escadora Sagesse;Escadora Sagesse
Storm Crown;Storm Crown
Sky Circlet;Sky Circlet
Gagua Mask S;Gargwa Mask S
Gagua Head S;Gargwa Visage S
Zuwaro Hood S;Slagtoth Hood S
Zuwaro Head S;Slagtoth Cowl S
Jaggi Mask S;Jaggi Mask S
Jaggi Head S;Jaggi Visage S
Bullfango Mask S;Bullfango Mask S
Bullfango Head S;Bullfango Visage S
Skull Face S;Skull Mask S
Skull Head S;Skull Visage S
Wyvern's Eye Patch;Wyvernking Eyepatch
Luxury Head Towel;Luxury Head Towel
Acorn Helm S;Acorn Helm S
Acorn Cap S;Acorn Cap S
Crystal Earrings;Chakra Earring
Oakley Shades;Shadow Shades
Jolly Roger Hat;Pirate J Hat
Jolly Roger Cap;Pirate J Cap
Snake Face;Snake Face
Snake Mask;Snake Mask
The Boss Face;The Boss Face
The Boss Mask;The Boss Mask
Uniqlo Knit Hat;UNIQLO Knit Hat
Uniqlo Headphones;UNIQLO Headphones
Sword Saint Piercing;Sword Saint Earring
Barrage Piercing;Barrage Earring
