key;value
Hi Yamato Waistcoat;Grand Y. Koshiate
Hi Courtier Waistcoat;Grand Mutsu Koshiate
Hi Solar Waistcoat;Grand Hyuga Koshiate
Hi Divine Waistcoat;Grand Amagi Koshiate
DarkAkantor Cincture;Dark A. Cincture
Dark Akantor Sash;Dark Akantor Sash
Ukanlos Cincture;Ukanlos Cincture
Ukanlos Sash;Ukanlos Sash
Escadora Might;Escadora Might
Escadora Force;Escadora Force
Storm Waist;Storm Waist
Sky Sash;Sky Sash
Crystal Sash;Chakra Waistlet
Jolly Roger Coil;Pirate J Coil
Jolly Roger Skirt;Pirate J Skirt
Snake Belt;Snake Belt
Snake Band;Snake Band
The Boss Belt;The Boss Belt
The Boss Band;The Boss Band
Uniqlo Belt;UNIQLO Belt
Uniqlo Pouch;UNIQLO Pouch
Street Belt;Bouya's Belt
Street Buckle;Bouya's Buckle
Street Belt;Bouya's Belt
Street Buckle;Bouya's Buckle
